VALEUR,#pan,#le-choeur,#la-paix,#pan #la-paix,#premier-berger,#second-berger,#orphee,#jason,#medee,#jason #medee,#combattants,#le-roi,#le-roi #medee,#suivantes-de-medee,#venus,#hypsipile,#neptune,#une-nereide,#jason #hypsipile #orphee,#hypsipile #jason #orphee,#l-amour,#un-plaisir,#un-autre-plaisir,#suivante-de-la-sibylle,#suivantes #sibylle #choeur,#la-sibylle,#jason #orphee
Fréquences (scènes),0.03225806451612903,0.1935483870967742,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.0967741935483871,0.3870967741935484,0.45161290322580644,0.06451612903225806,0.03225806451612903,0.12903225806451613,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.25806451612903225,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903
Fréquences(répliques),0.04540295119182747,0.05788876276958002,0.011350737797956867,0.004540295119182747,0.004540295119182747,0.004540295119182747,0.05448354143019296,0.21793416572077184,0.25539160045402953,0.011350737797956867,0.011350737797956867,0.05448354143019296,0.004540295119182747,0.011350737797956867,0.00681044267877412,0.11350737797956867,0.015891032917139614,0.00681044267877412,0.00681044267877412,0.0022701475595913734,0.018161180476730987,0.00681044267877412,0.004540295119182747,0.00681044267877412,0.026106696935300794,0.03178206583427923,0.004540295119182747
Confrontation,0.032467532467532464,0.11688311688311688,0.032467532467532464,0.032467532467532464,0.032467532467532464,0.032467532467532464,0.05194805194805195,0.14935064935064934,0.11038961038961038,0.045454545454545456,0.006493506493506494,0.05194805194805195,0.032467532467532464,0.032467532467532464,0.006493506493506494,0.07142857142857142,0.0,0.012987012987012988,0.045454545454545456,0.032467532467532464,0.0,0.012987012987012988,0.012987012987012988,0.012987012987012988,0.012987012987012988,0.006493506493506494,0.012987012987012988
Déviations,#pan,#le-choeur,#la-paix,#pan #la-paix,#premier-berger,#second-berger,#orphee,#jason,#medee,#jason #medee,#combattants,#le-roi,#le-roi #medee,#suivantes-de-medee,#venus,#hypsipile,#neptune,#une-nereide,#jason #hypsipile #orphee,#hypsipile #jason #orphee,#l-amour,#un-plaisir,#un-autre-plaisir,#suivante-de-la-sibylle,#suivantes #sibylle #choeur,#la-sibylle,#jason #orphee
#pan,29.03225806451613,3.3602150537634405,29.03225806451613,29.03225806451613,29.03225806451613,29.03225806451613,0.0967741935483871,0.3870967741935484,0.45161290322580644,0.06451612903225806,0.03225806451612903,0.12903225806451613,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.25806451612903225,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903
#le-choeur,3.3602150537634405,20.16129032258065,3.3602150537634405,3.3602150537634405,3.3602150537634405,3.3602150537634405,0.5806451612903225,0.044802867383512475,2.7096774193548385,0.9704301075268817,0.1935483870967742,0.06586021505376345,3.3602150537634405,3.3602150537634405,0.1935483870967742,0.19422043010752688,0.1935483870967742,3.3602150537634405,0.3870967741935484,0.1935483870967742,0.1935483870967742,3.3602150537634405,3.3602150537634405,3.3602150537634405,3.3602150537634405,0.1935483870967742,3.3602150537634405
#pan,29.03225806451613,3.3602150537634405,29.03225806451613,29.03225806451613,29.03225806451613,29.03225806451613,0.0967741935483871,0.3870967741935484,0.45161290322580644,0.06451612903225806,0.03225806451612903,0.12903225806451613,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.25806451612903225,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903
#pan,29.03225806451613,3.3602150537634405,29.03225806451613,29.03225806451613,29.03225806451613,29.03225806451613,0.0967741935483871,0.3870967741935484,0.45161290322580644,0.06451612903225806,0.03225806451612903,0.12903225806451613,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.25806451612903225,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903
#pan,29.03225806451613,3.3602150537634405,29.03225806451613,29.03225806451613,29.03225806451613,29.03225806451613,0.0967741935483871,0.3870967741935484,0.45161290322580644,0.06451612903225806,0.03225806451612903,0.12903225806451613,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.25806451612903225,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903
#pan,29.03225806451613,3.3602150537634405,29.03225806451613,29.03225806451613,29.03225806451613,29.03225806451613,0.0967741935483871,0.3870967741935484,0.45161290322580644,0.06451612903225806,0.03225806451612903,0.12903225806451613,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.25806451612903225,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903
