VALEUR,#richelieu,#colletet,#boisrobert,#corneille,#l-estoile,#rotrou,#un-page,#maynard,#scudery,#mairet,#du-ryer,#conrart,#chapelain,#vaugelas,#un-huissier,#tristan,#desmarets
Fréquences (scènes),0.25,0.375,0.375,0.625,0.375,0.625,0.125,0.25,0.375,0.375,0.25,0.25,0.25,0.125,0.125,0.125,0.125
Fréquences(répliques),0.3284457478005865,0.08504398826979472,0.060117302052785926,0.25513196480938416,0.024926686217008796,0.09530791788856305,0.001466275659824047,0.060117302052785926,0.02932551319648094,0.01906158357771261,0.011730205278592375,0.008797653958944282,0.002932551319648094,0.002932551319648094,0.001466275659824047,0.002932551319648094,0.010263929618768328
Confrontation,0.0660377358490566,0.05660377358490566,0.08962264150943396,0.10377358490566038,0.05660377358490566,0.07075471698113207,0.02358490566037736,0.05188679245283019,0.08018867924528301,0.08018867924528301,0.03773584905660377,0.07075471698113207,0.07075471698113207,0.02830188679245283,0.02830188679245283,0.04245283018867924,0.04245283018867924
Déviations,#richelieu,#colletet,#boisrobert,#corneille,#l-estoile,#rotrou,#un-page,#maynard,#scudery,#mairet,#du-ryer,#conrart,#chapelain,#vaugelas,#un-huissier,#tristan,#desmarets
#richelieu,4.5,0.08333333333333333,2.0833333333333335,0.45,0.08333333333333333,0.05,0.25,0.5,0.08333333333333333,0.08333333333333333,0.5,0.5,0.5,0.25,0.25,2.25,2.25
#colletet,0.08333333333333333,3.125,0.6805555555555556,0.008333333333333333,3.125,0.675,1.0416666666666667,0.75,1.125,1.125,0.75,0.75,0.75,0.375,0.375,0.375,0.375
#boisrobert,2.0833333333333335,0.6805555555555556,3.125,0.675,0.6805555555555556,0.008333333333333333,1.0416666666666667,0.08333333333333333,0.013888888888888888,0.013888888888888888,0.75,0.08333333333333333,0.08333333333333333,0.375,0.375,1.0416666666666667,1.0416666666666667
#corneille,0.45,0.008333333333333333,0.675,1.125,0.008333333333333333,0.245,0.225,0.45,0.4083333333333333,0.4083333333333333,1.25,0.05,0.05,0.625,0.625,0.225,0.225
#colletet,0.08333333333333333,3.125,0.6805555555555556,0.008333333333333333,3.125,0.675,1.0416666666666667,0.75,1.125,1.125,0.75,0.75,0.75,0.375,0.375,0.375,0.375
#rotrou,0.05,0.675,0.008333333333333333,0.245,0.675,1.125,0.225,0.05,1.875,1.875,1.25,1.25,1.25,0.625,0.625,0.625,0.625
