VALEUR,#richelieu,#colletet,#boisrobert,#corneille,#l-estoile,#rotrou,#un-page,#maynard,#scudery,#mairet,#du-ryer,#conrart,#chapelain,#vaugelas,#un-huissier,#tristan,#desmarets
#un-page,0.25,1.0416666666666667,1.0416666666666667,0.225,1.0416666666666667,0.225,6.125,0.25,0.375,0.375,0.25,0.25,0.25,0.125,0.125,0.125,0.125
#maynard,0.5,0.75,0.08333333333333333,0.45,0.75,0.05,0.25,4.5,0.08333333333333333,0.08333333333333333,0.5,0.5,0.5,0.25,0.25,2.25,2.25
#scudery,0.08333333333333333,1.125,0.013888888888888888,0.4083333333333333,1.125,1.875,0.375,0.08333333333333333,3.125,3.125,2.0833333333333335,2.0833333333333335,2.0833333333333335,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667
#scudery,0.08333333333333333,1.125,0.013888888888888888,0.4083333333333333,1.125,1.875,0.375,0.08333333333333333,3.125,3.125,2.0833333333333335,2.0833333333333335,2.0833333333333335,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667
#du-ryer,0.5,0.75,0.75,1.25,0.75,1.25,0.25,0.5,2.0833333333333335,2.0833333333333335,4.5,0.5,0.5,2.25,2.25,0.25,0.25
#conrart,0.5,0.75,0.08333333333333333,0.05,0.75,1.25,0.25,0.5,2.0833333333333335,2.0833333333333335,0.5,4.5,4.5,2.25,2.25,2.25,2.25
#conrart,0.5,0.75,0.08333333333333333,0.05,0.75,1.25,0.25,0.5,2.0833333333333335,2.0833333333333335,0.5,4.5,4.5,2.25,2.25,2.25,2.25
#vaugelas,0.25,0.375,0.375,0.625,0.375,0.625,0.125,0.25,1.0416666666666667,1.0416666666666667,2.25,2.25,2.25,6.125,6.125,0.125,0.125
#vaugelas,0.25,0.375,0.375,0.625,0.375,0.625,0.125,0.25,1.0416666666666667,1.0416666666666667,2.25,2.25,2.25,6.125,6.125,0.125,0.125
#tristan,2.25,0.375,1.0416666666666667,0.225,0.375,0.625,0.125,2.25,1.0416666666666667,1.0416666666666667,0.25,2.25,2.25,0.125,0.125,6.125,6.125
#tristan,2.25,0.375,1.0416666666666667,0.225,0.375,0.625,0.125,2.25,1.0416666666666667,1.0416666666666667,0.25,2.25,2.25,0.125,0.125,6.125,6.125
Successions,#richelieu,#colletet,#boisrobert,#corneille,#l-estoile,#rotrou,#un-page,#maynard,#scudery,#mairet,#du-ryer,#conrart,#chapelain,#vaugelas,#un-huissier,#tristan,#desmarets
#richelieu,0.0,0.17307692307692307,0.19230769230769232,0.2692307692307692,0.057692307692307696,0.057692307692307696,0.0,0.038461538461538464,0.019230769230769232,0.019230769230769232,0.0,0.019230769230769232,0.019230769230769232,0.0,0.019230769230769232,0.0,0.11538461538461539
#colletet,0.5,0.0,0.2777777777777778,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#boisrobert,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285,0.10714285714285714,0.10714285714285714,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0
#corneille,0.21568627450980393,0.0196078431372549,0.19607843137254902,0.0,0.0196078431372549,0.39215686274509803,0.0,0.13725490196078433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549
#l-estoile,0.25,0.3333333333333333,0.08333333333333333,0.25,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#rotrou,0.10344827586206896,0.0,0.06896551724137931,0.7241379310344828,0.10344827586206896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-page,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#maynard,0.2222222222222222,0.0,0.0,0.6666666666666666,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#scudery,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
#mairet,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.42857142857142855,0.0,0.0,0.14285714285714285,0.0,0.0,0.0
#du-ryer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#conrart,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0
#chapelain,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#vaugelas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#un-huissier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#tristan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#tristan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
