VALEUR,#agamemnon,#arcas,#achille,#ulysse,#eurybate,#eriphile,#doris,#iphigenie,#clytemnestre,#aegine
Fréquences (scènes),0.40540540540540543,0.08108108108108109,0.2702702702702703,0.10810810810810811,0.08108108108108109,0.2702702702702703,0.08108108108108109,0.35135135135135137,0.35135135135135137,0.05405405405405406
Fréquences(répliques),0.20923913043478262,0.042391304347826085,0.1733695652173913,0.08152173913043478,0.01956521739130435,0.11739130434782609,0.029347826086956522,0.1934782608695652,0.12934782608695652,0.004347826086956522
Confrontation,0.14705882352941177,0.058823529411764705,0.14705882352941177,0.049019607843137254,0.0392156862745098,0.12745098039215685,0.029411764705882353,0.20588235294117646,0.17647058823529413,0.0196078431372549
Déviations,#agamemnon,#arcas,#achille,#ulysse,#eurybate,#eriphile,#doris,#iphigenie,#clytemnestre,#aegine
#agamemnon,13.08108108108108,0.038438438438438444,1.040720720720721,1.1716216216216213,0.5051051051051051,4.054054054054054,1.2162162162162162,0.9779625779625779,0.3061677061677061,0.8108108108108109
#arcas,0.038438438438438444,31.24324324324324,0.044144144144144117,0.32432432432432434,0.24324324324324326,0.044144144144144117,0.24324324324324326,0.0027720027720027833,0.8489258489258487,0.16216216216216217
#achille,1.040720720720721,0.044144144144144117,19.702702702702705,0.006081081081081089,0.8108108108108109,0.032702702702702716,0.8108108108108109,1.7596673596673595,0.651975051975052,0.5405405405405406
#ulysse,1.1716216216216213,0.32432432432432434,0.006081081081081089,29.43243243243243,0.32432432432432434,1.0810810810810811,0.32432432432432434,1.4054054054054055,0.11694386694386699,0.21621621621621623
#eurybate,0.5051051051051051,0.24324324324324326,0.8108108108108109,0.32432432432432434,31.24324324324324,0.8108108108108109,0.24324324324324326,0.0027720027720027833,0.0027720027720027833,0.16216216216216217
#eriphile,4.054054054054054,0.044144144144144117,0.032702702702702716,1.0810810810810811,0.8108108108108109,19.702702702702705,5.910810810810809,0.06735966735966734,0.651975051975052,0.5405405405405406
#doris,1.2162162162162162,0.24324324324324326,0.8108108108108109,0.32432432432432434,0.24324324324324326,5.910810810810809,31.24324324324324,1.0540540540540542,1.0540540540540542,0.16216216216216217
#iphigenie,0.9779625779625779,0.0027720027720027833,1.7596673596673595,1.4054054054054055,0.0027720027720027833,0.06735966735966734,1.0540540540540542,15.567567567567563,0.04094034863265633,0.12577962577962573
#clytemnestre,0.3061677061677061,0.8489258489258487,0.651975051975052,0.11694386694386699,0.0027720027720027833,0.651975051975052,1.0540540540540542,0.04094034863265633,15.567567567567563,0.12577962577962573
#aegine,0.8108108108108109,0.16216216216216217,0.5405405405405406,0.21621621621621623,0.16216216216216217,0.5405405405405406,0.16216216216216217,0.12577962577962573,0.12577962577962573,33.108108108108105
Successions,#agamemnon,#arcas,#achille,#ulysse,#eurybate,#eriphile,#doris,#iphigenie,#clytemnestre,#aegine
#agamemnon,0.07407407407407407,0.09259259259259259,0.25925925925925924,0.05555555555555555,0.07407407407407407,0.0,0.0,0.25925925925925924,0.18518518518518517,0.0
#arcas,0.38461538461538464,0.0,0.38461538461538464,0.0,0.0,0.0,0.0,0.07692307692307693,0.15384615384615385,0.0
#achille,0.3023255813953488,0.06976744186046512,0.023255813953488372,0.046511627906976744,0.0,0.11627906976744186,0.0,0.3023255813953488,0.13953488372093023,0.0
#ulysse,0.5,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.375,0.0
#eurybate,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
#eriphile,0.07407407407407407,0.0,0.14814814814814814,0.0,0.0,0.0,0.4444444444444444,0.2962962962962963,0.037037037037037035,0.0
#doris,0.0,0.0,0.08333333333333333,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0
#iphigenie,0.29545454545454547,0.0,0.2727272727272727,0.0,0.0,0.18181818181818182,0.0,0.0,0.20454545454545456,0.045454545454545456
#clytemnestre,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.08571428571428572,0.02857142857142857,0.08571428571428572,0.0,0.17142857142857143,0.0,0.05714285714285714
#aegine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
