VALEUR,#catilina,#lentulus,#probus,#tullie,#fulvie,#ciceron,#sunnon,#gontran,#caton,#crassus,#cethegus,#lucius
Fréquences (scènes),0.7,0.03333333333333333,0.13333333333333333,0.23333333333333334,0.13333333333333333,0.23333333333333334,0.06666666666666667,0.03333333333333333,0.13333333333333333,0.03333333333333333,0.06666666666666667,0.03333333333333333
Fréquences(répliques),0.4672603457307491,0.03300157150340492,0.07333682556312206,0.11471974855945521,0.05500261917234154,0.09429020429544265,0.05028810895756941,0.0010476689366160294,0.061812467260345734,0.03352540597171294,0.008381351492928235,0.007333682556312206
Confrontation,0.32142857142857145,0.017857142857142856,0.07142857142857142,0.125,0.08928571428571429,0.125,0.03571428571428571,0.017857142857142856,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.017857142857142856
Déviations,#catilina,#lentulus,#probus,#tullie,#fulvie,#ciceron,#sunnon,#gontran,#caton,#crassus,#cethegus,#lucius
#catilina,2.700000000000001,0.12857142857142861,0.014285714285714311,0.0020408163265305977,0.014285714285714311,1.7163265306122453,0.11428571428571424,0.7,1.157142857142857,0.7,0.25714285714285723,0.7
#lentulus,0.12857142857142861,28.03333333333333,0.13333333333333333,0.23333333333333334,0.13333333333333333,0.23333333333333334,0.06666666666666667,0.03333333333333333,0.13333333333333333,0.03333333333333333,0.06666666666666667,0.03333333333333333
#probus,0.014285714285714311,0.13333333333333333,22.533333333333335,0.9333333333333333,0.4083333333333334,0.9333333333333333,0.26666666666666666,0.13333333333333333,0.5333333333333333,0.13333333333333333,0.26666666666666666,0.13333333333333333
#tullie,0.002040816326530634,0.23333333333333334,0.9333333333333333,17.633333333333336,0.00476190476190476,0.245578231292517,0.4666666666666667,0.23333333333333334,0.9333333333333333,0.23333333333333334,0.4666666666666667,0.23333333333333334
#fulvie,0.014285714285714311,0.13333333333333333,0.4083333333333334,0.00476190476190476,22.533333333333335,0.9333333333333333,0.26666666666666666,0.13333333333333333,0.5333333333333333,0.13333333333333333,0.26666666666666666,0.13333333333333333
#ciceron,1.7163265306122444,0.23333333333333334,0.9333333333333333,0.245578231292517,0.9333333333333333,17.633333333333336,0.4666666666666667,0.23333333333333334,4.576190476190475,2.519047619047619,0.4666666666666667,0.23333333333333334
#sunnon,0.11428571428571424,0.06666666666666667,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.4666666666666667,26.133333333333336,13.066666666666668,0.26666666666666666,0.06666666666666667,0.13333333333333333,0.06666666666666667
#gontran,0.7,0.03333333333333333,0.13333333333333333,0.23333333333333334,0.13333333333333333,0.23333333333333334,13.066666666666668,28.03333333333333,0.13333333333333333,0.03333333333333333,0.06666666666666667,0.03333333333333333
#caton,1.157142857142857,0.13333333333333333,0.5333333333333333,0.9333333333333333,0.5333333333333333,4.576190476190475,0.26666666666666666,0.13333333333333333,22.533333333333335,5.633333333333334,0.26666666666666666,5.633333333333334
#crassus,0.7,0.03333333333333333,0.13333333333333333,0.23333333333333334,0.13333333333333333,2.519047619047619,0.06666666666666667,0.03333333333333333,5.633333333333334,28.03333333333333,0.06666666666666667,0.03333333333333333
#cethegus,0.25714285714285723,0.06666666666666667,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.4666666666666667,0.13333333333333333,0.06666666666666667,0.26666666666666666,0.06666666666666667,26.133333333333336,0.06666666666666667
#lucius,0.7,0.03333333333333333,0.13333333333333333,0.23333333333333334,0.13333333333333333,0.23333333333333334,0.06666666666666667,0.03333333333333333,5.633333333333334,0.03333333333333333,0.06666666666666667,28.03333333333333
Successions,#catilina,#lentulus,#probus,#tullie,#fulvie,#ciceron,#sunnon,#gontran,#caton,#crassus,#cethegus,#lucius
#catilina,0.09375,0.0625,0.15625,0.328125,0.046875,0.140625,0.0625,0.0,0.046875,0.0,0.0625,0.0
#lentulus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#probus,0.75,0.0,0.08333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#tullie,0.84,0.0,0.0,0.04,0.04,0.04,0.0,0.0,0.04,0.0,0.0,0.0
#fulvie,0.5,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ciceron,0.6470588235294118,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.23529411764705882,0.0,0.0,0.0
#sunnon,0.6,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0
#gontran,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#caton,0.2727272727272727,0.0,0.0,0.0,0.0,0.45454545454545453,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091
#crassus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#lentulus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#crassus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
