VALEUR,#merlin,#finette,#dorante,#damis,#celide,#eraste,#madame-argante,#madame-artus,#massine,#monsieur-ludet
Fréquences (scènes),0.3404255319148936,0.44680851063829785,0.5319148936170213,0.19148936170212766,0.2765957446808511,0.1276595744680851,0.23404255319148937,0.2765957446808511,0.1702127659574468,0.1276595744680851
Fréquences(répliques),0.1417624521072797,0.14128352490421456,0.18869731800766285,0.06896551724137931,0.06417624521072797,0.09195402298850575,0.10296934865900383,0.11446360153256704,0.04693486590038314,0.03879310344827586
Confrontation,0.10472972972972973,0.14189189189189189,0.1891891891891892,0.09121621621621621,0.12837837837837837,0.04391891891891892,0.07432432432432433,0.10472972972972973,0.06418918918918919,0.057432432432432436
Déviations,#merlin,#finette,#dorante,#damis,#celide,#eraste,#madame-argante,#madame-artus,#massine,#monsieur-ludet
#merlin,20.446808510638295,0.6459599797365753,2.3681382978723406,0.0013297872340425525,0.07457037643207852,0.4488031914893619,3.74468085106383,4.425531914893617,1.0905917553191489,0.5321365248226949
#finette,0.6459599797365753,14.382978723404255,2.3930699088145895,0.00011257458065968385,0.8268256566128906,1.05386693684566,0.23956894169660112,0.11253994232717639,1.6458966565349549,1.05386693684566
#dorante,2.3681382978723406,2.3930699088145895,10.297872340425535,0.3072340425531913,0.17027823240589188,0.20482269503546102,1.3892456479690525,0.0010474631751227416,0.015319148936170205,1.024822695035461
#damis,0.0013297872340425525,0.00011257458065968385,0.30723404255319176,30.72340425531915,8.173122385888343,0.0193065405831363,0.5811304534708792,0.1047463175122749,0.18469267139479903,0.0193065405831363
#celide,0.07457037643207852,0.8268256566128906,0.17027823240589218,8.173122385888343,24.595744680851062,1.0826513911620297,1.3712245201606907,0.09870326073272062,0.02045826513911622,0.2621385706492089
#eraste,0.4488031914893619,1.05386693684566,0.20482269503546127,0.0193065405831363,1.08265139116203,35.76595744680852,0.11637653127014819,1.6595744680851061,1.0212765957446808,0.7659574468085104
#madame-argante,3.74468085106383,0.23956894169660156,1.3892456479690525,0.5811304534708788,1.3712245201606907,0.11637653127014819,27.574468085106393,2.874721023657193,0.008704061895551252,0.2527401676337849
#madame-artus,4.425531914893617,0.11253994232717639,0.0010474631751227635,0.1047463175122749,0.09870326073272062,1.6595744680851063,2.874721023657193,24.595744680851062,0.02045826513911622,6.7236770321876715
#massine,1.0905917553191489,1.6458966565349549,0.015319148936170205,0.18469267139479903,0.02045826513911622,1.0212765957446808,0.008704061895551252,0.02045826513911622,32.361702127659576,0.0004432624113475144
#monsieur-ludet,0.5321365248226949,1.05386693684566,1.0248226950354618,0.0193065405831363,0.26213857064920876,0.7659574468085104,0.2527401676337849,6.723677032187673,0.0004432624113475144,35.76595744680852
Successions,#merlin,#finette,#dorante,#damis,#celide,#eraste,#madame-argante,#madame-artus,#massine,#monsieur-ludet
#merlin,0.0,0.168141592920354,0.45132743362831856,0.17699115044247787,0.07079646017699115,0.08849557522123894,0.0,0.0,0.0,0.04424778761061947
#finette,0.1774193548387097,0.008064516129032258,0.12903225806451613,0.0,0.11290322580645161,0.06451612903225806,0.3064516129032258,0.04032258064516129,0.16129032258064516,0.0
#dorante,0.2983425414364641,0.09392265193370165,0.0,0.10497237569060773,0.08287292817679558,0.10497237569060773,0.027624309392265192,0.16574585635359115,0.055248618784530384,0.06629834254143646
#damis,0.3793103448275862,0.017241379310344827,0.3275862068965517,0.0,0.10344827586206896,0.017241379310344827,0.05172413793103448,0.06896551724137931,0.034482758620689655,0.0
#celide,0.06060606060606061,0.18181818181818182,0.21212121212121213,0.13636363636363635,0.0,0.25757575757575757,0.0,0.07575757575757576,0.07575757575757576,0.0
#eraste,0.12698412698412698,0.15873015873015872,0.3968253968253968,0.015873015873015872,0.1746031746031746,0.0,0.12698412698412698,0.0,0.0,0.0
#madame-argante,0.0,0.4578313253012048,0.07228915662650602,0.04819277108433735,0.012048192771084338,0.0963855421686747,0.0,0.2289156626506024,0.04819277108433735,0.03614457831325301
#madame-artus,0.0,0.060240963855421686,0.3493975903614458,0.04819277108433735,0.060240963855421686,0.0,0.25301204819277107,0.024096385542168676,0.012048192771084338,0.1927710843373494
#massine,0.0,0.5,0.19047619047619047,0.023809523809523808,0.14285714285714285,0.0,0.09523809523809523,0.023809523809523808,0.0,0.023809523809523808
#monsieur-ludet,0.10810810810810811,0.0,0.35135135135135137,0.0,0.0,0.0,0.08108108108108109,0.4594594594594595,0.0,0.0
