VALEUR,#meleagre,#aristandre,#choeur-de-peuple,#troupe-de-paysans,#premier-veneur,#second-veneur,#atalante,#choeur-de-filles,#choeur,#thesee,#pirithois,#lyncee,#plexipe,#toxee,#veneur,#messager,#idmon,#altee,#nourrice
Fréquences (scènes),0.5,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.4166666666666667,0.25,0.25,0.25,0.25,0.25,0.4166666666666667,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666
Fréquences(répliques),0.2824184566428003,0.022275258552108195,0.03659506762132061,0.02545743834526651,0.012728719172633254,0.00477326968973747,0.12967382657120127,0.02545743834526651,0.05807478122513922,0.03818615751789976,0.027048528241845664,0.012728719172633254,0.06921241050119331,0.05250596658711217,0.011137629276054098,0.046937151949085126,0.023070803500397773,0.08910103420843278,0.03261734287987271
Confrontation,0.1326530612244898,0.025510204081632654,0.03571428571428571,0.025510204081632654,0.025510204081632654,0.025510204081632654,0.08163265306122448,0.05102040816326531,0.04081632653061224,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.10204081632653061,0.10204081632653061,0.025510204081632654,0.01020408163265306,0.04081632653061224,0.015306122448979591,0.015306122448979591
Déviations,#meleagre,#aristandre,#choeur-de-peuple,#troupe-de-paysans,#premier-veneur,#second-veneur,#atalante,#choeur-de-filles,#choeur,#thesee,#pirithois,#lyncee,#plexipe,#toxee,#veneur,#messager,#idmon,#altee,#nourrice
#meleagre,3.0,0.5,0.0,0.5,0.5,0.5,0.1,0.16666666666666666,1.5,1.5,1.5,1.5,0.1,0.1,0.5,0.5,0.0,1.0,1.0
#aristandre,0.5,10.083333333333332,4.166666666666668,10.083333333333332,10.083333333333332,10.083333333333332,0.4166666666666667,0.25,0.25,0.25,0.25,0.25,0.4166666666666667,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666
#choeur-de-peuple,0.0,4.166666666666668,8.333333333333336,4.166666666666668,4.166666666666668,4.166666666666668,0.8333333333333334,0.5,0.5,0.5,0.5,0.5,0.8333333333333334,0.8333333333333334,0.16666666666666666,4.166666666666668,0.3333333333333333,0.3333333333333333,0.3333333333333333
#aristandre,0.5,10.083333333333332,4.166666666666668,10.083333333333332,10.083333333333332,10.083333333333332,0.4166666666666667,0.25,0.25,0.25,0.25,0.25,0.4166666666666667,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666
#aristandre,0.5,10.083333333333332,4.166666666666668,10.083333333333332,10.083333333333332,10.083333333333332,0.4166666666666667,0.25,0.25,0.25,0.25,0.25,0.4166666666666667,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666
#aristandre,0.5,10.083333333333332,4.166666666666668,10.083333333333332,10.083333333333332,10.083333333333332,0.4166666666666667,0.25,0.25,0.25,0.25,0.25,0.4166666666666667,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666
#atalante,0.1,0.41666666666666663,0.8333333333333333,0.41666666666666663,0.41666666666666663,0.41666666666666663,4.083333333333332,2.45,0.45,0.05,0.05,0.05,0.003333333333333345,0.003333333333333345,0.8166666666666669,0.41666666666666663,0.8333333333333333,0.8333333333333333,0.8333333333333333
#choeur-de-filles,0.16666666666666666,0.25,0.5,0.25,0.25,0.25,2.45,6.75,2.0833333333333335,0.75,0.75,0.75,0.45,0.45,0.25,0.25,0.5,0.5,0.5
#choeur,1.5,0.25,0.5,0.25,0.25,0.25,0.45,2.0833333333333335,6.75,0.75,0.75,0.75,0.05,0.05,0.25,2.25,0.5,0.5,0.5
#thesee,1.5,0.25,0.5,0.25,0.25,0.25,0.05,0.75,0.75,6.75,6.75,6.75,0.45,0.45,2.25,0.25,0.5,0.5,0.5
#thesee,1.5,0.25,0.5,0.25,0.25,0.25,0.05,0.75,0.75,6.75,6.75,6.75,0.45,0.45,2.25,0.25,0.5,0.5,0.5
#thesee,1.5,0.25,0.5,0.25,0.25,0.25,0.05,0.75,0.75,6.75,6.75,6.75,0.45,0.45,2.25,0.25,0.5,0.5,0.5
#plexipe,0.1,0.41666666666666663,0.8333333333333333,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.003333333333333345,0.45,0.05,0.45,0.45,0.45,4.083333333333332,4.083333333333332,0.41666666666666663,0.41666666666666663,0.03333333333333337,0.8333333333333333,0.8333333333333333
#plexipe,0.1,0.41666666666666663,0.8333333333333333,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.003333333333333345,0.45,0.05,0.45,0.45,0.45,4.083333333333332,4.083333333333332,0.41666666666666663,0.41666666666666663,0.03333333333333337,0.8333333333333333,0.8333333333333333
#veneur,0.5,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.8166666666666664,0.25,0.25,2.25,2.25,2.25,0.4166666666666667,0.4166666666666667,10.083333333333332,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666
#messager,0.5,0.08333333333333333,4.166666666666668,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.4166666666666667,0.25,2.25,0.25,0.25,0.25,0.4166666666666667,0.4166666666666667,0.08333333333333333,10.083333333333332,0.16666666666666666,0.16666666666666666,0.16666666666666666
#idmon,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.5,0.5,0.5,0.5,0.5,0.03333333333333332,0.03333333333333332,0.16666666666666666,0.16666666666666666,8.333333333333336,1.3333333333333337,1.3333333333333337
#altee,1.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.5,0.5,0.5,0.5,0.5,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.16666666666666666,1.3333333333333337,8.333333333333336,8.333333333333336
#altee,1.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.5,0.5,0.5,0.5,0.5,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.16666666666666666,1.3333333333333337,8.333333333333336,8.333333333333336
