VALEUR,#le-chevalier,#le-marquis,#frosine,#dorante,#therese,#la-comtesse,#la-suivante,#la-suissesse,#le-suisse,#gusmand,#la-suivante #gusmand,#la-veuve,#l-intendant,#le-suisse #un-laquais,#la-suissesse #le-laquais,#un-laquais
Fréquences (scènes),0.02564102564102564,0.02564102564102564,0.46153846153846156,0.3333333333333333,0.28205128205128205,0.20512820512820512,0.1794871794871795,0.1282051282051282,0.10256410256410256,0.46153846153846156,0.02564102564102564,0.20512820512820512,0.28205128205128205,0.02564102564102564,0.05128205128205128,0.02564102564102564
Fréquences(répliques),0.0,0.0,0.0,0.0,0.059880239520958084,0.0,0.16766467065868262,0.17365269461077845,0.1317365269461078,0.4550898203592814,0.011976047904191617,0.0,0.0,0.0,0.0,0.0
Confrontation,0.0035714285714285713,0.0035714285714285713,0.14285714285714285,0.11071428571428571,0.09642857142857143,0.07142857142857142,0.07857142857142857,0.06785714285714285,0.039285714285714285,0.1357142857142857,0.007142857142857143,0.08214285714285714,0.10357142857142858,0.014285714285714285,0.02857142857142857,0.014285714285714285
Déviations,#le-chevalier,#le-marquis,#frosine,#dorante,#therese,#la-comtesse,#la-suivante,#la-suissesse,#le-suisse,#gusmand,#la-suivante #gusmand,#la-veuve,#l-intendant,#le-suisse #un-laquais,#la-suissesse #le-laquais,#un-laquais
#le-chevalier,37.02564102564103,37.02564102564103,0.46153846153846156,0.3333333333333333,0.28205128205128205,0.20512820512820512,0.1794871794871795,0.1282051282051282,0.10256410256410256,0.46153846153846156,0.02564102564102564,0.20512820512820512,0.28205128205128205,0.02564102564102564,0.05128205128205128,0.02564102564102564
#le-chevalier,37.02564102564103,37.02564102564103,0.46153846153846156,0.3333333333333333,0.28205128205128205,0.20512820512820512,0.1794871794871795,0.1282051282051282,0.10256410256410256,0.46153846153846156,0.02564102564102564,0.20512820512820512,0.28205128205128205,0.02564102564102564,0.05128205128205128,0.02564102564102564
#frosine,0.4615384615384615,0.4615384615384615,11.307692307692305,2.6666666666666665,0.16783216783216792,0.7756410256410254,0.4688644688644689,0.7410256410256408,1.846153846153846,0.011396011396011445,0.4615384615384615,2.963141025641026,0.22843822843822834,0.4615384615384615,0.923076923076923,0.4615384615384615
#dorante,0.3333333333333333,0.3333333333333333,2.6666666666666665,17.33333333333334,5.121212121212123,0.1666666666666666,0.04761904761904766,0.26666666666666655,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.1666666666666666,0.7575757575757575,0.3333333333333333,0.6666666666666666,0.3333333333333333
#therese,0.28205128205128205,0.28205128205128205,0.1678321678321676,5.121212121212123,20.102564102564102,0.02913752913752913,0.0003330003330003306,0.11934731934731929,1.1282051282051282,0.22843822843822867,0.28205128205128205,0.6995920745920746,0.0033905488450943046,0.28205128205128205,0.5641025641025641,0.28205128205128205
#la-comtesse,0.20512820512820512,0.20512820512820512,0.7756410256410259,0.1666666666666666,0.02913752913752913,24.641025641025642,8.84661172161172,0.9256410256410259,0.039262820512820526,0.7756410256410259,0.20512820512820512,0.07852564102564105,0.02913752913752913,0.20512820512820512,0.41025641025641024,0.20512820512820512
#la-suivante,0.1794871794871795,0.1794871794871795,0.4688644688644689,0.04761904761904754,0.0003330003330003306,8.84661172161172,26.256410256410255,1.3545787545787549,0.1108058608058608,0.01648351648351649,3.7509157509157505,0.2216117216117216,0.0003330003330003306,0.1794871794871795,0.358974358974359,0.1794871794871795
#la-suissesse,0.1282051282051282,0.1282051282051282,0.7410256410256412,0.26666666666666655,0.11934731934731929,0.9256410256410259,1.3545787545787547,29.64102564102565,12.062820512820515,0.04102564102564109,0.1282051282051282,0.0006410256410256366,0.24662004662004675,5.928205128205129,11.856410256410259,5.928205128205129
#le-suisse,0.10256410256410256,0.10256410256410256,1.8461538461538463,1.3333333333333333,1.1282051282051282,0.039262820512820526,0.1108058608058608,12.062820512820515,31.410256410256412,0.38782051282051294,0.10256410256410256,0.8205128205128205,0.014568764568764565,7.852564102564103,15.705128205128206,7.852564102564103
#gusmand,0.4615384615384615,0.4615384615384615,0.011396011396011445,0.6666666666666666,0.22843822843822834,0.7756410256410254,0.01648351648351649,0.04102564102564098,0.3878205128205127,11.307692307692305,0.6282051282051284,0.025641025641025682,0.7284382284382287,0.6282051282051284,0.0064102564102564204,0.4615384615384615
#la-suivante #gusmand,0.02564102564102564,0.02564102564102564,0.46153846153846156,0.3333333333333333,0.28205128205128205,0.20512820512820512,3.7509157509157505,0.1282051282051282,0.10256410256410256,0.6282051282051281,37.02564102564103,0.20512820512820512,0.28205128205128205,0.02564102564102564,0.05128205128205128,0.02564102564102564
#la-veuve,0.20512820512820512,0.20512820512820512,2.963141025641025,0.1666666666666666,0.6995920745920746,0.07852564102564105,0.2216117216117216,0.0006410256410256366,0.8205128205128205,0.025641025641025605,0.20512820512820512,24.641025641025642,1.3473193473193474,0.20512820512820512,0.41025641025641024,0.20512820512820512
#l-intendant,0.28205128205128205,0.28205128205128205,0.22843822843822867,0.7575757575757575,0.0033905488450943046,0.02913752913752913,0.0003330003330003306,0.24662004662004675,0.014568764568764565,0.7284382284382279,0.28205128205128205,1.3473193473193474,20.102564102564102,0.28205128205128205,0.33682983682983686,1.8275058275058276
#le-suisse #un-laquais,0.02564102564102564,0.02564102564102564,0.46153846153846156,0.3333333333333333,0.28205128205128205,0.20512820512820512,0.1794871794871795,5.928205128205129,7.852564102564103,0.6282051282051281,0.02564102564102564,0.20512820512820512,0.28205128205128205,37.02564102564103,17.55128205128205,0.02564102564102564
#la-suissesse #le-laquais,0.05128205128205128,0.05128205128205128,0.9230769230769231,0.6666666666666666,0.5641025641025641,0.41025641025641024,0.358974358974359,11.856410256410259,15.705128205128206,0.006410256410256401,0.05128205128205128,0.41025641025641024,0.33682983682983686,17.55128205128205,35.1025641025641,17.55128205128205
#un-laquais,0.02564102564102564,0.02564102564102564,0.46153846153846156,0.3333333333333333,0.28205128205128205,0.20512820512820512,0.1794871794871795,5.928205128205129,7.852564102564103,0.46153846153846156,0.02564102564102564,0.20512820512820512,1.8275058275058276,0.02564102564102564,17.55128205128205,37.02564102564103
Successions,#le-chevalier,#le-marquis,#frosine,#dorante,#therese,#la-comtesse,#la-suivante,#la-suissesse,#le-suisse,#gusmand,#la-suivante #gusmand,#la-veuve,#l-intendant,#le-suisse #un-laquais,#la-suissesse #le-laquais,#un-laquais
#le-chevalier,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-marquis,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#frosine,0.0,0.010638297872340425,0.010638297872340425,0.2872340425531915,0.05319148936170213,0.010638297872340425,0.0,0.0,0.0,0.23404255319148937,0.010638297872340425,0.3617021276595745,0.02127659574468085,0.0,0.0,0.0
#dorante,0.0,0.0,0.43548387096774194,0.0,0.3387096774193548,0.06451612903225806,0.0,0.0,0.0,0.016129032258064516,0.0,0.12903225806451613,0.016129032258064516,0.0,0.0,0.0
#therese,0.0,0.0,0.13636363636363635,0.5,0.022727272727272728,0.06818181818181818,0.0,0.0,0.0,0.1590909090909091,0.0,0.0,0.11363636363636363,0.0,0.0,0.0
#la-comtesse,0.0,0.0,0.08333333333333333,0.0625,0.0625,0.0,0.10416666666666667,0.0625,0.16666666666666666,0.08333333333333333,0.0,0.25,0.125,0.0,0.0,0.0
#la-suivante,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.0,0.15789473684210525,0.0,0.47368421052631576,0.0,0.05263157894736842,0.10526315789473684,0.0,0.0,0.0
#la-suissesse,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.13333333333333333,0.0,0.26666666666666666,0.13333333333333333,0.0,0.0,0.13333333333333333,0.0,0.0,0.0
#le-suisse,0.0,0.0,0.0,0.0,0.0,0.3684210526315789,0.05263157894736842,0.2631578947368421,0.0,0.15789473684210525,0.0,0.0,0.10526315789473684,0.05263157894736842,0.0,0.0
