VALEUR,#thermantie,#eucherius,#honorius,#placidie,#stilicon,#mutian,#lucile,#zenon,#marcellin
Fréquences (scènes),0.1935483870967742,0.3548387096774194,0.6129032258064516,0.45161290322580644,0.41935483870967744,0.12903225806451613,0.12903225806451613,0.03225806451612903,0.12903225806451613
Fréquences(répliques),0.04278326281147156,0.14527503526093088,0.27127409496944055,0.21955806299952985,0.20545369064409968,0.031029619181946404,0.041372825575928536,0.0014104372355430183,0.04184297132110954
Confrontation,0.09848484848484848,0.14393939393939395,0.24242424242424243,0.1590909090909091,0.18181818181818182,0.06818181818181818,0.045454545454545456,0.015151515151515152,0.045454545454545456
Déviations,#thermantie,#eucherius,#honorius,#placidie,#stilicon,#mutian,#lucile,#zenon,#marcellin
#thermantie,20.16129032258065,1.6441837732160316,0.47566496887379717,1.0787250384024576,0.10587262200165425,0.06586021505376345,0.7741935483870968,0.1935483870967742,0.7741935483870968
#eucherius,1.6441837732160316,12.903225806451612,0.23475845037814466,1.7729367406786762,0.5639521768554029,0.123900293255132,1.4193548387096777,1.1730205278592374,1.4193548387096777
#honorius,0.47566496887379756,0.23475845037814466,4.645161290322582,1.4941789958767884,0.00013059945148230354,0.08319185059422751,2.4516129032258065,0.24448217317487264,0.12266553480475381
#placidie,1.0787250384024576,1.7729367406786762,1.4941789958767884,9.322580645161292,0.002835873803615734,0.3600230414746543,2.6635944700460827,0.45161290322580644,0.020737327188940103
#stilicon,0.10587262200165425,0.5639521768554029,0.00013059945148230354,0.002835873803615734,10.451612903225804,3.2158808933002487,0.2735732009925557,0.4193548387096774,1.6774193548387095
#mutian,0.06586021505376345,0.123900293255132,0.08319185059422751,0.3600230414746543,3.215880893300247,23.516129032258064,0.5161290322580645,0.12903225806451613,0.5161290322580645
#lucile,0.7741935483870968,1.4193548387096777,2.4516129032258065,2.6635944700460827,0.2735732009925559,0.5161290322580645,23.516129032258064,0.12903225806451613,0.45362903225806456
#zenon,0.1935483870967742,1.1730205278592374,0.24448217317487264,0.45161290322580644,0.41935483870967744,0.12903225806451613,0.12903225806451613,29.03225806451613,0.12903225806451613
#marcellin,0.7741935483870968,1.4193548387096777,0.12266553480475381,0.020737327188940103,1.6774193548387097,0.5161290322580645,0.45362903225806456,0.12903225806451613,23.516129032258064
Successions,#thermantie,#eucherius,#honorius,#placidie,#stilicon,#mutian,#lucile,#zenon,#marcellin
#thermantie,0.0,0.2857142857142857,0.6428571428571429,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
#eucherius,0.1,0.0,0.56,0.22,0.1,0.0,0.0,0.0,0.02
#honorius,0.07291666666666667,0.3125,0.0625,0.19791666666666666,0.25,0.03125,0.0,0.010416666666666666,0.0625
#placidie,0.015625,0.1875,0.265625,0.015625,0.140625,0.0,0.296875,0.0,0.078125
#stilicon,0.0,0.07407407407407407,0.5185185185185185,0.16666666666666666,0.0,0.18518518518518517,0.05555555555555555,0.0,0.0
#mutian,0.15384615384615385,0.0,0.0,0.0,0.8461538461538461,0.0,0.0,0.0,0.0
#lucile,0.0,0.0,0.0,0.8260869565217391,0.17391304347826086,0.0,0.0,0.0,0.0
#zenon,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#marcellin,0.0,0.0,0.5,0.4166666666666667,0.0,0.0,0.08333333333333333,0.0,0.0
