VALEUR,#isabelle,#arlequin,#cinthio,#colombine,#mezzetin,#pierrot,#le-valet,#monsieur-croquignolet,#pasquariel,#le-hollandais,#le-garde,#arlequin #pierrot,#le-choeur,#arlequin #mezzetin #pasquariel
Fréquences (scènes),0.38461538461538464,0.34615384615384615,0.3076923076923077,0.11538461538461539,0.07692307692307693,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464
Fréquences(répliques),0.0,0.0,0.0,0.0,0.48148148148148145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2962962962962963,0.2222222222222222
Confrontation,0.17708333333333334,0.15625,0.16666666666666666,0.041666666666666664,0.041666666666666664,0.125,0.0625,0.0625,0.010416666666666666,0.010416666666666666,0.052083333333333336,0.052083333333333336,0.020833333333333332,0.020833333333333332
Déviations,#isabelle,#arlequin,#cinthio,#colombine,#mezzetin,#pierrot,#le-valet,#monsieur-croquignolet,#pasquariel,#le-hollandais,#le-garde,#arlequin #pierrot,#le-choeur,#arlequin #mezzetin #pasquariel
#isabelle,9.846153846153845,0.08376068376068373,1.2019230769230766,0.020512820512820544,0.7692307692307693,0.0019230769230769314,0.1884615384615385,0.1884615384615385,0.38461538461538464,0.38461538461538464,0.9846153846153847,0.9846153846153847,0.38461538461538464,0.38461538461538464
#arlequin,0.08376068376068373,11.115384615384617,0.5470085470085471,1.0384615384615385,0.6923076923076923,0.019230769230769242,1.3846153846153846,1.3846153846153846,1.235042735042735,1.235042735042735,1.235042735042735,1.235042735042735,0.34615384615384615,0.34615384615384615
#cinthio,1.2019230769230766,0.5470085470085471,12.46153846153846,0.006410256410256401,0.6153846153846154,0.08653846153846158,0.04326923076923079,0.04326923076923079,0.3076923076923077,0.3076923076923077,1.5576923076923075,1.5576923076923075,0.3076923076923077,0.3076923076923077
#colombine,0.020512820512820544,1.0384615384615383,0.006410256410256401,20.346153846153843,2.5641025641025634,0.006410256410256401,0.46153846153846156,0.46153846153846156,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539
#mezzetin,0.7692307692307693,0.6923076923076923,0.6153846153846154,2.5641025641025634,22.153846153846157,0.24038461538461534,0.3076923076923077,0.3076923076923077,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,11.076923076923078,11.076923076923078
#pierrot,0.0019230769230769314,0.019230769230769242,0.08653846153846158,0.006410256410256401,0.24038461538461534,12.46153846153846,1.2307692307692308,1.2307692307692308,0.3076923076923077,0.3076923076923077,1.5576923076923075,1.5576923076923075,0.3076923076923077,0.3076923076923077
