VALEUR,#frisette,#magali,#cendrillon,#magali #frisette,#le-portier,#la-fee-urgele,#le-crieur,#le-prince-charmant,#le-page,#un-autre-page,#une-dame-d-honneur,#deuxieme-dame-d-honneur,#troisieme-dame-d-honneur
Fréquences (scènes),0.42857142857142855,0.42857142857142855,0.7142857142857143,0.21428571428571427,0.42857142857142855,0.35714285714285715,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
Fréquences(répliques),0.11475409836065574,0.1092896174863388,0.21493624772313297,0.00546448087431694,0.28233151183970856,0.19854280510018216,0.0,0.0546448087431694,0.012750455373406194,0.0018214936247723133,0.0018214936247723133,0.0018214936247723133,0.0018214936247723133
Confrontation,0.13333333333333333,0.13333333333333333,0.1388888888888889,0.06666666666666667,0.07777777777777778,0.06666666666666667,0.05,0.08333333333333333,0.05,0.05,0.05,0.05,0.05
Déviations,#frisette,#magali,#cendrillon,#magali #frisette,#le-portier,#la-fee-urgele,#le-crieur,#le-prince-charmant,#le-page,#un-autre-page,#une-dame-d-honneur,#deuxieme-dame-d-honneur,#troisieme-dame-d-honneur
#frisette,4.571428571428573,4.571428571428573,0.019047619047619032,2.2857142857142865,0.12698412698412687,0.6095238095238095,0.7619047619047619,1.5238095238095237,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619
#frisette,4.571428571428573,4.571428571428573,0.019047619047619032,2.2857142857142865,0.12698412698412687,0.6095238095238095,0.7619047619047619,1.5238095238095237,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619
#cendrillon,0.019047619047619032,0.019047619047619032,1.1428571428571426,0.009523809523809516,0.3857142857142856,0.05142857142857138,0.11428571428571437,0.22857142857142873,0.11428571428571437,0.11428571428571437,0.11428571428571437,0.11428571428571437,0.11428571428571437
#magali #frisette,2.2857142857142865,2.2857142857142865,0.009523809523809516,8.642857142857144,0.396825396825397,0.004761904761904758,0.21428571428571427,0.7619047619047619,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427
#le-portier,0.12698412698412687,0.12698412698412687,0.3857142857142856,0.396825396825397,4.571428571428573,1.6095238095238096,0.42857142857142855,0.023809523809523826,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855
#la-fee-urgele,0.6095238095238095,0.6095238095238095,0.05142857142857138,0.004761904761904758,1.6095238095238096,5.785714285714286,0.3571428571428571,0.11428571428571437,0.3571428571428571,0.3571428571428571,0.3571428571428571,0.3571428571428571,0.3571428571428571
#le-crieur,0.7619047619047619,0.7619047619047619,0.11428571428571427,0.21428571428571427,0.42857142857142855,0.35714285714285715,12.071428571428573,5.142857142857144,12.071428571428573,12.071428571428573,12.071428571428573,12.071428571428573,12.071428571428573
#le-prince-charmant,1.5238095238095237,1.5238095238095237,0.22857142857142854,0.7619047619047619,0.023809523809523826,0.11428571428571427,5.142857142857144,10.285714285714288,5.142857142857144,5.142857142857144,5.142857142857144,5.142857142857144,5.142857142857144
#le-crieur,0.7619047619047619,0.7619047619047619,0.11428571428571427,0.21428571428571427,0.42857142857142855,0.35714285714285715,12.071428571428573,5.142857142857144,12.071428571428573,12.071428571428573,12.071428571428573,12.071428571428573,12.071428571428573
#le-crieur,0.7619047619047619,0.7619047619047619,0.11428571428571427,0.21428571428571427,0.42857142857142855,0.35714285714285715,12.071428571428573,5.142857142857144,12.071428571428573,12.071428571428573,12.071428571428573,12.071428571428573,12.071428571428573
#le-crieur,0.7619047619047619,0.7619047619047619,0.11428571428571427,0.21428571428571427,0.42857142857142855,0.35714285714285715,12.071428571428573,5.142857142857144,12.071428571428573,12.071428571428573,12.071428571428573,12.071428571428573,12.071428571428573
#le-crieur,0.7619047619047619,0.7619047619047619,0.11428571428571427,0.21428571428571427,0.42857142857142855,0.35714285714285715,12.071428571428573,5.142857142857144,12.071428571428573,12.071428571428573,12.071428571428573,12.071428571428573,12.071428571428573
#le-crieur,0.7619047619047619,0.7619047619047619,0.11428571428571427,0.21428571428571427,0.42857142857142855,0.35714285714285715,12.071428571428573,5.142857142857144,12.071428571428573,12.071428571428573,12.071428571428573,12.071428571428573,12.071428571428573
Successions,#frisette,#magali,#cendrillon,#magali #frisette,#le-portier,#la-fee-urgele,#le-crieur,#le-prince-charmant,#le-page,#un-autre-page,#une-dame-d-honneur,#deuxieme-dame-d-honneur,#troisieme-dame-d-honneur
#frisette,0.0,0.7678571428571429,0.125,0.0,0.08928571428571429,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0
