VALEUR,#cecina,#agrippine,#hercinie,#segeste,#germanicus,#arminius,#segimire,#emile,#flavian
Fréquences (scènes),0.2222222222222222,0.1388888888888889,0.2777777777777778,0.19444444444444445,0.25,0.3055555555555556,0.2222222222222222,0.1388888888888889,0.3333333333333333
Fréquences(répliques),0.05406881485527035,0.05843801201529219,0.16766794101583835,0.09448388858547242,0.13271436373566356,0.20480611687602404,0.11250682687056253,0.026761332605133806,0.14855270344074276
Confrontation,0.07692307692307693,0.1076923076923077,0.15384615384615385,0.05384615384615385,0.11538461538461539,0.13846153846153847,0.14615384615384616,0.06153846153846154,0.14615384615384616
Déviations,#cecina,#agrippine,#hercinie,#segeste,#germanicus,#arminius,#segimire,#emile,#flavian
#cecina,21.77777777777778,0.711111111111111,0.6722222222222223,0.19841269841269843,0.5,0.8535353535353536,0.3402777777777777,1.1111111111111112,1.0416666666666665
#agrippine,0.711111111111111,26.694444444444443,1.868888888888889,0.9722222222222222,2.45,0.1823232323232324,3.211111111111111,0.6944444444444444,0.06666666666666674
#hercinie,0.6722222222222223,1.868888888888889,18.77777777777778,0.0015873015873015888,0.9,1.237373737373737,0.27222222222222214,0.10888888888888885,0.13333333333333347
#segeste,0.1984126984126983,0.9722222222222223,0.0015873015873015758,23.361111111111114,0.03571428571428571,0.6064213564213566,1.5555555555555551,0.9722222222222223,0.7619047619047616
#germanicus,0.5,2.45,0.9,0.03571428571428571,20.25,0.022727272727272728,0.0,1.25,1.3333333333333333
#arminius,0.8535353535353534,0.1823232323232324,1.237373737373737,0.6064213564213564,0.022727272727272728,17.361111111111104,0.08080808080808072,0.1823232323232324,0.03030303030303033
#segimire,0.3402777777777777,3.211111111111111,0.27222222222222214,1.5555555555555556,0.0,0.08080808080808087,21.77777777777778,7.51111111111111,0.6666666666666669
#emile,1.1111111111111112,0.6944444444444444,0.10888888888888885,0.9722222222222222,1.25,0.1823232323232324,7.51111111111111,26.694444444444443,0.06666666666666674
#flavian,1.0416666666666665,0.06666666666666664,0.13333333333333328,0.761904761904762,1.3333333333333333,0.030303030303030245,0.6666666666666669,0.06666666666666664,16.0
Successions,#cecina,#agrippine,#hercinie,#segeste,#germanicus,#arminius,#segimire,#emile,#flavian
#cecina,0.0,0.13636363636363635,0.0,0.5454545454545454,0.22727272727272727,0.045454545454545456,0.0,0.0,0.045454545454545456
#agrippine,0.19230769230769232,0.0,0.46153846153846156,0.0,0.15384615384615385,0.0,0.038461538461538464,0.038461538461538464,0.11538461538461539
#hercinie,0.0,0.2033898305084746,0.0,0.13559322033898305,0.01694915254237288,0.3898305084745763,0.06779661016949153,0.0,0.1864406779661017
#segeste,0.21739130434782608,0.021739130434782608,0.17391304347826086,0.021739130434782608,0.391304347826087,0.13043478260869565,0.0,0.0,0.043478260869565216
#germanicus,0.11363636363636363,0.11363636363636363,0.0,0.3409090909090909,0.022727272727272728,0.3181818181818182,0.045454545454545456,0.045454545454545456,0.0
#arminius,0.04838709677419355,0.0,0.3387096774193548,0.12903225806451613,0.20967741935483872,0.0,0.03225806451612903,0.0,0.24193548387096775
#segimire,0.0,0.06666666666666667,0.13333333333333333,0.0,0.03333333333333333,0.13333333333333333,0.03333333333333333,0.23333333333333334,0.36666666666666664
#emile,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.47058823529411764,0.0,0.47058823529411764
#flavian,0.0,0.05660377358490566,0.24528301886792453,0.03773584905660377,0.0,0.2641509433962264,0.22641509433962265,0.1320754716981132,0.03773584905660377
