VALEUR,#metellus,#priscus,#regulus,#mannius,#fulvie,#faustine,#lepide,#le-jeune-attilius,#marcelle
Fréquences (scènes),0.3783783783783784,0.21621621621621623,0.32432432432432434,0.21621621621621623,0.5675675675675675,0.08108108108108109,0.16216216216216217,0.08108108108108109,0.02702702702702703
Fréquences(répliques),0.21858288770053477,0.13168449197860962,0.2627005347593583,0.08957219251336898,0.2179144385026738,0.01270053475935829,0.03609625668449198,0.020053475935828877,0.0106951871657754
Confrontation,0.19607843137254902,0.11764705882352941,0.18627450980392157,0.0784313725490196,0.21568627450980393,0.029411764705882353,0.09803921568627451,0.06862745098039216,0.00980392156862745
Déviations,#metellus,#priscus,#regulus,#mannius,#fulvie,#faustine,#lepide,#le-jeune-attilius,#marcelle
#metellus,14.297297297297293,1.2859555984555981,0.46911196911196923,1.35738416988417,1.0922044493473064,1.135135135135135,0.032175032175032155,0.016087516087516077,0.37837837837837834
#priscus,1.2859555984555981,22.72972972972973,0.06334459459459454,0.30785472972972977,1.4214929214929213,0.6486486486486487,0.06813063063063066,0.6486486486486487,0.21621621621621623
#regulus,0.46911196911196923,0.06334459459459454,16.891891891891895,0.1362612612612613,1.1600171600171598,0.972972972972973,0.0015015015015014954,1.084084084084084,0.32432432432432434
#mannius,1.35738416988417,0.30785472972972977,0.1362612612612613,22.72972972972973,1.4214929214929213,0.6486486486486487,0.3806306306306305,0.6486486486486487,0.21621621621621623
#fulvie,1.0922044493473069,1.4214929214929213,1.1600171600171605,1.4214929214929213,6.918918918918918,0.988416988416988,0.5800085800085802,0.988416988416988,0.3294723294723295
#faustine,1.135135135135135,0.6486486486486487,0.972972972972973,0.6486486486486487,0.9884169884169886,31.24324324324324,0.4864864864864865,0.24324324324324326,0.08108108108108109
#lepide,0.032175032175032155,0.06813063063063066,0.0015015015015014954,0.3806306306306305,0.5800085800085799,0.4864864864864865,25.972972972972972,0.542042042042042,0.16216216216216217
#le-jeune-attilius,0.016087516087516077,0.6486486486486487,1.084084084084084,0.6486486486486487,0.9884169884169886,0.24324324324324326,0.542042042042042,31.24324324324324,0.08108108108108109
#marcelle,0.37837837837837834,0.21621621621621623,0.32432432432432434,0.21621621621621623,0.3294723294723295,0.08108108108108109,0.16216216216216217,0.08108108108108109,35.02702702702703
Successions,#metellus,#priscus,#regulus,#mannius,#fulvie,#faustine,#lepide,#le-jeune-attilius,#marcelle
#metellus,0.024390243902439025,0.17073170731707318,0.36585365853658536,0.024390243902439025,0.36585365853658536,0.0,0.024390243902439025,0.024390243902439025,0.0
#priscus,0.5,0.0,0.2777777777777778,0.0,0.2222222222222222,0.0,0.0,0.0,0.0
#regulus,0.3111111111111111,0.13333333333333333,0.044444444444444446,0.13333333333333333,0.28888888888888886,0.0,0.06666666666666667,0.022222222222222223,0.0
#mannius,0.047619047619047616,0.0,0.2857142857142857,0.0,0.42857142857142855,0.0,0.23809523809523808,0.0,0.0
#fulvie,0.3018867924528302,0.09433962264150944,0.22641509433962265,0.16981132075471697,0.0,0.09433962264150944,0.05660377358490566,0.018867924528301886,0.03773584905660377
#faustine,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#lepide,0.07692307692307693,0.0,0.23076923076923078,0.38461538461538464,0.15384615384615385,0.0,0.0,0.15384615384615385,0.0
#le-jeune-attilius,0.0,0.0,0.4,0.0,0.4,0.0,0.2,0.0,0.0
#faustine,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
