VALEUR,#apollon,#thalie,#la-muse,#la-petite-fille,#l-auteur,#le-comedien,#roquillard,#pierrot,#isabelle,#colombine,#mezzetin,#arlequin,#roquillard #colombine,#la-rhetorique,#octave,#le-comedien-français,#un-portier,#le-parterre
Fréquences (scènes),0.07142857142857142,0.10714285714285714,0.07142857142857142,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.32142857142857145,0.14285714285714285,0.32142857142857145,0.42857142857142855,0.10714285714285714,0.17857142857142858,0.03571428571428571,0.03571428571428571,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.03571428571428571
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38235294117647056,0.23529411764705882,0.0,0.23529411764705882,0.0,0.14705882352941177,0.0,0.0
Confrontation,0.026785714285714284,0.03571428571428571,0.0,0.017857142857142856,0.017857142857142856,0.008928571428571428,0.16964285714285715,0.044642857142857144,0.125,0.1875,0.0625,0.10714285714285714,0.026785714285714284,0.026785714285714284,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
Déviations,#apollon,#thalie,#la-muse,#la-petite-fille,#l-auteur,#le-comedien,#roquillard,#pierrot,#isabelle,#colombine,#mezzetin,#arlequin,#roquillard #colombine,#la-rhetorique,#octave,#le-comedien-français,#un-portier,#le-parterre
#apollon,24.142857142857146,14.880952380952383,0.14285714285714285,12.071428571428573,0.14285714285714285,0.07142857142857142,0.6428571428571429,0.2857142857142857,0.6428571428571429,0.8571428571428571,0.21428571428571427,0.35714285714285715,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.07142857142857142
#thalie,14.880952380952383,22.321428571428577,0.21428571428571427,7.440476190476192,2.880952380952381,0.10714285714285714,0.9642857142857144,0.42857142857142855,0.9642857142857144,1.2857142857142856,0.3214285714285714,0.5357142857142857,0.10714285714285714,0.10714285714285714,0.3214285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714
#la-muse,0.14285714285714285,0.21428571428571427,24.142857142857146,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.6428571428571429,0.2857142857142857,0.6428571428571429,0.8571428571428571,0.21428571428571427,0.35714285714285715,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.07142857142857142
#la-petite-fille,12.071428571428573,7.440476190476192,0.07142857142857142,26.03571428571429,0.07142857142857142,0.03571428571428571,0.32142857142857145,0.14285714285714285,0.32142857142857145,0.42857142857142855,0.10714285714285714,0.17857142857142858,0.03571428571428571,0.03571428571428571,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.03571428571428571
#l-auteur,0.14285714285714285,2.880952380952381,0.14285714285714285,0.07142857142857142,24.142857142857146,12.071428571428573,0.6428571428571429,0.2857142857142857,0.6428571428571429,0.8571428571428571,0.21428571428571427,0.35714285714285715,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.07142857142857142
#le-comedien,0.07142857142857142,0.10714285714285714,0.07142857142857142,0.03571428571428571,12.071428571428573,26.03571428571429,0.32142857142857145,0.14285714285714285,0.32142857142857145,0.42857142857142855,0.10714285714285714,0.17857142857142858,0.03571428571428571,0.03571428571428571,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.03571428571428571
#roquillard,0.6428571428571428,0.9642857142857142,0.6428571428571428,0.3214285714285714,0.6428571428571428,0.3214285714285714,12.89285714285714,2.2857142857142865,1.2385361552028222,0.00529100529100532,1.1124338624338628,3.562698412698412,1.4325396825396828,1.4325396825396828,0.9642857142857142,1.4325396825396828,1.4325396825396828,1.4325396825396828
#pierrot,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.14285714285714285,2.285714285714285,20.571428571428577,0.06349206349206353,1.7142857142857142,0.42857142857142855,0.11428571428571427,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285
#isabelle,0.6428571428571428,0.9642857142857142,0.6428571428571428,0.3214285714285714,0.6428571428571428,0.3214285714285714,1.2385361552028222,0.06349206349206343,12.89285714285714,2.560846560846562,0.00132275132275133,0.09603174603174601,0.3214285714285714,0.3214285714285714,1.1124338624338628,0.3214285714285714,0.3214285714285714,0.3214285714285714
#colombine,0.8571428571428571,1.2857142857142856,0.8571428571428571,0.42857142857142855,0.8571428571428571,0.42857142857142855,0.005291005291005253,1.7142857142857142,2.56084656084656,9.142857142857146,0.396825396825397,0.009523809523809516,0.7619047619047619,0.42857142857142855,0.396825396825397,0.7619047619047619,0.7619047619047619,0.7619047619047619
#mezzetin,0.21428571428571427,0.3214285714285714,0.21428571428571427,0.10714285714285714,0.21428571428571427,0.10714285714285714,1.1124338624338619,0.42857142857142855,0.0013227513227513134,0.396825396825397,22.321428571428577,0.4023809523809524,0.10714285714285714,7.440476190476192,0.3214285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714
#arlequin,0.3571428571428571,0.5357142857142857,0.3571428571428571,0.17857142857142855,0.3571428571428571,0.17857142857142855,3.562698412698412,0.11428571428571437,0.09603174603174601,0.009523809523809516,0.4023809523809524,18.89285714285714,3.7785714285714285,3.7785714285714285,0.5357142857142857,0.17857142857142855,0.17857142857142855,0.17857142857142855
#roquillard #colombine,0.07142857142857142,0.10714285714285714,0.07142857142857142,0.03571428571428571,0.07142857142857142,0.03571428571428571,1.4325396825396826,0.14285714285714285,0.32142857142857145,0.7619047619047619,0.10714285714285714,3.778571428571428,26.03571428571429,0.03571428571428571,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.03571428571428571
#la-rhetorique,0.07142857142857142,0.10714285714285714,0.07142857142857142,0.03571428571428571,0.07142857142857142,0.03571428571428571,1.4325396825396826,0.14285714285714285,0.32142857142857145,0.42857142857142855,7.440476190476192,3.778571428571428,0.03571428571428571,26.03571428571429,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.03571428571428571
#octave,0.21428571428571427,0.3214285714285714,0.21428571428571427,0.10714285714285714,0.21428571428571427,0.10714285714285714,0.9642857142857144,0.42857142857142855,1.1124338624338619,0.396825396825397,0.3214285714285714,0.5357142857142857,0.10714285714285714,0.10714285714285714,22.321428571428577,0.10714285714285714,0.10714285714285714,0.10714285714285714
#le-comedien-français,0.07142857142857142,0.10714285714285714,0.07142857142857142,0.03571428571428571,0.07142857142857142,0.03571428571428571,1.4325396825396826,0.14285714285714285,0.32142857142857145,0.7619047619047619,0.10714285714285714,0.17857142857142858,0.03571428571428571,0.03571428571428571,0.10714285714285714,26.03571428571429,26.03571428571429,26.03571428571429
#le-comedien-français,0.07142857142857142,0.10714285714285714,0.07142857142857142,0.03571428571428571,0.07142857142857142,0.03571428571428571,1.4325396825396826,0.14285714285714285,0.32142857142857145,0.7619047619047619,0.10714285714285714,0.17857142857142858,0.03571428571428571,0.03571428571428571,0.10714285714285714,26.03571428571429,26.03571428571429,26.03571428571429
#le-comedien-français,0.07142857142857142,0.10714285714285714,0.07142857142857142,0.03571428571428571,0.07142857142857142,0.03571428571428571,1.4325396825396826,0.14285714285714285,0.32142857142857145,0.7619047619047619,0.10714285714285714,0.17857142857142858,0.03571428571428571,0.03571428571428571,0.10714285714285714,26.03571428571429,26.03571428571429,26.03571428571429
Successions,#apollon,#thalie,#la-muse,#la-petite-fille,#l-auteur,#le-comedien,#roquillard,#pierrot,#isabelle,#colombine,#mezzetin,#arlequin,#roquillard #colombine,#la-rhetorique,#octave,#le-comedien-français,#un-portier,#le-parterre
#apollon,0.0,0.6923076923076923,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#thalie,0.47619047619047616,0.0,0.0,0.2857142857142857,0.23809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-muse,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-petite-fille,0.4,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-auteur,0.0,0.8571428571428571,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-comedien,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#roquillard,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.3142857142857143,0.0,0.2,0.05714285714285714,0.37142857142857144,0.0,0.0,0.0,0.02857142857142857,0.0,0.0
#pierrot,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0625,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0
#isabelle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.023255813953488372,0.5581395348837209,0.023255813953488372,0.20930232558139536,0.0,0.0,0.16279069767441862,0.0,0.0,0.0
#colombine,0.0,0.0,0.0,0.0,0.0,0.0,0.10606060606060606,0.0,0.3787878787878788,0.045454545454545456,0.045454545454545456,0.16666666666666666,0.0,0.0,0.06060606060606061,0.10606060606060606,0.0,0.09090909090909091
#mezzetin,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.625,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
#arlequin,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.1,0.225,0.2,0.05,0.0,0.025,0.05,0.0,0.0,0.0,0.0
#roquillard #colombine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#roquillard #colombine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#octave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-comedien-français,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.4444444444444444
#un-portier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-parterre,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
