VALEUR,#colette,#le-devin,#colin,#colin #colette,#choeur,#ensemble,#le-choeur,#les-villageoises
Fréquences (scènes),0.5,0.625,0.625,0.125,0.125,0.125,0.125,0.125
Fréquences(répliques),0.2918918918918919,0.24864864864864866,0.3621621621621622,0.043243243243243246,0.043243243243243246,0.0,0.0,0.010810810810810811
Confrontation,0.16666666666666666,0.16666666666666666,0.18518518518518517,0.037037037037037035,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
Déviations,#colette,#le-devin,#colin,#colin #colette,#choeur,#ensemble,#le-choeur,#les-villageoises
#colette,2.0,0.1,0.1,0.5,0.5,0.5,0.5,0.5
#le-devin,0.1,1.125,0.005,0.625,0.225,0.225,0.225,0.225
#colin,0.1,0.005,1.125,0.225,0.225,0.225,0.225,0.225
#colin #colette,0.5,0.625,0.225,6.125,0.125,0.125,0.125,0.125
#choeur,0.5,0.225,0.225,0.125,6.125,6.125,6.125,6.125
#choeur,0.5,0.225,0.225,0.125,6.125,6.125,6.125,6.125
#choeur,0.5,0.225,0.225,0.125,6.125,6.125,6.125,6.125
#choeur,0.5,0.225,0.225,0.125,6.125,6.125,6.125,6.125
Successions,#colette,#le-devin,#colin,#colin #colette,#choeur,#ensemble,#le-choeur,#les-villageoises
#colette,0.08823529411764706,0.2647058823529412,0.5588235294117647,0.029411764705882353,0.0,0.0,0.029411764705882353,0.029411764705882353
#le-devin,0.45454545454545453,0.045454545454545456,0.45454545454545453,0.045454545454545456,0.0,0.0,0.0,0.0
#colin,0.5,0.36666666666666664,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.0,0.0,0.0
#colin #colette,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#choeur,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
#colin #colette,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-choeur,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#colin #colette,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
