VALEUR,#clitandre,#l-olive,#eraste,#madame-argante,#frosine,#cidalise,#monsieur-guillemin,#l-abbe,#le-chevalier,#le-notaire,#madame-guillemin,#chouchette,#mariane,#monsieur-griffard,#le-nourricier,#le-tabellion,#le-marinier,#tous
Fréquences (scènes),0.14285714285714285,0.39285714285714285,0.10714285714285714,0.35714285714285715,0.7142857142857143,0.4642857142857143,0.14285714285714285,0.10714285714285714,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.14285714285714285,0.21428571428571427,0.17857142857142858,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
Fréquences(répliques),0.0,0.5287356321839081,0.0,0.0,0.0,0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26436781609195403,0.19540229885057472
Confrontation,0.03333333333333333,0.0962962962962963,0.037037037037037035,0.1259259259259259,0.15925925925925927,0.16296296296296298,0.05555555555555555,0.044444444444444446,0.04814814814814815,0.018518518518518517,0.018518518518518517,0.03333333333333333,0.06296296296296296,0.05925925925925926,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.011111111111111112
Déviations,#clitandre,#l-olive,#eraste,#madame-argante,#frosine,#cidalise,#monsieur-guillemin,#l-abbe,#le-chevalier,#le-notaire,#madame-guillemin,#chouchette,#mariane,#monsieur-griffard,#le-nourricier,#le-tabellion,#le-marinier,#tous
#clitandre,20.571428571428577,1.2987012987012987,5.761904761904762,0.1285714285714286,2.857142857142857,0.3956043956043957,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.023809523809523826,0.11428571428571427,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
#l-olive,1.2987012987012987,10.321428571428573,2.8149350649350646,0.946753246753247,1.0389610389610393,0.8693806193806197,1.5714285714285714,1.1785714285714286,0.027056277056277066,0.39285714285714285,0.39285714285714285,0.20779220779220778,0.05411255411255413,0.5461038961038959,0.39285714285714285,0.9383116883116885,0.9383116883116885,0.9383116883116885
#eraste,5.761904761904762,2.8149350649350646,22.321428571428577,0.004761904761904758,0.6095238095238095,0.11080586080586079,0.42857142857142855,0.3214285714285714,0.3214285714285714,0.10714285714285714,0.10714285714285714,0.42857142857142855,0.1984126984126985,0.4023809523809524,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714
#madame-argante,0.12857142857142848,0.9467532467532467,0.004761904761904758,11.571428571428571,0.10285714285714276,4.089010989010988,4.62857142857143,3.471428571428572,0.8047619047619048,1.1571428571428575,1.1571428571428575,1.4285714285714284,0.6095238095238095,0.3457142857142858,0.3571428571428571,0.3571428571428571,0.3571428571428571,0.3571428571428571
#frosine,2.8571428571428568,1.0389610389610389,0.6095238095238095,0.10285714285714276,2.285714285714285,0.05494505494505482,0.007142857142857182,0.009523809523809516,0.009523809523809516,0.11428571428571437,0.11428571428571437,0.007142857142857182,0.019047619047619032,0.6914285714285716,0.11428571428571437,0.7142857142857142,0.7142857142857142,0.7142857142857142
#cidalise,0.3956043956043955,0.8693806193806192,0.11080586080586079,4.089010989010988,0.05494505494505482,8.035714285714286,2.4725274725274735,1.8543956043956047,0.2646520146520147,0.6181318681318684,0.6181318681318684,0.3956043956043955,0.0164835164835165,0.1983516483516482,0.6181318681318684,0.6181318681318684,0.46428571428571425,0.46428571428571425
#monsieur-guillemin,0.5714285714285714,1.5714285714285714,0.42857142857142855,4.628571428571427,0.007142857142857136,2.472527472527472,20.571428571428577,5.761904761904762,0.7619047619047619,0.14285714285714285,5.142857142857144,0.5714285714285714,0.8571428571428571,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
#l-abbe,0.42857142857142855,1.1785714285714286,0.3214285714285714,3.471428571428572,0.009523809523809516,1.8543956043956047,5.761904761904762,22.321428571428577,1.4325396825396828,7.440476190476192,0.10714285714285714,0.42857142857142855,0.6428571428571428,0.5357142857142857,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714
#le-chevalier,0.42857142857142855,0.027056277056277066,0.3214285714285714,0.8047619047619048,0.009523809523809516,0.2646520146520147,0.7619047619047619,1.4325396825396828,22.321428571428577,7.440476190476192,7.440476190476192,0.42857142857142855,0.6428571428571428,0.5357142857142857,0.10714285714285714,0.10714285714285714,7.440476190476192,7.440476190476192
#le-notaire,0.14285714285714285,0.39285714285714285,0.10714285714285714,1.1571428571428568,0.11428571428571427,0.618131868131868,0.14285714285714285,7.440476190476192,7.440476190476192,26.03571428571429,0.03571428571428571,0.14285714285714285,0.21428571428571427,0.17857142857142858,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
#madame-guillemin,0.14285714285714285,0.39285714285714285,0.10714285714285714,1.1571428571428568,0.11428571428571427,0.618131868131868,5.142857142857144,0.10714285714285714,7.440476190476192,0.03571428571428571,26.03571428571429,0.14285714285714285,0.21428571428571427,0.17857142857142858,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
#chouchette,0.5714285714285714,0.20779220779220778,0.42857142857142855,1.4285714285714286,0.007142857142857136,0.3956043956043957,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.14285714285714285,20.571428571428577,5.357142857142857,0.11428571428571427,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
#mariane,0.023809523809523826,0.05411255411255413,0.1984126984126985,0.6095238095238095,0.019047619047619032,0.0164835164835165,0.8571428571428571,0.6428571428571428,0.6428571428571428,0.21428571428571427,0.21428571428571427,5.357142857142857,17.28571428571429,0.8047619047619048,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427
#monsieur-griffard,0.11428571428571437,0.5461038961038962,0.4023809523809524,0.3457142857142858,0.6914285714285716,0.1983516483516482,0.7142857142857142,0.5357142857142857,0.5357142857142857,0.17857142857142855,0.17857142857142855,0.11428571428571437,0.8047619047619048,18.89285714285714,3.7785714285714285,3.7785714285714285,0.17857142857142855,0.17857142857142855
#le-nourricier,0.14285714285714285,0.39285714285714285,0.10714285714285714,0.35714285714285715,0.11428571428571427,0.618131868131868,0.14285714285714285,0.10714285714285714,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.14285714285714285,0.21428571428571427,3.778571428571428,26.03571428571429,0.03571428571428571,0.03571428571428571,0.03571428571428571
