VALEUR,#dieu,#adam,#eve,#satan,#abel,#caïn,#abraham,#moïse,#aaron,#david,#salomon,#balaam,#daniel,#habacuc,#jeremie,#isaïe,#le-juif,#nabuchodonosor
Fréquences (scènes),0.4,0.5,0.5,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Fréquences(répliques),0.2089108910891089,0.21386138613861386,0.09801980198019802,0.13663366336633664,0.08217821782178218,0.06831683168316832,0.023762376237623763,0.009900990099009901,0.007920792079207921,0.007920792079207921,0.02574257425742574,0.009900990099009901,0.013861386138613862,0.013861386138613862,0.02178217821782178,0.033663366336633666,0.023762376237623763,0.0
Confrontation,0.050724637681159424,0.057971014492753624,0.057971014492753624,0.014492753623188406,0.007246376811594203,0.014492753623188406,0.0,0.07246376811594203,0.07246376811594203,0.07246376811594203,0.07246376811594203,0.07246376811594203,0.07246376811594203,0.07246376811594203,0.07246376811594203,0.07246376811594203,0.07246376811594203,0.07246376811594203
Déviations,#dieu,#adam,#eve,#satan,#abel,#caïn,#abraham,#moïse,#aaron,#david,#salomon,#balaam,#daniel,#habacuc,#jeremie,#isaïe,#le-juif,#nabuchodonosor
#dieu,3.5999999999999996,0.5,0.5,0.8000000000000002,0.4000000000000001,0.049999999999999975,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001
#adam,0.5,2.5,0.9,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
#eve,0.5,0.9,2.5,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
#satan,0.8000000000000002,0.0,0.0,6.400000000000001,0.20000000000000004,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
#abel,0.4000000000000001,0.5,0.5,0.20000000000000004,8.1,3.2000000000000006,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#caïn,0.049999999999999975,1.0,1.0,0.4000000000000001,3.2000000000000006,6.400000000000001,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
#abraham,0.4000000000000001,0.5,0.5,0.20000000000000004,0.10000000000000002,0.20000000000000004,8.1,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#moïse,0.4000000000000001,0.5,0.5,0.20000000000000004,0.10000000000000002,0.20000000000000004,0.10000000000000002,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
#moïse,0.4000000000000001,0.5,0.5,0.20000000000000004,0.10000000000000002,0.20000000000000004,0.10000000000000002,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
#moïse,0.4000000000000001,0.5,0.5,0.20000000000000004,0.10000000000000002,0.20000000000000004,0.10000000000000002,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
#moïse,0.4000000000000001,0.5,0.5,0.20000000000000004,0.10000000000000002,0.20000000000000004,0.10000000000000002,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
#moïse,0.4000000000000001,0.5,0.5,0.20000000000000004,0.10000000000000002,0.20000000000000004,0.10000000000000002,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
#moïse,0.4000000000000001,0.5,0.5,0.20000000000000004,0.10000000000000002,0.20000000000000004,0.10000000000000002,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
