VALEUR,#mercure,#apollon,#plaute,#le-chevalier,#valentin,#araminte,#finette,#demophon,#meneschme,#isabelle,#monsieur-coquelet,#le-marquis,#robertin
Fréquences (scènes),0.06521739130434782,0.043478260869565216,0.021739130434782608,0.2608695652173913,0.6086956521739131,0.2608695652173913,0.30434782608695654,0.30434782608695654,0.41304347826086957,0.15217391304347827,0.021739130434782608,0.021739130434782608,0.06521739130434782
Fréquences(répliques),0.05592105263157895,0.03242481203007519,0.02537593984962406,0.13721804511278196,0.24060150375939848,0.07283834586466166,0.09163533834586467,0.07283834586466166,0.17951127819548873,0.02819548872180451,0.019736842105263157,0.021616541353383457,0.022086466165413533
Confrontation,0.011194029850746268,0.011194029850746268,0.007462686567164179,0.08208955223880597,0.16791044776119404,0.12313432835820895,0.13432835820895522,0.13805970149253732,0.16417910447761194,0.08208955223880597,0.007462686567164179,0.007462686567164179,0.06343283582089553
Déviations,#mercure,#apollon,#plaute,#le-chevalier,#valentin,#araminte,#finette,#demophon,#meneschme,#isabelle,#monsieur-coquelet,#le-marquis,#robertin
#mercure,40.19565217391305,26.797101449275367,13.398550724637683,0.7826086956521738,1.8260869565217392,0.7826086956521738,0.9130434782608696,0.9130434782608696,1.2391304347826086,0.4565217391304348,0.06521739130434782,0.06521739130434782,0.19565217391304346
#apollon,26.797101449275367,42.08695652173913,21.043478260869566,0.5217391304347826,1.2173913043478262,0.5217391304347826,0.6086956521739131,0.6086956521739131,0.8260869565217391,0.30434782608695654,0.043478260869565216,0.043478260869565216,0.13043478260869565
#plaute,13.398550724637683,21.043478260869566,44.02173913043478,0.2608695652173913,0.6086956521739131,0.2608695652173913,0.30434782608695654,0.30434782608695654,0.41304347826086957,0.15217391304347827,0.021739130434782608,0.021739130434782608,0.06521739130434782
#le-chevalier,0.7826086956521738,0.5217391304347826,0.2608695652173913,25.1304347826087,0.06625258799171833,0.005434782608695627,0.7474120082815736,0.03312629399585917,3.158276125095347,0.7546583850931675,0.2608695652173913,0.2608695652173913,0.060386473429951744
#valentin,1.826086956521739,1.2173913043478262,0.6086956521739131,0.06625258799171851,7.043478260869563,2.5364906832298133,0.7462289263531503,1.455412599822538,1.7005557371690094,0.37311446317657515,0.2515527950310558,0.2515527950310558,0.01656314699792963
#araminte,0.7826086956521738,0.5217391304347826,0.2608695652173913,0.005434782608695627,2.536490683229814,25.1304347826087,7.830745341614906,3.068840579710144,0.00038138825324180353,0.7546583850931675,0.2608695652173913,0.2608695652173913,6.282608695652175
#finette,0.9130434782608695,0.6086956521739131,0.30434782608695654,0.7474120082815734,0.7462289263531503,7.830745341614907,22.26086956521739,0.7098491570541258,0.8502778685845047,0.007985803016858932,0.30434782608695654,0.30434782608695654,4.770186335403727
#demophon,0.9130434782608695,0.6086956521739131,0.30434782608695654,0.03312629399585926,1.455412599822538,3.0688405797101455,0.7098491570541258,22.26086956521739,0.008172605426610009,7.028393966282164,0.30434782608695654,0.30434782608695654,4.770186335403727
#meneschme,1.2391304347826086,0.8260869565217391,0.41304347826086957,3.158276125095347,1.7005557371690094,0.00038138825324180353,0.8502778685845047,0.008172605426610009,15.847826086956522,0.0040863027133050045,0.8340961098398169,0.8340961098398169,2.502288329519451
#isabelle,0.45652173913043476,0.30434782608695654,0.15217391304347827,0.7546583850931678,0.37311446317657515,0.7546583850931678,0.007985803016858932,7.028393966282164,0.0040863027133050045,33.06521739130435,0.15217391304347827,0.15217391304347827,5.2184265010351965
#monsieur-coquelet,0.06521739130434782,0.043478260869565216,0.021739130434782608,0.2608695652173913,0.2515527950310558,0.2608695652173913,0.30434782608695654,0.30434782608695654,0.8340961098398169,0.15217391304347827,44.02173913043478,0.021739130434782608,0.06521739130434782
#le-marquis,0.06521739130434782,0.043478260869565216,0.021739130434782608,0.2608695652173913,0.2515527950310558,0.2608695652173913,0.30434782608695654,0.30434782608695654,0.8340961098398169,0.15217391304347827,0.021739130434782608,44.02173913043478,0.06521739130434782
#robertin,0.19565217391304346,0.13043478260869565,0.06521739130434782,0.060386473429951744,0.016563146997929584,6.282608695652175,4.770186335403726,4.770186335403726,2.502288329519451,5.2184265010351965,0.06521739130434782,0.06521739130434782,40.19565217391305
Successions,#mercure,#apollon,#plaute,#le-chevalier,#valentin,#araminte,#finette,#demophon,#meneschme,#isabelle,#monsieur-coquelet,#le-marquis,#robertin
#mercure,0.0,0.5789473684210527,0.42105263157894735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#apollon,0.8666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#plaute,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-chevalier,0.009523809523809525,0.0,0.0,0.01904761904761905,0.5047619047619047,0.12380952380952381,0.0,0.12380952380952381,0.09523809523809523,0.10476190476190476,0.0,0.0,0.01904761904761905
#valentin,0.0,0.0,0.0,0.42857142857142855,0.05,0.0,0.1357142857142857,0.02857142857142857,0.2642857142857143,0.014285714285714285,0.05714285714285714,0.02142857142857143,0.0
#araminte,0.0,0.0,0.0,0.2222222222222222,0.037037037037037035,0.018518518518518517,0.12962962962962962,0.2037037037037037,0.25925925925925924,0.09259259259259259,0.0,0.0,0.037037037037037035
#finette,0.0,0.0,0.0,0.014925373134328358,0.26865671641791045,0.208955223880597,0.014925373134328358,0.014925373134328358,0.47761194029850745,0.0,0.0,0.0,0.0
#demophon,0.0,0.0,0.0,0.1724137931034483,0.08620689655172414,0.1896551724137931,0.08620689655172414,0.017241379310344827,0.25862068965517243,0.15517241379310345,0.0,0.0,0.034482758620689655
#meneschme,0.0,0.0,0.0,0.07947019867549669,0.19205298013245034,0.08609271523178808,0.23178807947019867,0.09933774834437085,0.019867549668874173,0.019867549668874173,0.06622516556291391,0.09933774834437085,0.10596026490066225
#isabelle,0.0,0.0,0.0,0.25806451612903225,0.25806451612903225,0.06451612903225806,0.0,0.3225806451612903,0.0967741935483871,0.0,0.0,0.0,0.0
#monsieur-coquelet,0.0,0.0,0.0,0.0,0.6111111111111112,0.0,0.0,0.0,0.3888888888888889,0.0,0.0,0.0,0.0
#le-marquis,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.0
#robertin,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.13636363636363635,0.7272727272727273,0.045454545454545456,0.0,0.0,0.0
