VALEUR,#damis,#marton,#rosalie,#cydalise,#valere,#monsieur-carondas,#crispin,#theophraste,#dortidius,#monsieur-propice
Fréquences (scènes),0.30434782608695654,0.5217391304347826,0.21739130434782608,0.5217391304347826,0.2608695652173913,0.21739130434782608,0.2608695652173913,0.21739130434782608,0.2608695652173913,0.043478260869565216
Fréquences(répliques),0.13159797541576285,0.1749819233550253,0.049168474331164135,0.24656543745480838,0.16558206796818511,0.07592190889370933,0.06290672451193059,0.039045553145336226,0.04121475054229935,0.013015184381778741
Confrontation,0.08441558441558442,0.14935064935064934,0.05844155844155844,0.18831168831168832,0.11038961038961038,0.05194805194805195,0.11688311688311688,0.09740259740259741,0.12337662337662338,0.01948051948051948
Déviations,#damis,#marton,#rosalie,#cydalise,#valere,#monsieur-carondas,#crispin,#theophraste,#dortidius,#monsieur-propice
#damis,11.130434782608695,0.49741200828157367,0.1503105590062113,0.7474120082815734,1.826086956521739,1.5217391304347825,2.587991718426501,1.5217391304347825,1.826086956521739,0.30434782608695654
#marton,0.4974120082815733,5.2608695652173925,0.7420289855072463,0.25392512077294666,1.4498792270531398,0.9920289855072464,0.24154589371980698,0.9920289855072464,0.40821256038647324,0.5217391304347826
#rosalie,0.1503105590062111,0.7420289855072463,14.08695652173913,0.14202898550724638,1.3043478260869565,1.0869565217391304,0.07101449275362319,1.0869565217391304,1.3043478260869565,0.21739130434782608
#cydalise,0.7474120082815736,0.25392512077294666,0.14202898550724638,5.2608695652173925,0.24154589371980698,0.05869565217391303,0.005434782608695627,0.7420289855072463,1.1165458937198072,0.43840579710144933
#valere,1.8260869565217392,1.4498792270531398,1.3043478260869565,0.24154589371980698,12.56521739130435,0.37101449275362314,0.12077294685990349,5.571014492753624,3.787439613526571,0.2608695652173913
#monsieur-carondas,1.5217391304347827,0.9920289855072464,1.0869565217391304,0.05869565217391303,0.37101449275362314,14.08695652173913,0.07101449275362319,1.0869565217391304,0.07101449275362319,0.21739130434782608
#crispin,2.5879917184265007,0.24154589371980698,0.07101449275362319,0.005434782608695627,0.12077294685990349,0.07101449275362319,12.56521739130435,0.07101449275362319,0.12077294685990349,0.2608695652173913
#theophraste,1.5217391304347827,0.9920289855072464,1.0869565217391304,0.7420289855072463,5.571014492753624,1.0869565217391304,0.07101449275362319,14.08695652173913,5.571014492753624,2.8173913043478267
#dortidius,1.8260869565217392,0.40821256038647324,1.3043478260869565,1.1165458937198072,3.787439613526571,0.07101449275362319,0.12077294685990349,5.571014492753624,12.56521739130435,2.094202898550724
#monsieur-propice,0.30434782608695654,0.5217391304347826,0.21739130434782608,0.43840579710144933,0.2608695652173913,0.21739130434782608,0.2608695652173913,2.8173913043478267,2.094202898550724,21.043478260869566
Successions,#damis,#marton,#rosalie,#cydalise,#valere,#monsieur-carondas,#crispin,#theophraste,#dortidius,#monsieur-propice
#damis,0.0,0.5645161290322581,0.03225806451612903,0.20967741935483872,0.0,0.0,0.1935483870967742,0.0,0.0,0.0
#marton,0.4931506849315068,0.0136986301369863,0.2876712328767123,0.0684931506849315,0.0136986301369863,0.0,0.1095890410958904,0.0,0.0136986301369863,0.0
#rosalie,0.1,0.6666666666666666,0.0,0.23333333333333334,0.0,0.0,0.0,0.0,0.0,0.0
#cydalise,0.1134020618556701,0.05154639175257732,0.061855670103092786,0.041237113402061855,0.1958762886597938,0.24742268041237114,0.061855670103092786,0.10309278350515463,0.041237113402061855,0.08247422680412371
#valere,0.0,0.012195121951219513,0.0,0.24390243902439024,0.024390243902439025,0.32926829268292684,0.012195121951219513,0.14634146341463414,0.23170731707317074,0.0
#monsieur-carondas,0.0,0.018867924528301886,0.0,0.39622641509433965,0.5471698113207547,0.0,0.03773584905660377,0.0,0.0,0.0
#crispin,0.43333333333333335,0.23333333333333334,0.03333333333333333,0.23333333333333334,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,0.0
#theophraste,0.0,0.06451612903225806,0.0,0.12903225806451613,0.41935483870967744,0.0,0.03225806451612903,0.0,0.3548387096774194,0.0
#dortidius,0.0,0.0,0.0,0.23076923076923078,0.46153846153846156,0.02564102564102564,0.0,0.20512820512820512,0.05128205128205128,0.02564102564102564
#monsieur-propice,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.2222222222222222,0.0
