VALEUR,#arlequin,#mercure,#jupiter,#aurelio,#mezzetin,#sotinet,#pierrot,#isabelle,#colombine,#un-laquais,#trotenville,#amilare,#le-chevalier,#le-laquais,#braillardet,#cornichon,#dieu-de-l-hymen
Fréquences (scènes),0.2962962962962963,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.2222222222222222,0.18518518518518517,0.07407407407407407,0.48148148148148145,0.4444444444444444,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.18518518518518517,0.1111111111111111,0.037037037037037035,0.037037037037037035,0.037037037037037035
Fréquences(répliques),0.07692307692307693,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.1111111111111111,0.015873015873015872,0.015873015873015872,0.007936507936507936,0.047619047619047616,0.0873015873015873,0.015873015873015872,0.19047619047619047,0.19047619047619047,0.015873015873015872,0.03968253968253968,0.023809523809523808,0.07936507936507936,0.03968253968253968,0.03968253968253968,0.03968253968253968,0.03968253968253968
Déviations,#arlequin,#mercure,#jupiter,#aurelio,#mezzetin,#sotinet,#pierrot,#isabelle,#colombine,#un-laquais,#trotenville,#amilare,#le-chevalier,#le-laquais,#braillardet,#cornichon,#dieu-de-l-hymen
#arlequin,13.370370370370372,0.28009259259259267,1.6712962962962965,0.2962962962962963,2.777777777777778,0.18148148148148155,0.5925925925925926,2.111467236467236,0.6805555555555554,0.2962962962962963,0.5925925925925926,0.2962962962962963,1.4814814814814814,0.8888888888888888,1.6712962962962965,1.6712962962962965,1.6712962962962965
#mercure,0.28009259259259267,23.148148148148152,11.574074074074076,0.07407407407407407,0.4444444444444444,0.37037037037037035,0.14814814814814814,0.9629629629629629,0.8888888888888888,0.07407407407407407,0.14814814814814814,0.07407407407407407,0.37037037037037035,0.2222222222222222,0.07407407407407407,0.07407407407407407,0.07407407407407407
#jupiter,1.6712962962962965,11.574074074074076,25.03703703703704,0.037037037037037035,0.2222222222222222,0.18518518518518517,0.07407407407407407,0.48148148148148145,0.4444444444444444,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.18518518518518517,0.1111111111111111,0.037037037037037035,0.037037037037037035,0.037037037037037035
#aurelio,0.2962962962962963,0.07407407407407407,0.037037037037037035,25.03703703703704,2.7222222222222223,0.18518518518518517,0.07407407407407407,0.48148148148148145,0.4444444444444444,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.18518518518518517,0.1111111111111111,0.037037037037037035,0.037037037037037035,0.037037037037037035
#mezzetin,2.777777777777778,0.4444444444444444,0.2222222222222222,2.7222222222222223,16.33333333333334,0.01111111111111112,0.4444444444444444,2.888888888888889,2.6666666666666665,0.2222222222222222,0.4444444444444444,0.2222222222222222,1.1111111111111112,0.6666666666666666,0.2222222222222222,0.2222222222222222,0.2222222222222222
#sotinet,0.18148148148148155,0.37037037037037035,0.18518518518518517,0.18518518518518517,0.01111111111111112,17.92592592592593,7.170370370370373,0.8227920227920228,0.02222222222222224,0.18518518518518517,0.37037037037037035,0.18518518518518517,0.9259259259259258,0.5555555555555556,3.5851851851851864,3.5851851851851864,3.5851851851851864
#pierrot,0.5925925925925926,0.14814814814814814,0.07407407407407407,0.07407407407407407,0.4444444444444444,7.170370370370373,23.148148148148152,0.9629629629629629,0.8888888888888888,0.07407407407407407,0.14814814814814814,0.07407407407407407,0.37037037037037035,0.2222222222222222,0.07407407407407407,0.07407407407407407,0.07407407407407407
#isabelle,2.111467236467236,0.9629629629629629,0.48148148148148145,0.48148148148148145,2.888888888888889,0.8227920227920228,0.9629629629629629,7.259259259259261,3.0854700854700856,0.5584045584045586,1.1168091168091172,0.5584045584045586,2.7920227920227916,1.6752136752136753,0.48148148148148145,0.48148148148148145,0.48148148148148145
#colombine,0.6805555555555554,0.8888888888888888,0.4444444444444444,0.4444444444444444,2.6666666666666665,0.02222222222222224,0.8888888888888888,3.0854700854700856,8.333333333333336,0.6944444444444445,1.388888888888889,0.6944444444444445,0.27222222222222214,1.3333333333333333,0.6944444444444445,0.6944444444444445,0.6944444444444445
#un-laquais,0.2962962962962963,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.2222222222222222,0.18518518518518517,0.07407407407407407,0.5584045584045586,0.6944444444444445,25.03703703703704,0.07407407407407407,0.037037037037037035,0.18518518518518517,0.1111111111111111,0.037037037037037035,0.037037037037037035,0.037037037037037035
#trotenville,0.5925925925925926,0.14814814814814814,0.07407407407407407,0.07407407407407407,0.4444444444444444,0.37037037037037035,0.14814814814814814,1.1168091168091172,1.388888888888889,0.07407407407407407,23.148148148148152,11.574074074074076,0.37037037037037035,0.2222222222222222,0.07407407407407407,0.07407407407407407,0.07407407407407407
#amilare,0.2962962962962963,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.2222222222222222,0.18518518518518517,0.07407407407407407,0.5584045584045586,0.6944444444444445,0.037037037037037035,11.574074074074076,25.03703703703704,0.18518518518518517,0.1111111111111111,0.037037037037037035,0.037037037037037035,0.037037037037037035
#le-chevalier,1.4814814814814814,0.37037037037037035,0.18518518518518517,0.18518518518518517,1.1111111111111112,0.9259259259259258,0.37037037037037035,2.7920227920227916,0.27222222222222214,0.18518518518518517,0.37037037037037035,0.18518518518518517,17.92592592592593,3.755555555555555,0.18518518518518517,0.18518518518518517,0.18518518518518517
#le-laquais,0.8888888888888888,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.5555555555555556,0.2222222222222222,1.6752136752136753,1.3333333333333333,0.1111111111111111,0.2222222222222222,0.1111111111111111,3.755555555555555,21.333333333333332,0.1111111111111111,0.1111111111111111,0.1111111111111111
#braillardet,1.6712962962962965,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.2222222222222222,3.5851851851851864,0.07407407407407407,0.48148148148148145,0.6944444444444445,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.18518518518518517,0.1111111111111111,25.03703703703704,25.03703703703704,25.03703703703704
#braillardet,1.6712962962962965,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.2222222222222222,3.5851851851851864,0.07407407407407407,0.48148148148148145,0.6944444444444445,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.18518518518518517,0.1111111111111111,25.03703703703704,25.03703703703704,25.03703703703704
#braillardet,1.6712962962962965,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.2222222222222222,3.5851851851851864,0.07407407407407407,0.48148148148148145,0.6944444444444445,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.18518518518518517,0.1111111111111111,25.03703703703704,25.03703703703704,25.03703703703704
Successions,#arlequin,#mercure,#jupiter,#aurelio,#mezzetin,#sotinet,#pierrot,#isabelle,#colombine,#un-laquais,#trotenville,#amilare,#le-chevalier,#le-laquais,#braillardet,#cornichon,#dieu-de-l-hymen
#arlequin,0.0,0.011904761904761904,0.05952380952380952,0.0,0.6428571428571429,0.23809523809523808,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,0.0
#mercure,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#jupiter,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#aurelio,0.0,0.16666666666666666,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
