VALEUR,#laurence,#sophie,#madame-dupre,#gersaint,#dupre,#ernest,#le-marquis,#la-comtesse
Fréquences (scènes),0.46875,0.375,0.34375,0.375,0.25,0.46875,0.15625,0.09375
Fréquences(répliques),0.26881720430107525,0.0967741935483871,0.23655913978494625,0.08602150537634409,0.0,0.3118279569892473,0.0,0.0
Confrontation,0.15,0.1388888888888889,0.1,0.15555555555555556,0.12222222222222222,0.17222222222222222,0.08888888888888889,0.07222222222222222
Déviations,#laurence,#sophie,#madame-dupre,#gersaint,#dupre,#ernest,#le-marquis,#la-comtesse
#laurence,9.03125,0.33611111111111114,0.259280303030303,0.025,0.15,0.5868055555555556,0.7704166666666666,0.11736111111111111
#sophie,0.33611111111111114,12.5,0.003787878787878788,0.05555555555555555,0.3333333333333333,1.225,0.675,0.013888888888888888
#madame-dupre,0.259280303030303,0.003787878787878788,13.78125,1.0946969696969697,0.022727272727272728,0.004734848484848485,1.71875,1.03125
#gersaint,0.025,0.05555555555555555,1.0946969696969697,12.5,0.0,0.06944444444444445,2.408333333333333,3.125
#dupre,0.15,0.3333333333333333,0.022727272727272728,0.0,18.0,2.816666666666667,0.45,2.0833333333333335
#ernest,0.5868055555555556,1.225,0.004734848484848485,0.06944444444444445,2.816666666666667,9.03125,0.18375,1.80625
#le-marquis,0.7704166666666666,0.675,1.71875,2.408333333333333,0.45,0.18375,22.78125,13.66875
#la-comtesse,0.11736111111111111,0.013888888888888888,1.03125,3.125,2.0833333333333335,1.80625,13.66875,26.28125
Successions,#laurence,#sophie,#madame-dupre,#gersaint,#dupre,#ernest,#le-marquis,#la-comtesse
#laurence,0.0072992700729927005,0.31386861313868614,0.072992700729927,0.1897810218978102,0.0072992700729927005,0.3795620437956204,0.0072992700729927005,0.021897810218978103
#sophie,0.5487804878048781,0.012195121951219513,0.0975609756097561,0.0975609756097561,0.012195121951219513,0.13414634146341464,0.07317073170731707,0.024390243902439025
#madame-dupre,0.1375,0.075,0.0125,0.0625,0.2375,0.475,0.0,0.0
#gersaint,0.32894736842105265,0.14473684210526316,0.02631578947368421,0.0,0.07894736842105263,0.18421052631578946,0.13157894736842105,0.10526315789473684
#dupre,0.06896551724137931,0.034482758620689655,0.3275862068965517,0.15517241379310345,0.0,0.39655172413793105,0.0,0.017241379310344827
#ernest,0.3263888888888889,0.06944444444444445,0.2777777777777778,0.09027777777777778,0.2013888888888889,0.013888888888888888,0.006944444444444444,0.013888888888888888
#le-marquis,0.045454545454545456,0.2727272727272727,0.0,0.36363636363636365,0.09090909090909091,0.13636363636363635,0.0,0.09090909090909091
#la-comtesse,0.2222222222222222,0.16666666666666666,0.0,0.3333333333333333,0.0,0.05555555555555555,0.2222222222222222,0.0
