VALEUR,#trivelin,#monsieur-rhubarbini,#silvia,#spinette,#arlequin,#mario,#flaminia,#un-musicien,#ensemble
Fréquences (scènes),0.36363636363636365,0.22727272727272727,0.4090909090909091,0.3181818181818182,0.3181818181818182,0.22727272727272727,0.45454545454545453,0.045454545454545456,0.045454545454545456
Fréquences(répliques),0.0,0.12903225806451613,0.1935483870967742,0.0,0.22580645161290322,0.0,0.0,0.45161290322580644,0.0
Confrontation,0.12264150943396226,0.14150943396226415,0.16981132075471697,0.11320754716981132,0.11320754716981132,0.1320754716981132,0.1509433962264151,0.04716981132075472,0.009433962264150943
Déviations,#trivelin,#monsieur-rhubarbini,#silvia,#spinette,#arlequin,#mario,#flaminia,#un-musicien,#ensemble
#trivelin,8.909090909090908,0.7681818181818183,0.4949494949494951,0.9383116883116882,0.08116883116883118,0.018181818181818195,0.7363636363636362,0.36363636363636365,0.36363636363636365
#monsieur-rhubarbini,0.7681818181818179,13.136363636363638,0.44545454545454555,0.10519480519480523,0.21948051948051941,0.6563636363636366,0.2327272727272729,2.627272727272727,0.2272727272727273
#silvia,0.4949494949494951,0.44545454545454555,7.681818181818182,0.2604617604617605,0.2604617604617605,0.44545454545454555,0.20202020202020204,0.8535353535353533,0.4090909090909091
#spinette,0.9383116883116882,0.10519480519480523,0.2604617604617605,10.22727272727273,0.023191094619666012,0.21948051948051941,0.01038961038961037,1.4610389610389614,0.3181818181818182
#arlequin,0.08116883116883118,0.21948051948051941,0.2604617604617605,0.023191094619666012,10.22727272727273,0.10519480519480523,3.181818181818182,1.4610389610389614,1.4610389610389614
#mario,0.018181818181818146,0.6563636363636366,0.44545454545454555,0.21948051948051941,0.10519480519480523,13.136363636363638,0.2327272727272729,2.627272727272727,0.2272727272727273
#flaminia,0.7363636363636366,0.2327272727272729,0.20202020202020204,0.01038961038961037,3.181818181818182,0.2327272727272729,6.545454545454547,0.4545454545454546,0.4545454545454546
#un-musicien,0.36363636363636365,2.627272727272727,0.8535353535353533,1.4610389610389614,1.4610389610389614,2.627272727272727,0.45454545454545453,20.045454545454547,0.045454545454545456
#ensemble,0.36363636363636365,0.22727272727272727,0.4090909090909091,0.3181818181818182,1.4610389610389614,0.22727272727272727,0.45454545454545453,0.045454545454545456,20.045454545454547
Successions,#trivelin,#monsieur-rhubarbini,#silvia,#spinette,#arlequin,#mario,#flaminia,#un-musicien,#ensemble
#trivelin,0.045454545454545456,0.2727272727272727,0.0,0.045454545454545456,0.5,0.09090909090909091,0.045454545454545456,0.0,0.0
#monsieur-rhubarbini,0.25,0.0,0.1,0.05,0.0,0.05,0.5,0.05,0.0
#silvia,0.03225806451612903,0.0967741935483871,0.03225806451612903,0.1935483870967742,0.22580645161290322,0.03225806451612903,0.3870967741935484,0.0,0.0
#spinette,0.034482758620689655,0.13793103448275862,0.20689655172413793,0.0,0.2413793103448276,0.034482758620689655,0.3448275862068966,0.0,0.0
#arlequin,0.36666666666666664,0.0,0.26666666666666666,0.23333333333333334,0.0,0.1,0.0,0.0,0.03333333333333333
#mario,0.09090909090909091,0.0,0.045454545454545456,0.0,0.13636363636363635,0.0,0.7272727272727273,0.0,0.0
#flaminia,0.0392156862745098,0.13725490196078433,0.23529411764705882,0.27450980392156865,0.0,0.27450980392156865,0.0392156862745098,0.0,0.0
#un-musicien,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#ensemble,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
