VALEUR,#theodore,#dubois,#vincent,#rosette,#sonore,#l-actrice,#ensemble,#le-gascon
Fréquences (scènes),0.7647058823529411,0.7058823529411765,0.29411764705882354,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
Fréquences(répliques),0.26714801444043323,0.09386281588447654,0.09386281588447654,0.08664259927797834,0.18050541516245489,0.1624548736462094,0.02888086642599278,0.08664259927797834
Confrontation,0.2777777777777778,0.2361111111111111,0.19444444444444445,0.16666666666666666,0.013888888888888888,0.027777777777777776,0.027777777777777776,0.05555555555555555
Déviations,#theodore,#dubois,#vincent,#rosette,#sonore,#l-actrice,#ensemble,#le-gascon
#theodore,0.9411764705882352,0.15082956259426877,0.3619909502262442,0.2895927601809956,0.7647058823529412,0.0723981900452489,0.0723981900452489,0.0723981900452489
#dubois,0.15082956259426833,1.4705882352941175,0.06274509803921571,0.011029411764705916,0.1225490196078432,0.7058823529411764,0.7058823529411764,0.1225490196078432
#vincent,0.3619909502262445,0.06274509803921559,8.470588235294116,6.776470588235293,0.29411764705882354,0.29411764705882354,0.29411764705882354,1.6941176470588233
#rosette,0.2895927601809956,0.011029411764705859,6.776470588235293,9.941176470588236,0.23529411764705882,0.23529411764705882,0.23529411764705882,2.485294117647059
#sonore,0.7647058823529412,0.1225490196078431,0.29411764705882354,0.23529411764705882,15.058823529411764,0.058823529411764705,0.058823529411764705,0.058823529411764705
#l-actrice,0.0723981900452489,0.7058823529411765,0.29411764705882354,0.23529411764705882,0.058823529411764705,15.058823529411764,15.058823529411764,0.058823529411764705
#l-actrice,0.0723981900452489,0.7058823529411765,0.29411764705882354,0.23529411764705882,0.058823529411764705,15.058823529411764,15.058823529411764,0.058823529411764705
#le-gascon,0.0723981900452489,0.1225490196078431,1.6941176470588233,2.485294117647059,0.058823529411764705,0.058823529411764705,0.058823529411764705,15.058823529411764
Successions,#theodore,#dubois,#vincent,#rosette,#sonore,#l-actrice,#ensemble,#le-gascon
#theodore,0.03333333333333333,0.3888888888888889,0.13333333333333333,0.022222222222222223,0.0,0.3,0.022222222222222223,0.1
#dubois,0.5344827586206896,0.017241379310344827,0.08620689655172414,0.034482758620689655,0.27586206896551724,0.0,0.0,0.05172413793103448
#vincent,0.4117647058823529,0.08823529411764706,0.029411764705882353,0.20588235294117646,0.0,0.0,0.0,0.2647058823529412
#rosette,0.2857142857142857,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.14285714285714285
#sonore,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-actrice,0.9310344827586207,0.034482758620689655,0.0,0.0,0.0,0.034482758620689655,0.0,0.0
#ensemble,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
#le-gascon,0.4782608695652174,0.08695652173913043,0.34782608695652173,0.08695652173913043,0.0,0.0,0.0,0.0
