VALEUR,#zenobie,#phenice,#arsame,#pharasmane,#hieron,#rhadamisthe,#mitrane,#hydaspe
Fréquences (scènes),0.37037037037037035,0.07407407407407407,0.4074074074074074,0.3333333333333333,0.14814814814814814,0.4074074074074074,0.07407407407407407,0.07407407407407407
Fréquences(répliques),0.23880597014925373,0.035278154681139755,0.21438263229308005,0.16960651289009498,0.03731343283582089,0.28968792401628224,0.007462686567164179,0.007462686567164179
Confrontation,0.17857142857142858,0.03571428571428571,0.21428571428571427,0.19642857142857142,0.08928571428571429,0.19642857142857142,0.03571428571428571,0.05357142857142857
Déviations,#zenobie,#phenice,#arsame,#pharasmane,#hieron,#rhadamisthe,#mitrane,#hydaspe
#zenobie,10.703703703703706,2.1407407407407413,0.2831649831649829,0.5333333333333331,1.4814814814814814,0.2831649831649829,0.7407407407407407,0.7407407407407407
#phenice,2.1407407407407413,23.148148148148152,0.8148148148148148,0.6666666666666666,0.2962962962962963,0.8148148148148148,0.14814814814814814,0.14814814814814814
#arsame,0.2831649831649829,0.8148148148148148,9.481481481481485,0.03030303030303033,1.6296296296296295,1.3740434649525555,1.7239057239057238,0.04208754208754211
#pharasmane,0.5333333333333331,0.6666666666666666,0.03030303030303033,12.0,0.0833333333333333,0.7575757575757575,0.6666666666666666,2.6666666666666674
#hieron,1.4814814814814814,0.2962962962962963,1.6296296296296295,0.0833333333333333,19.59259259259259,3.4478114478114477,0.2962962962962963,0.2962962962962963
#rhadamisthe,0.2831649831649829,0.8148148148148148,1.3740434649525555,0.7575757575757575,3.4478114478114477,9.481481481481485,0.8148148148148148,0.8148148148148148
#mitrane,0.7407407407407407,0.14814814814814814,1.7239057239057238,0.6666666666666666,0.2962962962962963,0.8148148148148148,23.148148148148152,0.14814814814814814
#hydaspe,0.7407407407407407,0.14814814814814814,0.04208754208754211,2.6666666666666674,0.2962962962962963,0.8148148148148148,0.14814814814814814,23.148148148148152
Successions,#zenobie,#phenice,#arsame,#pharasmane,#hieron,#rhadamisthe,#mitrane,#hydaspe
#zenobie,0.06060606060606061,0.24242424242424243,0.36363636363636365,0.06060606060606061,0.0,0.2727272727272727,0.0,0.0
#phenice,0.875,0.0,0.0,0.0,0.0,0.125,0.0,0.0
#arsame,0.3142857142857143,0.0,0.08571428571428572,0.2857142857142857,0.0,0.22857142857142856,0.08571428571428572,0.0
#pharasmane,0.1111111111111111,0.0,0.37037037037037035,0.1111111111111111,0.07407407407407407,0.18518518518518517,0.0,0.14814814814814814
#hieron,0.09090909090909091,0.0,0.0,0.2727272727272727,0.0,0.6363636363636364,0.0,0.0
#rhadamisthe,0.30303030303030304,0.0,0.18181818181818182,0.15151515151515152,0.2727272727272727,0.09090909090909091,0.0,0.0
#mitrane,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#hydaspe,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0
