VALEUR,#chrisis,#licas,#dione,#agnonide,#clitus,#alcinous,#phocion,#cleon,#arcas
Fréquences (scènes),0.41935483870967744,0.0967741935483871,0.06451612903225806,0.3870967741935484,0.1935483870967742,0.41935483870967744,0.25806451612903225,0.06451612903225806,0.06451612903225806
Fréquences(répliques),0.21367521367521367,0.011655011655011656,0.03263403263403263,0.2742812742812743,0.03108003108003108,0.23931623931623933,0.18026418026418026,0.009324009324009324,0.00777000777000777
Confrontation,0.25675675675675674,0.05405405405405406,0.02702702702702703,0.10810810810810811,0.10810810810810811,0.20270270270270271,0.17567567567567569,0.04054054054054054,0.02702702702702703
Déviations,#chrisis,#licas,#dione,#agnonide,#clitus,#alcinous,#phocion,#cleon,#arcas
#chrisis,10.451612903225804,0.43755169561621177,1.6079404466501244,3.2309760132340775,0.913564929693962,0.055163199083794516,2.0856079404466508,0.031017369727047182,0.8387096774193548
#licas,0.43755169561621177,25.29032258064517,0.1935483870967742,1.161290322580645,0.5806451612903225,0.43755169561621177,0.7741935483870968,0.1935483870967742,0.1935483870967742
#dione,1.6079404466501235,0.1935483870967742,27.12903225806452,0.7741935483870968,0.3870967741935484,0.8387096774193549,0.5161290322580645,0.12903225806451613,0.12903225806451613
#agnonide,3.2309760132340775,1.161290322580645,0.7741935483870968,11.645161290322584,3.08646953405018,3.2309760132340775,1.4196908602150538,0.7741935483870968,0.7741935483870968
#clitus,0.913564929693962,0.5806451612903225,0.3870967741935484,3.08646953405018,20.16129032258065,0.913564929693962,0.19422043010752688,0.3870967741935484,0.3870967741935484
#alcinous,0.055163199083794516,0.43755169561621177,0.8387096774193548,3.2309760132340775,0.913564929693962,10.451612903225804,0.037531017369726985,0.8387096774193548,1.6079404466501244
#phocion,2.08560794044665,0.7741935483870968,0.5161290322580645,1.4196908602150538,0.19422043010752688,0.03753101736972707,17.06451612903226,4.266129032258065,0.5161290322580645
#cleon,0.031017369727047134,0.1935483870967742,0.12903225806451613,0.7741935483870968,0.3870967741935484,0.8387096774193549,4.266129032258065,27.12903225806452,0.12903225806451613
#arcas,0.8387096774193549,0.1935483870967742,0.12903225806451613,0.7741935483870968,0.3870967741935484,1.6079404466501235,0.5161290322580645,0.12903225806451613,27.12903225806452
Successions,#chrisis,#licas,#dione,#agnonide,#clitus,#alcinous,#phocion,#cleon,#arcas
#chrisis,0.0392156862745098,0.0392156862745098,0.21568627450980393,0.1568627450980392,0.0,0.29411764705882354,0.2549019607843137,0.0,0.0
#licas,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
#dione,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#agnonide,0.1702127659574468,0.0,0.0,0.0851063829787234,0.3191489361702128,0.2978723404255319,0.10638297872340426,0.0,0.02127659574468085
#clitus,0.0,0.0,0.0,0.9375,0.0,0.0,0.0625,0.0,0.0
#alcinous,0.36363636363636365,0.045454545454545456,0.0,0.3181818181818182,0.022727272727272728,0.045454545454545456,0.1590909090909091,0.0,0.045454545454545456
#phocion,0.37037037037037035,0.0,0.0,0.2222222222222222,0.0,0.3333333333333333,0.0,0.07407407407407407,0.0
#cleon,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
#arcas,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
