VALEUR,#faustine,#livie,#tibere,#martian,#emilie,#albine,#agrippa,#maxime,#pompee
Fréquences (scènes),0.05714285714285714,0.3142857142857143,0.45714285714285713,0.11428571428571428,0.4,0.05714285714285714,0.34285714285714286,0.14285714285714285,0.2571428571428571
Fréquences(répliques),0.013755158184319119,0.218707015130674,0.2248968363136176,0.01031636863823934,0.1643741403026135,0.01581843191196699,0.16987620357634112,0.04470426409903714,0.1375515818431912
Confrontation,0.0196078431372549,0.13725490196078433,0.20588235294117646,0.049019607843137254,0.20588235294117646,0.029411764705882353,0.17647058823529413,0.0784313725490196,0.09803921568627451
Déviations,#faustine,#livie,#tibere,#martian,#emilie,#albine,#agrippa,#maxime,#pompee
#faustine,31.114285714285714,2.9922077922077923,0.9142857142857143,0.22857142857142856,0.8000000000000002,0.11428571428571428,0.6857142857142857,0.2857142857142857,0.5142857142857142
#livie,2.9922077922077923,16.457142857142856,0.21038961038961035,1.2571428571428571,0.036363636363636424,0.2194805194805195,0.832034632034632,1.5714285714285714,1.1821067821067819
#tibere,0.9142857142857143,0.21038961038961035,10.314285714285718,2.5785714285714296,0.025000000000000043,0.9142857142857143,0.04300595238095239,0.7232142857142856,2.3573412698412697
#martian,0.22857142857142856,1.2571428571428571,2.5785714285714296,27.457142857142856,0.22500000000000006,0.22857142857142856,1.3714285714285714,0.5714285714285714,1.0285714285714285
#emilie,0.7999999999999999,0.036363636363636424,0.02499999999999994,0.2249999999999999,12.599999999999994,1.8000000000000007,0.008333333333333349,0.5,0.7111111111111108
#albine,0.11428571428571428,0.2194805194805195,0.9142857142857143,0.22857142857142856,1.7999999999999998,31.114285714285714,0.6857142857142857,0.2857142857142857,0.5142857142857142
#agrippa,0.6857142857142857,0.832034632034632,0.04300595238095239,1.3714285714285714,0.008333333333333273,0.6857142857142857,15.114285714285717,0.9642857142857145,0.0023809523809523643
#maxime,0.2857142857142857,1.5714285714285714,0.7232142857142856,0.5714285714285714,0.5,0.2857142857142857,0.964285714285714,25.714285714285715,2.2857142857142865
#pompee,0.5142857142857142,1.1821067821067819,2.3573412698412697,1.0285714285714285,0.7111111111111112,0.5142857142857142,0.0023809523809523885,2.2857142857142865,19.314285714285717
Successions,#faustine,#livie,#tibere,#martian,#emilie,#albine,#agrippa,#maxime,#pompee
#faustine,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#livie,0.1282051282051282,0.02564102564102564,0.41025641025641024,0.0,0.28205128205128205,0.02564102564102564,0.0,0.0,0.1282051282051282
#tibere,0.0,0.29411764705882354,0.0196078431372549,0.13725490196078433,0.21568627450980393,0.0,0.2549019607843137,0.0,0.0784313725490196
#martian,0.0,0.125,0.875,0.0,0.0,0.0,0.0,0.0,0.0
#emilie,0.0,0.12727272727272726,0.2545454545454545,0.01818181818181818,0.0,0.09090909090909091,0.32727272727272727,0.0,0.18181818181818182
#albine,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
#agrippa,0.0,0.045454545454545456,0.22727272727272727,0.0,0.4318181818181818,0.0,0.022727272727272728,0.18181818181818182,0.09090909090909091
#maxime,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.42857142857142855
#pompee,0.0,0.12903225806451613,0.0967741935483871,0.0,0.3870967741935484,0.0,0.12903225806451613,0.1935483870967742,0.06451612903225806
