VALEUR,#edouard,#elips,#warwick,#isabelle,#mortimer,#norfolk,#gloucester,#bedford,#le-capitaine
Fréquences (scènes),0.7777777777777778,0.4444444444444444,0.4444444444444444,0.2777777777777778,0.2777777777777778,0.16666666666666666,0.16666666666666666,0.05555555555555555,0.05555555555555555
Fréquences(répliques),0.5095890410958904,0.1967123287671233,0.11671232876712329,0.07945205479452055,0.06958904109589041,0.010958904109589041,0.009863013698630137,0.006027397260273973,0.001095890410958904
Confrontation,0.203125,0.1171875,0.1328125,0.125,0.125,0.1171875,0.1171875,0.03125,0.03125
Déviations,#edouard,#elips,#warwick,#isabelle,#mortimer,#norfolk,#gloucester,#bedford,#le-capitaine
#edouard,0.8888888888888886,0.24007936507936478,0.00793650793650788,0.0031746031746031516,0.20317460317460334,0.1904761904761907,0.1904761904761907,0.06349206349206356,0.06349206349206356
#elips,0.24007936507936511,5.555555555555556,0.0868055555555555,0.02222222222222224,0.27222222222222214,0.0833333333333333,0.0833333333333333,0.4444444444444444,0.4444444444444444
#warwick,0.007936507936507943,0.0868055555555555,5.555555555555556,0.02222222222222224,0.02222222222222224,0.3333333333333334,0.3333333333333334,0.4444444444444444,0.4444444444444444
#isabelle,0.0031746031746031776,0.02222222222222224,0.02222222222222224,9.38888888888889,4.908888888888889,1.6333333333333337,1.6333333333333337,0.2777777777777778,0.2777777777777778
#mortimer,0.20317460317460317,0.27222222222222214,0.02222222222222224,4.908888888888889,9.38888888888889,1.6333333333333337,1.6333333333333337,0.2777777777777778,0.2777777777777778
#norfolk,0.19047619047619038,0.0833333333333333,0.3333333333333334,1.6333333333333329,1.6333333333333329,12.5,12.5,4.166666666666668,4.166666666666668
#norfolk,0.19047619047619038,0.0833333333333333,0.3333333333333334,1.6333333333333329,1.6333333333333329,12.5,12.5,4.166666666666668,4.166666666666668
#bedford,0.06349206349206349,0.4444444444444444,0.4444444444444444,0.2777777777777778,0.2777777777777778,4.166666666666668,4.166666666666668,16.055555555555557,16.055555555555557
#bedford,0.06349206349206349,0.4444444444444444,0.4444444444444444,0.2777777777777778,0.2777777777777778,4.166666666666668,4.166666666666668,16.055555555555557,16.055555555555557
Successions,#edouard,#elips,#warwick,#isabelle,#mortimer,#norfolk,#gloucester,#bedford,#le-capitaine
#edouard,0.10344827586206896,0.3448275862068966,0.27586206896551724,0.13793103448275862,0.05172413793103448,0.017241379310344827,0.034482758620689655,0.017241379310344827,0.017241379310344827
#elips,0.6551724137931034,0.0,0.10344827586206896,0.0,0.2413793103448276,0.0,0.0,0.0,0.0
#warwick,0.9047619047619048,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#isabelle,0.46153846153846156,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.0,0.0,0.0,0.0
#mortimer,0.35714285714285715,0.35714285714285715,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0
#norfolk,0.5,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
#gloucester,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#bedford,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#le-capitaine,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
