VALEUR,#isabelle,#marine,#panfile,#tersandre,#ragotin,#le-docteur,#la-fleur,#la-roque
Fréquences (scènes),0.7142857142857143,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285
Fréquences(répliques),0.06578947368421052,0.19298245614035087,0.28728070175438597,0.08333333333333333,0.03508771929824561,0.3026315789473684,0.02631578947368421,0.006578947368421052
Confrontation,0.203125,0.21875,0.15625,0.171875,0.140625,0.078125,0.015625,0.015625
Déviations,#isabelle,#marine,#panfile,#tersandre,#ragotin,#le-docteur,#la-fleur,#la-roque
#isabelle,0.5714285714285713,0.11904761904761911,0.009523809523809516,0.3428571428571429,0.22857142857142873,0.11428571428571437,0.7142857142857142,0.7142857142857142
#marine,0.11904761904761911,0.14285714285714304,0.07142857142857152,0.07142857142857152,0.04761904761904765,0.023809523809523826,0.8571428571428571,0.8571428571428571
#panfile,0.009523809523809516,0.07142857142857152,2.2857142857142865,0.396825396825397,1.5238095238095237,0.7619047619047619,0.42857142857142855,0.42857142857142855
#tersandre,0.3428571428571429,0.07142857142857152,0.396825396825397,2.2857142857142865,1.5238095238095237,0.7619047619047619,0.42857142857142855,0.42857142857142855
#ragotin,0.22857142857142854,0.04761904761904765,1.5238095238095237,1.5238095238095237,3.5714285714285716,1.7857142857142858,0.2857142857142857,0.2857142857142857
#le-docteur,0.11428571428571427,0.023809523809523826,0.7619047619047619,0.7619047619047619,1.7857142857142858,5.142857142857144,0.14285714285714285,0.14285714285714285
#la-fleur,0.7142857142857143,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.14285714285714285,5.142857142857144,5.142857142857144
#la-fleur,0.7142857142857143,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.14285714285714285,5.142857142857144,5.142857142857144
Successions,#isabelle,#marine,#panfile,#tersandre,#ragotin,#le-docteur,#la-fleur,#la-roque
#isabelle,0.0,0.625,0.125,0.125,0.0,0.125,0.0,0.0
#marine,0.18604651162790697,0.0,0.6744186046511628,0.06976744186046512,0.023255813953488372,0.046511627906976744,0.0,0.0
#panfile,0.013513513513513514,0.4189189189189189,0.0,0.08108108108108109,0.08108108108108109,0.40540540540540543,0.0,0.0
#tersandre,0.38461538461538464,0.0,0.38461538461538464,0.0,0.07692307692307693,0.15384615384615385,0.0,0.0
#ragotin,0.0,0.0,0.5384615384615384,0.0,0.0,0.46153846153846156,0.0,0.0
#le-docteur,0.07142857142857142,0.047619047619047616,0.7142857142857143,0.047619047619047616,0.11904761904761904,0.0,0.0,0.0
#la-fleur,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666
#la-roque,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
