VALEUR,#un-paysan,#thersandre,#philis,#choeur,#bacchus,#la-folie,#eraste,#lucile,#nerine,#clitandre,#foret,#claudine,#l-amour,#kerpinot,#madame-pinterelle,#la-veuve,#le-chevalier,#silene,#philis #l-amour #thersandre,#tous
Fréquences (scènes),0.05,0.05,0.05,0.05,0.45,0.6,0.25,0.25,0.25,0.2,0.35,0.05,0.25,0.1,0.05,0.1,0.05,0.15,0.0,0.0
Fréquences(répliques),0.02976190476190476,0.16666666666666666,0.17261904761904762,0.07142857142857142,0.03571428571428571,0.17261904761904762,0.0,0.03571428571428571,0.0,0.0,0.03571428571428571,0.0,0.17261904761904762,0.06547619047619048,0.0,0.0,0.0,0.0,0.02976190476190476,0.011904761904761904
Confrontation,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.12254901960784313,0.16176470588235295,0.07352941176470588,0.09803921568627451,0.10294117647058823,0.09313725490196079,0.07352941176470588,0.00980392156862745,0.09803921568627451,0.024509803921568627,0.00980392156862745,0.014705882352941176,0.00980392156862745,0.049019607843137254,0.0,0.0
Déviations,#un-paysan,#thersandre,#philis,#choeur,#bacchus,#la-folie,#eraste,#lucile,#nerine,#clitandre,#foret,#claudine,#l-amour,#kerpinot,#madame-pinterelle,#la-veuve,#le-chevalier,#silene,#philis #l-amour #thersandre,#tous
#un-paysan,18.049999999999997,18.049999999999997,18.049999999999997,18.049999999999997,0.45,0.6,0.25,0.25,0.25,0.20000000000000004,0.35,0.05000000000000001,0.25,0.10000000000000002,0.05000000000000001,0.10000000000000002,0.05000000000000001,0.15,0.0,0.0
#un-paysan,18.049999999999997,18.049999999999997,18.049999999999997,18.049999999999997,0.45,0.6,0.25,0.25,0.25,0.20000000000000004,0.35,0.05000000000000001,0.25,0.10000000000000002,0.05000000000000001,0.10000000000000002,0.05000000000000001,0.15,0.0,0.0
#un-paysan,18.049999999999997,18.049999999999997,18.049999999999997,18.049999999999997,0.45,0.6,0.25,0.25,0.25,0.20000000000000004,0.35,0.05000000000000001,0.25,0.10000000000000002,0.05000000000000001,0.10000000000000002,0.05000000000000001,0.15,0.0,0.0
#un-paysan,18.049999999999997,18.049999999999997,18.049999999999997,18.049999999999997,0.45,0.6,0.25,0.25,0.25,0.20000000000000004,0.35,0.05000000000000001,0.25,0.10000000000000002,0.05000000000000001,0.10000000000000002,0.05000000000000001,0.15,0.0,0.0
#bacchus,0.45,0.45,0.45,0.45,6.050000000000001,0.06666666666666679,0.6944444444444444,0.027777777777777776,0.027777777777777776,0.02222222222222221,0.2293650793650794,0.6722222222222223,3.361111111111111,0.011111111111111105,0.45,0.9,0.45,0.09074074074074068,0.0,0.0
#la-folie,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.06666666666666658,3.200000000000001,0.3333333333333333,0.0,0.0,0.1499999999999998,0.3428571428571425,0.6000000000000001,1.3333333333333333,0.533333333333333,0.2666666666666665,0.533333333333333,0.2666666666666665,0.022222222222222265,0.0,0.0
