VALEUR,#le-jeune-homme,#la-jeune-femme,#sharpey,#charley,#dago,#lea,#barlu,#brillart,#bearns
Fréquences (scènes),0.125,0.125,0.25,0.75,0.5,0.5,0.25,0.25,0.125
Fréquences(répliques),0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0
Confrontation,0.07692307692307693,0.07692307692307693,0.11538461538461539,0.23076923076923078,0.19230769230769232,0.09615384615384616,0.07692307692307693,0.09615384615384616,0.038461538461538464
Déviations,#le-jeune-homme,#la-jeune-femme,#sharpey,#charley,#dago,#lea,#barlu,#brillart,#bearns
#le-jeune-homme,6.125,6.125,2.25,0.08333333333333333,0.5,0.5,0.25,0.25,0.125
#le-jeune-homme,6.125,6.125,2.25,0.08333333333333333,0.5,0.5,0.25,0.25,0.125
#sharpey,2.25,2.25,4.5,0.16666666666666666,0.0,1.0,0.5,0.5,2.25
#charley,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.5,0.0,0.0,0.16666666666666666,0.16666666666666666,0.75
#dago,0.5,0.5,0.0,0.0,2.0,0.0,0.0,0.0,0.5
#lea,0.5,0.5,1.0,0.0,0.0,2.0,1.0,1.0,0.5
#barlu,0.25,0.25,0.5,0.16666666666666666,0.0,1.0,4.5,0.5,0.25
#brillart,0.25,0.25,0.5,0.16666666666666666,0.0,1.0,0.5,4.5,2.25
#bearns,0.125,0.125,2.25,0.75,0.5,0.5,0.25,2.25,6.125
Successions,#le-jeune-homme,#la-jeune-femme,#sharpey,#charley,#dago,#lea,#barlu,#brillart,#bearns
#le-jeune-homme,0.0,0.7777777777777778,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0
#la-jeune-femme,0.6363636363636364,0.0,0.09090909090909091,0.2727272727272727,0.0,0.0,0.0,0.0,0.0
#sharpey,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.2727272727272727
#charley,0.0,0.0547945205479452,0.0,0.0273972602739726,0.2602739726027397,0.1917808219178082,0.4383561643835616,0.0273972602739726,0.0
#dago,0.0,0.0,0.0,0.5806451612903226,0.0,0.41935483870967744,0.0,0.0,0.0
#lea,0.0,0.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,0.0
#barlu,0.0,0.0,0.0,0.9393939393939394,0.0,0.030303030303030304,0.0,0.0,0.030303030303030304
#brillart,0.0,0.0,0.625,0.25,0.0,0.0,0.125,0.0,0.0
#bearns,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.25,0.0
