VALEUR,#l-oranger,#les-fleurs,#le-bluet,#la-paquerette,#le-myosotis,#la-pensee,#le-cyclamen,#la-violette,#l-eglantine,#la-marguerite,#l-oeillet,#la-giroflee,#le-liseron,#le-coquelicot,#l-aubepine,#monsieur-printemps,#la-rose,#le-papillon,#le-printemps,#le-rossignol,#le-zephir,#la-rosee,#le-ver-luisant
Fréquences (scènes),0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.5454545454545454,0.6363636363636364,0.36363636363636365,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
Fréquences(répliques),0.08256880733944955,0.0061162079510703364,0.0030581039755351682,0.0030581039755351682,0.0061162079510703364,0.0061162079510703364,0.01529051987767584,0.0061162079510703364,0.012232415902140673,0.03669724770642202,0.0061162079510703364,0.0061162079510703364,0.009174311926605505,0.009174311926605505,0.009174311926605505,0.22018348623853212,0.28134556574923547,0.1651376146788991,0.09480122324159021,0.0061162079510703364,0.0061162079510703364,0.0030581039755351682,0.0061162079510703364
Confrontation,0.05379746835443038,0.06962025316455696,0.04430379746835443,0.04430379746835443,0.04430379746835443,0.04430379746835443,0.04430379746835443,0.04430379746835443,0.05063291139240506,0.05063291139240506,0.04430379746835443,0.04430379746835443,0.04430379746835443,0.04430379746835443,0.05379746835443038,0.03481012658227848,0.060126582278481014,0.04430379746835443,0.0379746835443038,0.02531645569620253,0.02531645569620253,0.02531645569620253,0.02531645569620253
Déviations,#l-oranger,#les-fleurs,#le-bluet,#la-paquerette,#le-myosotis,#la-pensee,#le-cyclamen,#la-violette,#l-eglantine,#la-marguerite,#l-oeillet,#la-giroflee,#le-liseron,#le-coquelicot,#l-aubepine,#monsieur-printemps,#la-rose,#le-papillon,#le-printemps,#le-rossignol,#le-zephir,#la-rosee,#le-ver-luisant
#l-oranger,7.363636363636362,1.1136363636363635,3.681818181818181,3.681818181818181,3.681818181818181,3.681818181818181,3.681818181818181,3.681818181818181,1.1136363636363635,1.1136363636363635,3.681818181818181,3.681818181818181,3.681818181818181,3.681818181818181,7.363636363636362,1.0909090909090908,0.05844155844155843,0.7272727272727273,0.3787878787878789,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182
#les-fleurs,1.1136363636363635,7.363636363636362,3.681818181818181,3.681818181818181,3.681818181818181,3.681818181818181,3.681818181818181,3.681818181818181,1.1136363636363635,1.1136363636363635,3.681818181818181,3.681818181818181,3.681818181818181,3.681818181818181,1.1136363636363635,0.007575757575757562,0.05844155844155843,0.10227272727272725,0.3787878787878789,3.681818181818181,3.681818181818181,3.681818181818181,3.681818181818181
#le-bluet,3.681818181818181,3.681818181818181,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,3.681818181818181,3.681818181818181,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,3.681818181818181,0.5454545454545454,0.6363636363636364,0.36363636363636365,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
#le-bluet,3.681818181818181,3.681818181818181,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,3.681818181818181,3.681818181818181,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,3.681818181818181,0.5454545454545454,0.6363636363636364,0.36363636363636365,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
#le-bluet,3.681818181818181,3.681818181818181,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,3.681818181818181,3.681818181818181,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,3.681818181818181,0.5454545454545454,0.6363636363636364,0.36363636363636365,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
#le-bluet,3.681818181818181,3.681818181818181,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,3.681818181818181,3.681818181818181,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,3.681818181818181,0.5454545454545454,0.6363636363636364,0.36363636363636365,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
