VALEUR,#fernand,#dorante,#mascarille,#jasmin,#la-fleur,#monsieur-le-blanc,#la-rapiniere,#la-roche,#isabelle,#leonore,#le-crocheteur,#beatrix,#olive,#le-rotisseur,#le-clerc,#la-paysanne
Fréquences (scènes),0.25,0.22727272727272727,0.13636363636363635,0.5,0.09090909090909091,0.022727272727272728,0.4318181818181818,0.4772727272727273,0.20454545454545456,0.18181818181818182,0.022727272727272728,0.2727272727272727,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728
Fréquences(répliques),0.10174953959484347,0.11003683241252302,0.053406998158379376,0.14594843462246776,0.03222836095764273,0.01151012891344383,0.2223756906077348,0.11556169429097606,0.02716390423572744,0.05570902394106814,0.0055248618784530384,0.09116022099447514,0.010589318600368325,0.0050644567219152855,0.006906077348066298,0.0050644567219152855
Confrontation,0.1,0.109375,0.0375,0.14375,0.025,0.003125,0.115625,0.11875,0.10625,0.065625,0.00625,0.11875,0.00625,0.00625,0.01875,0.01875
Déviations,#fernand,#dorante,#mascarille,#jasmin,#la-fleur,#monsieur-le-blanc,#la-rapiniere,#la-roche,#isabelle,#leonore,#le-crocheteur,#beatrix,#olive,#le-rotisseur,#le-clerc,#la-paysanne
#fernand,24.75,8.1,1.5,2.227272727272727,0.0,0.25,0.6447368421052632,3.4404761904761907,3.361111111111111,2.0,0.25,1.3333333333333333,0.25,0.25,2.25,0.25
#dorante,8.1,26.272727272727277,0.09696969696969691,0.2,0.9090909090909092,0.2272727272727273,0.023444976076555046,2.9822510822510826,12.001010101010104,0.7681818181818179,0.2272727272727273,3.927272727272728,0.2272727272727273,0.2272727272727273,2.627272727272727,2.627272727272727
#mascarille,1.5,0.09696969696969691,32.81818181818182,0.3333333333333333,0.3787878787878789,0.13636363636363635,2.590909090909091,0.006493506493506481,1.2272727272727273,1.0909090909090908,0.13636363636363635,1.6363636363636362,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635
#jasmin,2.227272727272727,0.2,0.3333333333333333,11.0,0.5,0.5,2.1315789473684212,4.023809523809524,0.5,4.0,0.5,0.6666666666666666,0.5,0.5,0.5,0.5
#la-fleur,0.0,0.9090909090909091,0.3787878787878789,0.5,36.36363636363636,0.09090909090909091,1.7272727272727273,0.6233766233766233,0.8181818181818182,0.7272727272727273,0.09090909090909091,1.0909090909090908,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
#monsieur-le-blanc,0.25,0.22727272727272727,0.13636363636363635,0.5,0.09090909090909091,42.02272727272727,0.7476076555023922,0.4772727272727273,0.20454545454545456,0.18181818181818182,0.022727272727272728,0.2727272727272727,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728
#la-rapiniere,0.6447368421052632,0.023444976076555046,2.590909090909091,2.1315789473684212,1.7272727272727273,0.7476076555023922,14.204545454545453,1.0381066302118935,0.31911217437533207,0.08612440191387559,0.7476076555023922,0.12918660287081343,0.4318181818181818,0.4318181818181818,0.7476076555023922,0.7476076555023922
