VALEUR,#philla,#pompeia,#rufus,#albin,#messala,#julie,#clodius,#felix,#plotine,#tullus,#messalla
Fréquences (scènes),0.1891891891891892,0.5945945945945946,0.13513513513513514,0.10810810810810811,0.16216216216216217,0.32432432432432434,0.24324324324324326,0.10810810810810811,0.02702702702702703,0.02702702702702703,0.02702702702702703
Fréquences(répliques),0.08686587908269632,0.29881862404447534,0.11744266851980542,0.031966643502432245,0.059763724808895066,0.12647671994440585,0.23905489923558026,0.031966643502432245,0.004864489228630994,0.0006949270326615705,0.0020847810979847115
Confrontation,0.1111111111111111,0.28888888888888886,0.07777777777777778,0.03333333333333333,0.08888888888888889,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.011111111111111112,0.011111111111111112,0.044444444444444446
Déviations,#philla,#pompeia,#rufus,#albin,#messala,#julie,#clodius,#felix,#plotine,#tullus,#messalla
#philla,24.324324324324323,1.9348894348894345,0.003088803088803076,0.7567567567567567,0.016087516087516077,2.27027027027027,1.7027027027027029,0.7567567567567567,0.18918918918918917,0.18918918918918917,3.4749034749034737
#pompeia,1.9348894348894345,6.081081081081079,0.00024570024570024065,0.7988329238329239,0.09029484029484029,0.6389230139230139,0.02306852306852312,0.7988329238329239,0.5945945945945946,0.5945945945945946,0.27641277641277634
#rufus,0.003088803088803076,0.00024570024570024065,27.67567567567568,0.5405405405405406,0.044144144144144117,0.23828828828828835,1.2162162162162162,0.5405405405405406,0.13513513513513514,0.13513513513513514,5.535135135135135
#albin,0.7567567567567567,0.7988329238329239,0.5405405405405406,29.43243243243243,0.6486486486486487,0.3806306306306305,0.972972972972973,0.43243243243243246,0.10810810810810811,0.10810810810810811,0.10810810810810811
#messala,0.016087516087516077,0.09029484029484029,0.044144144144144117,0.6486486486486487,25.972972972972972,1.945945945945946,0.14464464464464474,0.6486486486486487,0.16216216216216217,4.328828828828828,4.328828828828828
#julie,2.27027027027027,0.6389230139230139,0.23828828828828835,0.3806306306306305,1.945945945945946,16.891891891891895,0.2892892892892895,0.06813063063063066,1.4076576576576574,0.32432432432432434,0.32432432432432434
#clodius,1.7027027027027029,0.02306852306852312,1.2162162162162162,0.972972972972973,0.14464464464464474,0.2892892892892895,21.189189189189186,9.417417417417417,0.24324324324324326,0.24324324324324326,0.24324324324324326
#felix,0.7567567567567567,0.7988329238329239,0.5405405405405406,0.43243243243243246,0.6486486486486487,0.06813063063063066,9.417417417417417,29.43243243243243,0.10810810810810811,0.10810810810810811,0.10810810810810811
#plotine,0.18918918918918917,0.5945945945945946,0.13513513513513514,0.10810810810810811,0.16216216216216217,1.4076576576576574,0.24324324324324326,0.10810810810810811,35.02702702702703,0.02702702702702703,0.02702702702702703
#tullus,0.18918918918918917,0.5945945945945946,0.13513513513513514,0.10810810810810811,4.328828828828828,0.32432432432432434,0.24324324324324326,0.10810810810810811,0.02702702702702703,35.02702702702703,0.02702702702702703
#messalla,3.4749034749034737,0.27641277641277634,5.535135135135135,0.10810810810810811,4.328828828828828,0.32432432432432434,0.24324324324324326,0.10810810810810811,0.02702702702702703,0.02702702702702703,35.02702702702703
Successions,#philla,#pompeia,#rufus,#albin,#messala,#julie,#clodius,#felix,#plotine,#tullus,#messalla
#philla,0.0,0.8695652173913043,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.0,0.0
#pompeia,0.32786885245901637,0.03278688524590164,0.21311475409836064,0.01639344262295082,0.03278688524590164,0.11475409836065574,0.2459016393442623,0.01639344262295082,0.0,0.0,0.0
#rufus,0.11764705882352941,0.6470588235294118,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0,0.058823529411764705
#albin,0.0,0.25,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0
#messala,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0
#julie,0.0,0.3157894736842105,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.0,0.21052631578947367,0.0,0.0
#clodius,0.0,0.5405405405405406,0.0,0.0,0.0,0.02702702702702703,0.02702702702702703,0.3783783783783784,0.0,0.02702702702702703,0.0
#felix,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#plotine,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#tullus,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#messalla,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
