VALEUR,#rondon,#euphemon,#lise,#marthe,#fierenfat,#le-laquais,#madame-croupillac,#jasmin,#euphemon-fils
Fréquences (scènes),0.3333333333333333,0.2,0.6666666666666666,0.43333333333333335,0.26666666666666666,0.03333333333333333,0.16666666666666666,0.36666666666666664,0.26666666666666666
Fréquences(répliques),0.1574489287493772,0.1081215744892875,0.2127553562531141,0.07174887892376682,0.07972097658196313,0.001993024414549078,0.10662680617837568,0.09765819631290483,0.1639262580966617
Confrontation,0.1111111111111111,0.07777777777777778,0.2222222222222222,0.15555555555555556,0.12222222222222222,0.011111111111111112,0.07222222222222222,0.1111111111111111,0.11666666666666667
Déviations,#rondon,#euphemon,#lise,#marthe,#fierenfat,#le-laquais,#madame-croupillac,#jasmin,#euphemon-fils
#rondon,13.333333333333336,2.0,0.01666666666666673,2.5641025641025643,2.0416666666666674,0.3333333333333333,0.06666666666666674,3.6666666666666665,1.0416666666666665
#euphemon,2.0,19.199999999999996,0.0,0.9846153846153848,0.09999999999999995,0.20000000000000004,0.0,0.6545454545454543,0.22500000000000006
#lise,0.01666666666666673,0.0,3.3333333333333344,2.166666666666665,0.08333333333333341,0.1666666666666667,0.5333333333333331,1.515151515151515,1.020833333333333
#marthe,2.564102564102564,0.9846153846153848,2.1666666666666674,9.633333333333331,0.06282051282051285,0.741025641025641,0.012820512820512798,0.1233100233100233,0.06282051282051285
#fierenfat,2.0416666666666674,0.09999999999999995,0.08333333333333341,0.06282051282051285,16.133333333333336,0.26666666666666666,0.0833333333333333,0.2969696969696969,0.35208333333333336
#le-laquais,0.3333333333333333,0.20000000000000004,0.1666666666666667,0.741025641025641,0.26666666666666666,28.03333333333333,0.16666666666666666,0.36666666666666664,0.26666666666666666
#madame-croupillac,0.06666666666666674,0.0,0.5333333333333331,0.012820512820512865,0.0833333333333333,0.16666666666666666,20.83333333333334,0.015151515151515166,2.083333333333334
#jasmin,3.6666666666666665,0.6545454545454547,1.515151515151515,0.1233100233100233,0.2969696969696969,0.36666666666666664,0.015151515151515166,12.033333333333335,5.637878787878788
#euphemon-fils,1.0416666666666665,0.22500000000000006,1.020833333333333,0.06282051282051285,0.35208333333333336,0.26666666666666666,2.083333333333334,5.637878787878788,16.133333333333336
Successions,#rondon,#euphemon,#lise,#marthe,#fierenfat,#le-laquais,#madame-croupillac,#jasmin,#euphemon-fils
#rondon,0.03614457831325301,0.3132530120481928,0.3132530120481928,0.012048192771084338,0.18072289156626506,0.0,0.13253012048192772,0.012048192771084338,0.0
#euphemon,0.5094339622641509,0.018867924528301886,0.24528301886792453,0.0,0.07547169811320754,0.0,0.018867924528301886,0.07547169811320754,0.05660377358490566
#lise,0.20491803278688525,0.12295081967213115,0.0,0.28688524590163933,0.06557377049180328,0.01639344262295082,0.13934426229508196,0.02459016393442623,0.13934426229508196
#marthe,0.022222222222222223,0.022222222222222223,0.7555555555555555,0.0,0.1111111111111111,0.0,0.022222222222222223,0.044444444444444446,0.022222222222222223
#fierenfat,0.3090909090909091,0.01818181818181818,0.18181818181818182,0.09090909090909091,0.0,0.0,0.01818181818181818,0.12727272727272726,0.2545454545454545
#le-laquais,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-croupillac,0.1864406779661017,0.01694915254237288,0.2711864406779661,0.0,0.03389830508474576,0.0,0.0,0.1016949152542373,0.3898305084745763
#jasmin,0.0,0.08771929824561403,0.10526315789473684,0.017543859649122806,0.08771929824561403,0.0,0.10526315789473684,0.017543859649122806,0.5789473684210527
#euphemon-fils,0.0,0.02197802197802198,0.16483516483516483,0.03296703296703297,0.17582417582417584,0.0,0.24175824175824176,0.3626373626373626,0.0
