VALEUR,#la-vidame,#la-suivante,#la-baronne,#la-vicomtesse,#le-laqauis,#la-marquise,#le-chevalier,#dorimon,#l-abbe
Fréquences (scènes),1.0,0.2,1.0,0.6,0.2,0.4,0.4,0.2,0.4
Fréquences(répliques),0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.14285714285714285
Confrontation,0.19767441860465115,0.03488372093023256,0.19767441860465115,0.1511627906976744,0.023255813953488372,0.11627906976744186,0.11627906976744186,0.06976744186046512,0.09302325581395349
Déviations,#la-vidame,#la-suivante,#la-baronne,#la-vicomtesse,#le-laqauis,#la-marquise,#le-chevalier,#dorimon,#l-abbe
#la-vidame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-suivante,0.0,3.2000000000000006,0.0,0.2666666666666667,0.20000000000000004,0.4000000000000001,0.4000000000000001,0.20000000000000004,0.4000000000000001
#la-vidame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-vicomtesse,0.0,0.2666666666666665,0.0,0.8000000000000003,0.6000000000000001,0.533333333333333,0.533333333333333,0.2666666666666665,0.03333333333333339
#le-laqauis,0.0,0.20000000000000004,0.0,0.6,3.2000000000000006,0.4000000000000001,0.4000000000000001,0.20000000000000004,0.4000000000000001
#la-marquise,0.0,0.4000000000000001,0.0,0.5333333333333334,0.4000000000000001,1.7999999999999998,1.7999999999999998,0.8999999999999999,0.049999999999999975
#la-marquise,0.0,0.4000000000000001,0.0,0.5333333333333334,0.4000000000000001,1.7999999999999998,1.7999999999999998,0.8999999999999999,0.049999999999999975
#dorimon,0.0,0.20000000000000004,0.0,0.2666666666666667,0.20000000000000004,0.8999999999999999,0.8999999999999999,3.2000000000000006,0.8999999999999999
#l-abbe,0.0,0.4000000000000001,0.0,0.03333333333333332,0.4000000000000001,0.049999999999999975,0.049999999999999975,0.8999999999999999,1.7999999999999998
Successions,#la-vidame,#la-suivante,#la-baronne,#la-vicomtesse,#le-laqauis,#la-marquise,#le-chevalier,#dorimon,#l-abbe
#la-vidame,0.0,0.0,0.1702127659574468,0.10638297872340426,0.02127659574468085,0.14893617021276595,0.1276595744680851,0.23404255319148937,0.19148936170212766
#la-suivante,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-baronne,0.5555555555555556,0.05555555555555555,0.0,0.05555555555555555,0.0,0.05555555555555555,0.1111111111111111,0.0,0.16666666666666666
#la-vicomtesse,0.5,0.0,0.14285714285714285,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.21428571428571427
#le-laqauis,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#la-marquise,0.375,0.0,0.0625,0.0625,0.0,0.0,0.3125,0.125,0.0625
#le-chevalier,0.3888888888888889,0.0,0.16666666666666666,0.1111111111111111,0.0,0.16666666666666666,0.0,0.1111111111111111,0.05555555555555555
#dorimon,0.27586206896551724,0.0,0.034482758620689655,0.06896551724137931,0.0,0.034482758620689655,0.06896551724137931,0.0,0.5172413793103449
#l-abbe,0.2727272727272727,0.0,0.09090909090909091,0.06060606060606061,0.0,0.09090909090909091,0.06060606060606061,0.42424242424242425,0.0
