VALEUR,#federic,#octave,#flore,#isabelle,#alfonse,#jodelet,#pascal,#enrique,#un-soldat,#julie,#laure,#le-roi,#sanche,#edouard,#un-garde
#enrique,0.4261363636363635,0.12121212121212141,1.3636363636363638,0.19393939393939405,0.2727272727272727,0.5967365967365967,0.2727272727272727,17.45454545454546,1.9393939393939397,0.5454545454545454,0.3333333333333333,0.12121212121212141,0.2727272727272727,1.0909090909090908,0.2727272727272727
#un-soldat,0.48484848484848486,0.2727272727272727,0.15151515151515152,0.30303030303030304,0.030303030303030304,0.3939393939393939,0.030303030303030304,1.9393939393939397,31.03030303030303,0.06060606060606061,0.3333333333333333,0.2727272727272727,0.030303030303030304,0.12121212121212122,0.030303030303030304
#julie,0.0009469696969696953,0.3787878787878789,0.30303030303030304,0.6060606060606061,0.06060606060606061,0.057109557109557126,0.06060606060606061,0.5454545454545454,0.06060606060606061,29.12121212121212,2.6666666666666674,0.5454545454545454,0.06060606060606061,0.24242424242424243,0.06060606060606061
#laure,0.08333333333333318,0.0,1.6666666666666667,1.6333333333333335,0.33333333333333337,0.025641025641025595,0.33333333333333337,0.3333333333333333,0.33333333333333337,2.666666666666666,14.66666666666667,0.3333333333333333,1.333333333333333,0.0833333333333334,0.33333333333333337
#le-roi,2.59280303030303,0.08417508417508404,1.3636363636363638,1.0939393939393942,0.2727272727272727,0.058275058275058286,0.2727272727272727,0.12121212121212141,0.2727272727272727,0.5454545454545454,0.3333333333333333,17.45454545454546,1.9393939393939397,3.3409090909090917,1.9393939393939397
#sanche,0.48484848484848486,1.9393939393939397,0.15151515151515152,0.30303030303030304,0.030303030303030304,0.3939393939393939,0.030303030303030304,0.2727272727272727,0.030303030303030304,0.06060606060606061,1.3333333333333337,1.9393939393939397,31.03030303030303,0.12121212121212122,0.030303030303030304
#edouard,0.4550189393939394,1.0909090909090908,0.6060606060606061,1.2121212121212122,0.12121212121212122,3.72960372960373,0.12121212121212122,1.0909090909090908,0.12121212121212122,0.24242424242424243,0.0833333333333333,3.3409090909090917,0.12121212121212122,25.484848484848484,6.371212121212121
#un-garde,0.48484848484848486,0.2727272727272727,0.15151515151515152,0.30303030303030304,0.030303030303030304,0.9324009324009325,0.030303030303030304,0.2727272727272727,0.030303030303030304,0.06060606060606061,0.3333333333333333,1.9393939393939397,0.030303030303030304,6.371212121212121,31.03030303030303
Successions,#federic,#octave,#flore,#isabelle,#alfonse,#jodelet,#pascal,#enrique,#un-soldat,#julie,#laure,#le-roi,#sanche,#edouard,#un-garde
#federic,0.009009009009009009,0.17117117117117117,0.009009009009009009,0.23423423423423423,0.0,0.3333333333333333,0.0,0.10810810810810811,0.0,0.0,0.10810810810810811,0.02702702702702703,0.0,0.0,0.0
#octave,0.5365853658536586,0.0,0.0,0.0,0.0,0.2926829268292683,0.0,0.024390243902439025,0.0,0.0,0.04878048780487805,0.07317073170731707,0.024390243902439025,0.0,0.0
#flore,0.16666666666666666,0.1111111111111111,0.0,0.7222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#isabelle,0.32051282051282054,0.01282051282051282,0.21794871794871795,0.0,0.05128205128205128,0.07692307692307693,0.0,0.05128205128205128,0.0,0.0,0.21794871794871795,0.05128205128205128,0.0,0.0,0.0
#alfonse,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#jodelet,0.21768707482993196,0.10204081632653061,0.0,0.034013605442176874,0.0,0.0,0.09523809523809523,0.22448979591836735,0.0,0.013605442176870748,0.08163265306122448,0.10884353741496598,0.0,0.11564625850340136,0.006802721088435374
#pascal,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#enrique,0.140625,0.0,0.0,0.125,0.0,0.53125,0.0,0.015625,0.015625,0.0,0.046875,0.125,0.0,0.0,0.0
#un-soldat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#julie,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
#laure,0.2033898305084746,0.01694915254237288,0.0,0.3050847457627119,0.0,0.1694915254237288,0.0,0.06779661016949153,0.0,0.1016949152542373,0.01694915254237288,0.11864406779661017,0.0,0.0,0.0
#le-roi,0.08620689655172414,0.034482758620689655,0.0,0.08620689655172414,0.0,0.29310344827586204,0.0,0.1206896551724138,0.0,0.017241379310344827,0.10344827586206896,0.0,0.017241379310344827,0.2413793103448276,0.0
#sanche,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
#edouard,0.06451612903225806,0.0,0.0,0.0,0.0,0.45161290322580644,0.0,0.0,0.0,0.0,0.0,0.4838709677419355,0.0,0.0,0.0
#pascal,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
