VALEUR,#federic,#octave,#flore,#isabelle,#alfonse,#jodelet,#pascal,#enrique,#un-soldat,#julie,#laure,#le-roi,#sanche,#edouard,#un-garde
Fréquences (scènes),0.48484848484848486,0.2727272727272727,0.15151515151515152,0.30303030303030304,0.030303030303030304,0.3939393939393939,0.030303030303030304,0.2727272727272727,0.030303030303030304,0.06060606060606061,0.3333333333333333,0.2727272727272727,0.030303030303030304,0.12121212121212122,0.030303030303030304
Fréquences(répliques),0.188050930460333,0.05190989226248776,0.023506366307541625,0.1474045053868756,0.013222331047992164,0.2179236043095005,0.012732615083251714,0.06709108716944172,0.0034280117531831538,0.016160626836434867,0.12047012732615084,0.10822722820763957,0.002448579823702253,0.02693437806072478,0.0004897159647404506
Confrontation,0.16831683168316833,0.10891089108910891,0.04455445544554455,0.08415841584158416,0.01485148514851485,0.15346534653465346,0.0049504950495049506,0.09405940594059406,0.0049504950495049506,0.024752475247524754,0.1188118811881188,0.09900990099009901,0.01485148514851485,0.04950495049504951,0.01485148514851485
Déviations,#federic,#octave,#flore,#isabelle,#alfonse,#jodelet,#pascal,#enrique,#un-soldat,#julie,#laure,#le-roi,#sanche,#edouard,#un-garde
#federic,8.757575757575758,0.6136363636363639,0.13674242424242422,0.27348484848484844,0.5473484848484849,0.014568764568764544,0.48484848484848486,0.4261363636363635,0.48484848484848486,0.0009469696969696953,0.08333333333333341,2.59280303030303,0.48484848484848486,0.4550189393939394,0.48484848484848486
#octave,0.6136363636363639,17.45454545454546,0.09696969696969703,1.0939393939393942,0.2727272727272727,0.058275058275058286,0.2727272727272727,0.12121212121212141,0.2727272727272727,0.3787878787878789,0.0,0.08417508417508404,1.9393939393939397,1.0909090909090908,0.2727272727272727
#flore,0.13674242424242422,0.09696969696969691,23.757575757575754,4.075151515151515,4.751515151515152,1.9696969696969697,0.15151515151515152,1.3636363636363635,0.15151515151515152,0.30303030303030304,1.6666666666666665,1.3636363636363635,0.15151515151515152,0.6060606060606061,0.15151515151515152
#isabelle,0.27348484848484844,1.0939393939393938,4.075151515151515,16.03030303030303,1.6030303030303032,2.1932400932400933,0.30303030303030304,0.19393939393939383,0.30303030303030304,0.6060606060606061,1.633333333333333,1.0939393939393938,0.30303030303030304,1.2121212121212122,0.30303030303030304
#alfonse,0.5473484848484849,0.2727272727272727,4.751515151515152,1.6030303030303032,31.03030303030303,0.3939393939393939,0.030303030303030304,0.2727272727272727,0.030303030303030304,0.06060606060606061,0.3333333333333333,0.2727272727272727,0.030303030303030304,0.12121212121212122,0.030303030303030304
#jodelet,0.014568764568764544,0.05827505827505841,1.9696969696969697,2.1932400932400933,0.3939393939393939,12.121212121212121,0.9324009324009325,0.5967365967365972,0.3939393939393939,0.057109557109557126,0.025641025641025595,0.05827505827505841,0.3939393939393939,3.72960372960373,0.9324009324009325
#pascal,0.48484848484848486,0.2727272727272727,0.15151515151515152,0.30303030303030304,0.030303030303030304,0.9324009324009325,31.03030303030303,0.2727272727272727,0.030303030303030304,0.06060606060606061,0.3333333333333333,0.2727272727272727,0.030303030303030304,0.12121212121212122,0.030303030303030304
