VALEUR,#colombine,#pierrot,#arlequin,#geronte,#le-docteur,#scaramouche,#leandre,#le-crocheteur,#octave,#mezzetin,#isabelle,#le-geolier,#leonore,#la-chanteuse
Fréquences (scènes),0.13725490196078433,0.1568627450980392,0.4117647058823529,0.37254901960784315,0.43137254901960786,0.27450980392156865,0.23529411764705882,0.0196078431372549,0.27450980392156865,0.21568627450980393,0.3333333333333333,0.0196078431372549,0.1568627450980392,0.0196078431372549
Fréquences(répliques),0.04072134962187318,0.06457242582897033,0.24374636416521234,0.11809191390343222,0.13205351948807445,0.08551483420593368,0.07737056428155904,0.0011634671320535194,0.06689936009307737,0.05700988947062245,0.06806282722513089,0.002326934264107039,0.03374054682955206,0.008726003490401396
Confrontation,0.05,0.0625,0.11875,0.11666666666666667,0.1125,0.09583333333333334,0.07083333333333333,0.004166666666666667,0.09791666666666667,0.08541666666666667,0.10833333333333334,0.004166666666666667,0.0625,0.010416666666666666
Déviations,#colombine,#pierrot,#arlequin,#geronte,#le-docteur,#scaramouche,#leandre,#le-crocheteur,#octave,#mezzetin,#isabelle,#le-geolier,#leonore,#la-chanteuse
#colombine,37.960784313725476,13.865896358543415,0.004801920768307288,0.1416777237210676,1.3507766743060863,0.00320128051220484,0.254201680672269,0.13725490196078433,0.6052420968387348,8.068245480010185,0.761904761904762,0.13725490196078433,0.00875350140056024,0.13725490196078433
#pierrot,13.865896358543415,36.25490196078431,0.15126050420168075,0.32249742002063986,1.7407531194295902,3.58000700280112,0.6636029411764707,0.1568627450980392,0.01750700280112048,2.9982174688057035,0.1666666666666666,0.1568627450980392,0.051776960784313715,4.531862745098039
#arlequin,0.004801920768307288,0.15126050420168075,17.647058823529417,0.17691287041132223,0.0003819709702062616,0.5402160864345742,0.17927170868347345,0.8403361344537816,0.10144057623049241,0.0618792971734148,0.14285714285714285,0.4117647058823529,0.883403361344538,0.8403361344537816
#geronte,0.1416777237210674,0.32249742002063986,0.1769128704113225,20.07843137254902,4.109954029458671,0.008919357216570849,2.6942724458204337,0.37254901960784315,0.11794191360754826,0.19851768458579577,0.0701754385964913,1.0567595459236325,0.348813209494324,0.37254901960784315
#le-docteur,1.3507766743060863,1.7407531194295902,0.0003819709702062616,4.109954029458675,16.490196078431374,0.6885663356251595,0.2673796791443851,0.7495543672014259,0.6885663356251595,0.6417922540917194,0.96969696969697,0.7495543672014259,0.6100713012477719,0.43137254901960786
#scaramouche,0.00320128051220484,3.58000700280112,0.5402160864345742,0.00891935721657092,0.6885663356251595,26.84313725490195,6.7226890756302495,0.27450980392156865,0.00640256102440968,0.3183091418385533,1.1666666666666663,0.27450980392156865,0.01750700280112048,1.9173669467787111
#leandre,0.254201680672269,0.6636029411764707,0.17927170868347345,2.6942724458204337,0.2673796791443851,6.7226890756302495,29.823529411764707,0.23529411764705882,0.508403361344538,0.9745989304812834,4.0,0.23529411764705882,0.007352941176470592,0.23529411764705882
#le-crocheteur,0.13725490196078433,0.1568627450980392,0.8403361344537816,0.37254901960784315,0.7495543672014259,0.27450980392156865,0.23529411764705882,49.01960784313725,0.27450980392156865,0.21568627450980393,0.3333333333333333,0.0196078431372549,0.1568627450980392,0.0196078431372549
#octave,0.6052420968387348,0.01750700280112048,0.10144057623049241,0.11794191360754795,0.6885663356251595,0.00640256102440968,0.508403361344538,0.27450980392156865,26.84313725490195,11.844283167812579,0.09523809523809532,0.27450980392156865,10.508578431372547,1.9173669467787111
#mezzetin,8.068245480010185,2.9982174688057035,0.0618792971734148,0.19851768458579622,0.6417922540917194,0.3183091418385533,0.9745989304812834,0.21568627450980393,11.844283167812579,31.372549019607842,0.7575757575757575,0.21568627450980393,0.9413992869875222,2.85204991087344
#isabelle,0.761904761904762,0.1666666666666666,0.14285714285714285,0.0701754385964911,0.9696969696969692,1.1666666666666663,4.0,0.3333333333333333,0.09523809523809532,0.7575757575757577,22.66666666666667,0.3333333333333333,0.041666666666666706,0.3333333333333333
#le-geolier,0.13725490196078433,0.1568627450980392,0.4117647058823529,1.0567595459236325,0.7495543672014259,0.27450980392156865,0.23529411764705882,0.0196078431372549,0.27450980392156865,0.21568627450980393,0.3333333333333333,49.01960784313725,0.1568627450980392,0.0196078431372549
#leonore,0.00875350140056024,0.051776960784313715,0.883403361344538,0.348813209494324,0.6100713012477719,0.01750700280112048,0.007352941176470592,0.1568627450980392,10.508578431372547,0.9413992869875222,0.041666666666666706,0.1568627450980392,36.25490196078431,0.1568627450980392
#la-chanteuse,0.13725490196078433,4.531862745098039,0.8403361344537816,0.37254901960784315,0.43137254901960786,1.9173669467787111,0.23529411764705882,0.0196078431372549,1.9173669467787111,2.85204991087344,0.3333333333333333,0.0196078431372549,0.1568627450980392,49.01960784313725
Successions,#colombine,#pierrot,#arlequin,#geronte,#le-docteur,#scaramouche,#leandre,#le-crocheteur,#octave,#mezzetin,#isabelle,#le-geolier,#leonore,#la-chanteuse
#colombine,0.0,0.18518518518518517,0.18518518518518517,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035,0.0,0.14814814814814814,0.37037037037037035,0.0,0.0,0.0,0.0
#pierrot,0.12903225806451613,0.0,0.2903225806451613,0.03225806451612903,0.03225806451612903,0.22580645161290322,0.06451612903225806,0.0,0.03225806451612903,0.16129032258064516,0.0,0.0,0.03225806451612903,0.0
#arlequin,0.06956521739130435,0.08695652173913043,0.008695652173913044,0.26956521739130435,0.24347826086956523,0.05217391304347826,0.09565217391304348,0.008695652173913044,0.05217391304347826,0.0,0.0782608695652174,0.0,0.034782608695652174,0.0
#geronte,0.012048192771084338,0.024096385542168676,0.3493975903614458,0.0,0.3132530120481928,0.04819277108433735,0.0,0.0,0.07228915662650602,0.060240963855421686,0.04819277108433735,0.012048192771084338,0.060240963855421686,0.0
#le-docteur,0.0,0.012048192771084338,0.3614457831325301,0.2891566265060241,0.03614457831325301,0.04819277108433735,0.04819277108433735,0.012048192771084338,0.03614457831325301,0.03614457831325301,0.12048192771084337,0.0,0.0,0.0
#scaramouche,0.021739130434782608,0.10869565217391304,0.1956521739130435,0.06521739130434782,0.043478260869565216,0.021739130434782608,0.34782608695652173,0.0,0.021739130434782608,0.021739130434782608,0.15217391304347827,0.0,0.0,0.0
#leandre,0.0,0.08888888888888889,0.17777777777777778,0.022222222222222223,0.08888888888888889,0.3333333333333333,0.0,0.0,0.044444444444444446,0.0,0.2222222222222222,0.0,0.022222222222222223,0.0
#le-crocheteur,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#octave,0.09090909090909091,0.0,0.1590909090909091,0.18181818181818182,0.09090909090909091,0.022727272727272728,0.045454545454545456,0.0,0.0,0.22727272727272727,0.022727272727272728,0.0,0.13636363636363635,0.022727272727272728
#mezzetin,0.2777777777777778,0.1111111111111111,0.027777777777777776,0.16666666666666666,0.0,0.05555555555555555,0.0,0.0,0.3055555555555556,0.0,0.0,0.0,0.05555555555555555,0.0
#isabelle,0.0,0.0,0.23255813953488372,0.046511627906976744,0.32558139534883723,0.11627906976744186,0.20930232558139536,0.0,0.046511627906976744,0.023255813953488372,0.0,0.0,0.0,0.0
#le-geolier,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#leonore,0.0,0.0,0.15789473684210525,0.2631578947368421,0.0,0.0,0.0,0.0,0.42105263157894735,0.05263157894736842,0.10526315789473684,0.0,0.0,0.0
#la-chanteuse,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
