VALEUR,#azaneth,#thermutis,#joseph,#thiamis,#hely,#simeon,#ruben,#juda,#benjamin,#officier,#pharaon
Fréquences (scènes),0.25925925925925924,0.07407407407407407,0.7777777777777778,0.18518518518518517,0.18518518518518517,0.14814814814814814,0.2962962962962963,0.3333333333333333,0.1111111111111111,0.037037037037037035,0.037037037037037035
Fréquences(répliques),0.1393103448275862,0.02413793103448276,0.4282758620689655,0.036551724137931035,0.05586206896551724,0.07862068965517241,0.0696551724137931,0.11517241379310345,0.022068965517241378,0.004827586206896552,0.025517241379310347
Confrontation,0.06349206349206349,0.023809523809523808,0.25396825396825395,0.05555555555555555,0.047619047619047616,0.07142857142857142,0.1746031746031746,0.18253968253968253,0.0873015873015873,0.031746031746031744,0.007936507936507936
Déviations,#azaneth,#thermutis,#joseph,#thiamis,#hely,#simeon,#ruben,#juda,#benjamin,#officier,#pharaon
#azaneth,14.814814814814815,4.232804232804233,0.38321995464852615,0.382010582010582,1.2962962962962963,1.037037037037037,2.074074074074074,2.333333333333333,0.7777777777777776,0.25925925925925924,0.25925925925925924
#thermutis,4.232804232804233,23.148148148148152,0.19841269841269843,0.37037037037037035,0.37037037037037035,0.2962962962962963,0.5925925925925926,0.6666666666666666,0.2222222222222222,0.07407407407407407,0.07407407407407407
#joseph,0.38321995464852576,0.1984126984126983,1.3333333333333341,0.9174603174603174,0.3174603174603175,0.3968253968253966,0.00793650793650788,0.0,0.1904761904761907,0.06349206349206356,0.06349206349206356
#thiamis,0.382010582010582,0.37037037037037035,0.9174603174603174,17.92592592592593,0.005925925925925944,0.7407407407407407,0.15648148148148142,0.26666666666666655,0.5555555555555556,0.18518518518518517,0.18518518518518517
#hely,1.2962962962962963,0.37037037037037035,0.3174603174603175,0.005925925925925944,17.92592592592593,0.7407407407407407,1.4814814814814814,1.6666666666666665,0.5555555555555556,0.18518518518518517,0.18518518518518517
#simeon,1.037037037037037,0.2962962962962963,0.39682539682539686,0.7407407407407407,0.7407407407407407,19.59259259259259,2.7789351851851856,2.083333333333334,0.6944444444444445,0.14814814814814814,0.14814814814814814
#ruben,2.074074074074074,0.5925925925925926,0.007936507936507943,0.15648148148148142,1.4814814814814814,2.7789351851851856,13.370370370370372,10.66666666666667,5.013888888888889,1.6712962962962965,0.2962962962962963
#juda,2.333333333333333,0.6666666666666666,0.0,0.26666666666666655,1.6666666666666665,2.083333333333334,10.66666666666667,12.0,4.0,1.3333333333333337,0.3333333333333333
#benjamin,0.7777777777777776,0.2222222222222222,0.19047619047619038,0.5555555555555556,0.5555555555555556,0.6944444444444445,5.013888888888889,4.0,21.333333333333332,7.111111111111111,0.1111111111111111
#officier,0.25925925925925924,0.07407407407407407,0.06349206349206349,0.18518518518518517,0.18518518518518517,0.14814814814814814,1.6712962962962965,1.3333333333333337,7.111111111111111,25.03703703703704,0.037037037037037035
#pharaon,0.25925925925925924,0.07407407407407407,0.06349206349206349,0.18518518518518517,0.18518518518518517,0.14814814814814814,0.2962962962962963,0.3333333333333333,0.1111111111111111,0.037037037037037035,25.03703703703704
Successions,#azaneth,#thermutis,#joseph,#thiamis,#hely,#simeon,#ruben,#juda,#benjamin,#officier,#pharaon
#azaneth,0.09523809523809523,0.19047619047619047,0.42857142857142855,0.23809523809523808,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0
#thermutis,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#joseph,0.11267605633802817,0.014084507042253521,0.11267605633802817,0.04225352112676056,0.2535211267605634,0.14084507042253522,0.08450704225352113,0.11267605633802817,0.04225352112676056,0.028169014084507043,0.056338028169014086
#thiamis,0.6666666666666666,0.0,0.2222222222222222,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0
#hely,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#simeon,0.0,0.0,0.5882352941176471,0.0,0.0,0.0,0.23529411764705882,0.11764705882352941,0.058823529411764705,0.0,0.0
#ruben,0.0,0.0,0.47058823529411764,0.0,0.0,0.29411764705882354,0.0,0.11764705882352941,0.11764705882352941,0.0,0.0
#juda,0.0,0.0,0.35714285714285715,0.07142857142857142,0.0,0.14285714285714285,0.35714285714285715,0.0,0.07142857142857142,0.0,0.0
#benjamin,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0
#hely,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#pharaon,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
