VALEUR,#rosandre,#pancrace,#bagolin,#lisimene,#le-cousin,#le-docteur,#sergent,#recors
Fréquences (scènes),0.6153846153846154,0.5384615384615384,0.6153846153846154,0.46153846153846156,0.23076923076923078,0.3076923076923077,0.3076923076923077,0.15384615384615385
Fréquences(répliques),0.2567204301075269,0.1827956989247312,0.2567204301075269,0.06451612903225806,0.013440860215053764,0.1881720430107527,0.024193548387096774,0.013440860215053764
Confrontation,0.14084507042253522,0.1619718309859155,0.1619718309859155,0.1267605633802817,0.09859154929577464,0.1267605633802817,0.1056338028169014,0.07746478873239436
Déviations,#rosandre,#pancrace,#bagolin,#lisimene,#le-cousin,#le-docteur,#sergent,#recors
#rosandre,1.9230769230769227,0.11126373626373634,0.17307692307692316,0.46314102564102544,0.012820512820512803,0.08653846153846158,0.8677884615384617,0.04326923076923079
#pancrace,0.11126373626373603,2.7692307692307696,0.02197802197802207,0.01648351648351649,0.09157509157509156,1.5824175824175817,0.3324175824175821,0.7912087912087908
#bagolin,0.17307692307692316,0.02197802197802195,1.9230769230769227,0.025641025641025605,0.7211538461538459,0.11778846153846148,0.11778846153846148,0.48076923076923067
#lisimene,0.46314102564102544,0.01648351648351649,0.025641025641025605,3.7692307692307696,0.27350427350427353,0.012820512820512803,0.38782051282051294,0.006410256410256401
#le-cousin,0.012820512820512803,0.09157509157509156,0.7211538461538459,0.27350427350427353,7.692307692307691,1.2564102564102562,1.2564102564102562,0.6282051282051281
#le-docteur,0.08653846153846158,1.5824175824175828,0.11778846153846148,0.012820512820512803,1.2564102564102562,6.23076923076923,2.5432692307692304,3.115384615384615
#sergent,0.8677884615384617,0.3324175824175825,0.11778846153846148,0.38782051282051294,1.2564102564102562,2.5432692307692304,6.23076923076923,3.115384615384615
#recors,0.04326923076923079,0.7912087912087914,0.48076923076923067,0.006410256410256401,0.6282051282051281,3.115384615384615,3.115384615384615,9.307692307692307
Successions,#rosandre,#pancrace,#bagolin,#lisimene,#le-cousin,#le-docteur,#sergent,#recors
#rosandre,0.0,0.4090909090909091,0.4696969696969697,0.12121212121212122,0.0,0.0,0.0,0.0
#pancrace,0.4307692307692308,0.0,0.24615384615384617,0.07692307692307693,0.015384615384615385,0.16923076923076924,0.06153846153846154,0.0
#bagolin,0.40789473684210525,0.17105263157894737,0.0,0.21052631578947367,0.013157894736842105,0.17105263157894737,0.02631578947368421,0.0
#lisimene,0.16129032258064516,0.2903225806451613,0.3870967741935484,0.0,0.0,0.03225806451612903,0.03225806451612903,0.0967741935483871
#le-cousin,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.5,0.0,0.0
#le-docteur,0.0,0.3448275862068966,0.41379310344827586,0.0,0.10344827586206896,0.0,0.06896551724137931,0.06896551724137931
#sergent,0.1,0.4,0.1,0.0,0.1,0.1,0.0,0.2
#recors,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0
