VALEUR,#hercule,#lycas,#philoctete,#agis,#cleon,#iole,#dejanire,#phenice,#dirce
Fréquences (scènes),0.5806451612903226,0.16129032258064516,0.3870967741935484,0.03225806451612903,0.06451612903225806,0.3225806451612903,0.2903225806451613,0.12903225806451613,0.0967741935483871
Fréquences(répliques),0.3057366362451108,0.0423728813559322,0.18578878748370273,0.005867014341590613,0.007170795306388526,0.14928292046936115,0.2790091264667536,0.018252933507170794,0.00651890482398957
Confrontation,0.2702702702702703,0.06756756756756757,0.21621621621621623,0.02702702702702703,0.04054054054054054,0.14864864864864866,0.12162162162162163,0.06756756756756757,0.04054054054054054
Déviations,#hercule,#lycas,#philoctete,#agis,#cleon,#iole,#dejanire,#phenice,#dirce
#hercule,5.451612903225804,0.41433691756272395,0.15292712066905614,0.30286738351254494,0.022401433691756237,0.5620071684587814,1.991238550378336,2.32258064516129,1.7419354838709677
#lycas,0.41433691756272395,21.806451612903224,1.935483870967742,0.16129032258064516,0.3225806451612903,1.6129032258064515,0.14050179211469535,0.6451612903225806,0.4838709677419355
#philoctete,0.15292712066905587,1.935483870967742,11.645161290322584,0.9704301075268817,1.9408602150537635,0.1959677419354839,1.770908004778973,0.19422043010752688,1.161290322580645
#agis,0.3028673835125447,0.16129032258064516,0.9704301075268817,29.03225806451613,0.06451612903225806,0.3225806451612903,0.2903225806451613,0.12903225806451613,0.0967741935483871
#cleon,0.022401433691756293,0.3225806451612903,1.9408602150537635,0.06451612903225806,27.12903225806452,0.6451612903225806,0.5806451612903226,0.25806451612903225,0.1935483870967742
#iole,0.5620071684587814,1.6129032258064515,0.1959677419354839,0.3225806451612903,0.6451612903225806,14.225806451612906,1.2476702508960575,1.2903225806451613,4.267741935483871
#dejanire,1.991238550378336,0.14050179211469535,1.7709080047789725,0.29032258064516125,0.5806451612903225,1.2476702508960575,15.612903225806448,6.939068100358425,0.8709677419354839
#phenice,2.3225806451612905,0.6451612903225806,0.19422043010752688,0.12903225806451613,0.25806451612903225,1.2903225806451613,6.939068100358424,23.516129032258064,0.3870967741935484
#dirce,1.741935483870968,0.4838709677419355,1.161290322580645,0.0967741935483871,0.1935483870967742,4.267741935483871,0.870967741935484,0.3870967741935484,25.29032258064517
Successions,#hercule,#lycas,#philoctete,#agis,#cleon,#iole,#dejanire,#phenice,#dirce
#hercule,0.06944444444444445,0.19444444444444445,0.2361111111111111,0.027777777777777776,0.027777777777777776,0.2916666666666667,0.1388888888888889,0.0,0.013888888888888888
#lycas,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
#philoctete,0.4888888888888889,0.0,0.0,0.0,0.044444444444444446,0.26666666666666666,0.2,0.0,0.0
#agis,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
#cleon,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
#iole,0.4318181818181818,0.0,0.36363636363636365,0.0,0.0,0.0,0.13636363636363635,0.0,0.06818181818181818
#dejanire,0.2926829268292683,0.07317073170731707,0.17073170731707318,0.0,0.0,0.17073170731707318,0.04878048780487805,0.24390243902439024,0.0
#phenice,0.0,0.1,0.1,0.0,0.0,0.0,0.8,0.0,0.0
#dirce,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
