VALEUR,#cendrillon,#la-maraine,#l-ainee,#la-cadette,#les-deux-soeurs,#l-officier,#ensemble,#azor,#pierrot,#le-suisse,#le-choeur-des-femmes,#azor #cendrillon #la-maraine
Fréquences (scènes),0.6666666666666666,0.26666666666666666,0.4,0.4,0.2,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.26666666666666666,0.06666666666666667,0.13333333333333333,0.06666666666666667
Fréquences(répliques),0.2648539778449144,0.1822759315206445,0.16817724068479356,0.12487411883182276,0.02014098690835851,0.03121852970795569,0.002014098690835851,0.05840886203423968,0.1107754279959718,0.008056394763343404,0.015105740181268883,0.014098690835850957
Confrontation,0.14583333333333334,0.0763888888888889,0.1527777777777778,0.1527777777777778,0.10416666666666667,0.027777777777777776,0.020833333333333332,0.08333333333333333,0.09722222222222222,0.013888888888888888,0.06944444444444445,0.05555555555555555
Déviations,#cendrillon,#la-maraine,#l-ainee,#la-cadette,#les-deux-soeurs,#l-officier,#ensemble,#azor,#pierrot,#le-suisse,#le-choeur-des-femmes,#azor #cendrillon #la-maraine
#cendrillon,1.6666666666666672,0.6666666666666669,0.0,0.0,0.5,0.1666666666666667,0.1666666666666667,1.0416666666666665,1.0416666666666665,0.6666666666666666,0.0833333333333333,0.1666666666666667
#la-maraine,0.6666666666666669,8.066666666666668,0.22500000000000006,0.22500000000000006,0.049999999999999975,0.26666666666666666,0.26666666666666666,0.004166666666666665,0.004166666666666665,0.26666666666666666,0.4083333333333334,2.016666666666667
#l-ainee,0.0,0.22500000000000006,5.399999999999998,5.399999999999998,2.699999999999999,0.8999999999999999,0.8999999999999999,0.09999999999999995,0.09999999999999995,0.4000000000000001,0.049999999999999975,0.8999999999999999
#l-ainee,0.0,0.22500000000000006,5.399999999999998,5.399999999999998,2.699999999999999,0.8999999999999999,0.8999999999999999,0.09999999999999995,0.09999999999999995,0.4000000000000001,0.049999999999999975,0.8999999999999999
#les-deux-soeurs,0.5,0.049999999999999975,2.699999999999999,2.699999999999999,9.599999999999998,3.2000000000000006,0.20000000000000004,0.049999999999999975,0.049999999999999975,0.20000000000000004,0.8999999999999999,3.2000000000000006
#l-officier,0.1666666666666667,0.26666666666666666,0.8999999999999999,0.8999999999999999,3.2000000000000006,13.066666666666668,0.06666666666666667,0.26666666666666666,0.26666666666666666,0.06666666666666667,0.13333333333333333,0.06666666666666667
#ensemble,0.1666666666666667,0.26666666666666666,0.8999999999999999,0.8999999999999999,0.20000000000000004,0.06666666666666667,13.066666666666668,0.26666666666666666,0.26666666666666666,0.06666666666666667,0.13333333333333333,0.06666666666666667
#azor,1.0416666666666665,0.004166666666666665,0.09999999999999995,0.09999999999999995,0.049999999999999975,0.26666666666666666,0.26666666666666666,8.066666666666668,3.5041666666666664,0.26666666666666666,0.4083333333333334,2.016666666666667
#pierrot,1.0416666666666665,0.004166666666666665,0.09999999999999995,0.09999999999999995,0.049999999999999975,0.26666666666666666,0.26666666666666666,3.5041666666666664,8.066666666666668,2.016666666666667,4.033333333333334,2.016666666666667
#le-suisse,0.6666666666666666,0.26666666666666666,0.4000000000000001,0.4000000000000001,0.20000000000000004,0.06666666666666667,0.06666666666666667,0.26666666666666666,2.016666666666667,13.066666666666668,5.633333333333334,0.06666666666666667
#le-choeur-des-femmes,0.0833333333333333,0.4083333333333334,0.049999999999999975,0.049999999999999975,0.8999999999999999,0.13333333333333333,0.13333333333333333,0.4083333333333334,4.033333333333334,5.633333333333334,11.266666666666667,5.633333333333334
#azor #cendrillon #la-maraine,0.1666666666666667,2.016666666666667,0.8999999999999999,0.8999999999999999,3.2000000000000006,0.06666666666666667,0.06666666666666667,2.016666666666667,2.016666666666667,0.06666666666666667,5.633333333333334,13.066666666666668
Successions,#cendrillon,#la-maraine,#l-ainee,#la-cadette,#les-deux-soeurs,#l-officier,#ensemble,#azor,#pierrot,#le-suisse,#le-choeur-des-femmes,#azor #cendrillon #la-maraine
#cendrillon,0.03076923076923077,0.676923076923077,0.09230769230769231,0.1076923076923077,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.046153846153846156,0.0,0.0,0.0,0.0
#la-maraine,0.8775510204081632,0.0,0.0,0.061224489795918366,0.0,0.0,0.0,0.04081632653061224,0.02040816326530612,0.0,0.0,0.0
#l-ainee,0.08064516129032258,0.016129032258064516,0.0,0.7419354838709677,0.04838709677419355,0.06451612903225806,0.0,0.0,0.03225806451612903,0.0,0.016129032258064516,0.0
#la-cadette,0.12903225806451613,0.0,0.7903225806451613,0.0,0.03225806451612903,0.04838709677419355,0.0,0.0,0.0,0.0,0.0,0.0
#les-deux-soeurs,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
#l-officier,0.1,0.0,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ensemble,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#azor,0.1875,0.1875,0.0625,0.0,0.0,0.0,0.0,0.0,0.5625,0.0,0.0,0.0
#pierrot,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.6875,0.0625,0.125,0.0,0.0
#le-suisse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.6,0.0
#le-choeur-des-femmes,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0
#azor #cendrillon #la-maraine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
