VALEUR,#apollon,#esope,#la-raison,#cidalise,#trotenville,#la-rime,#monsieur-desbrochures,#eraste,#valere
Fréquences (scènes),0.3,0.9,0.2,0.1,0.1,0.2,0.1,0.1,0.1
Fréquences(répliques),0.10319634703196347,0.4821917808219178,0.053881278538812784,0.07214611872146119,0.0502283105022831,0.06027397260273973,0.06027397260273973,0.028310502283105023,0.08949771689497717
Confrontation,0.14285714285714285,0.39285714285714285,0.14285714285714285,0.03571428571428571,0.03571428571428571,0.14285714285714285,0.03571428571428571,0.03571428571428571,0.03571428571428571
Déviations,#apollon,#esope,#la-raison,#cidalise,#trotenville,#la-rime,#monsieur-desbrochures,#eraste,#valere
#apollon,4.9,0.18148148148148158,0.2666666666666665,0.30000000000000004,0.30000000000000004,0.2666666666666665,0.30000000000000004,0.30000000000000004,0.30000000000000004
#esope,0.18148148148148135,0.10000000000000007,0.02222222222222221,0.011111111111111105,0.011111111111111105,0.02222222222222221,0.011111111111111105,0.011111111111111105,0.011111111111111105
#la-raison,0.2666666666666667,0.02222222222222221,6.400000000000001,0.20000000000000004,0.20000000000000004,0.8999999999999999,0.20000000000000004,0.20000000000000004,0.20000000000000004
#cidalise,0.3,0.011111111111111105,0.20000000000000004,8.1,0.10000000000000002,0.20000000000000004,0.10000000000000002,0.10000000000000002,0.10000000000000002
#trotenville,0.3,0.011111111111111105,0.20000000000000004,0.10000000000000002,8.1,0.20000000000000004,0.10000000000000002,0.10000000000000002,0.10000000000000002
#la-rime,0.2666666666666667,0.02222222222222221,0.8999999999999999,0.20000000000000004,0.20000000000000004,6.400000000000001,0.20000000000000004,0.20000000000000004,0.20000000000000004
#monsieur-desbrochures,0.3,0.011111111111111105,0.20000000000000004,0.10000000000000002,0.10000000000000002,0.20000000000000004,8.1,0.10000000000000002,0.10000000000000002
#eraste,0.3,0.011111111111111105,0.20000000000000004,0.10000000000000002,0.10000000000000002,0.20000000000000004,0.10000000000000002,8.1,0.10000000000000002
#valere,0.3,0.011111111111111105,0.20000000000000004,0.10000000000000002,0.10000000000000002,0.20000000000000004,0.10000000000000002,0.10000000000000002,8.1
Successions,#apollon,#esope,#la-raison,#cidalise,#trotenville,#la-rime,#monsieur-desbrochures,#eraste,#valere
#apollon,0.2,0.7,0.0,0.0,0.0,0.1,0.0,0.0,0.0
#esope,0.08860759493670886,0.0,0.08860759493670886,0.10126582278481013,0.11392405063291139,0.0379746835443038,0.16455696202531644,0.17721518987341772,0.22784810126582278
#la-raison,0.1111111111111111,0.6666666666666666,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0
#cidalise,0.0,0.875,0.125,0.0,0.0,0.0,0.0,0.0,0.0
#trotenville,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-rime,0.0,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-desbrochures,0.0,0.9230769230769231,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0
#trotenville,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#trotenville,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
