VALEUR,#cacambo,#justin,#candide,#pangloss #martin,#pangloss,#martin,#madame-de-candide,#tous,#madame--de-candide #pangloss,#osmin,#zulmis,#zelie,#osmin #justin,#zulmis #zelie,#zulmis #osmin,#omsin,#caleb,#ensemble,#candide #suite,#zulmis #zelie #osmin #caleb,#candide #madame-de-candide,#madame-de-candide #candide,#caleb #martin #pangloss,#en-choeur
Fréquences (scènes),0.375,0.4375,0.4375,0.125,0.375,0.3125,0.25,0.125,0.0625,0.25,0.25,0.375,0.1875,0.125,0.125,0.125,0.3125,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0
Fréquences(répliques),0.14302884615384615,0.15504807692307693,0.10096153846153846,0.016826923076923076,0.08052884615384616,0.05048076923076923,0.10576923076923077,0.003605769230769231,0.0,0.06610576923076923,0.06370192307692307,0.06129807692307692,0.010817307692307692,0.013221153846153846,0.016826923076923076,0.026442307692307692,0.039663461538461536,0.007211538461538462,0.004807692307692308,0.009615384615384616,0.004807692307692308,0.004807692307692308,0.0,0.014423076923076924
Confrontation,0.05357142857142857,0.07142857142857142,0.06547619047619048,0.037698412698412696,0.06746031746031746,0.05952380952380952,0.05357142857142857,0.021825396825396824,0.00992063492063492,0.06547619047619048,0.03968253968253968,0.07539682539682539,0.03373015873015873,0.04563492063492063,0.04563492063492063,0.01984126984126984,0.061507936507936505,0.013888888888888888,0.031746031746031744,0.031746031746031744,0.031746031746031744,0.031746031746031744,0.031746031746031744,0.0
Déviations,#cacambo,#justin,#candide,#pangloss #martin,#pangloss,#martin,#madame-de-candide,#tous,#madame--de-candide #pangloss,#osmin,#zulmis,#zelie,#osmin #justin,#zulmis #zelie,#zulmis #osmin,#omsin,#caleb,#ensemble,#candide #suite,#zulmis #zelie #osmin #caleb,#candide #madame-de-candide,#madame-de-candide #candide,#caleb #martin #pangloss,#en-choeur
#cacambo,6.25,0.1488095238095238,0.7202380952380952,0.08333333333333333,0.25,0.008333333333333333,0.16666666666666666,0.75,1.0416666666666667,0.16666666666666666,1.5,0.027777777777777776,1.125,0.08333333333333333,0.08333333333333333,0.75,0.008333333333333333,0.375,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,0.0
#justin,0.1488095238095238,5.0625,1.3890306122448979,0.017857142857142856,1.005952380952381,0.6446428571428572,0.32142857142857145,0.017857142857142856,0.4375,2.892857142857143,0.8928571428571429,2.1488095238095237,0.3601190476190476,1.4464285714285714,1.4464285714285714,0.017857142857142856,0.30178571428571427,0.7232142857142857,0.7232142857142857,0.7232142857142857,0.7232142857142857,0.7232142857142857,0.7232142857142857,0.0
#candide,0.7202380952380952,1.3890306122448979,5.0625,1.4464285714285714,2.1488095238095237,1.5017857142857143,0.8928571428571429,0.017857142857142856,0.7232142857142857,0.32142857142857145,1.75,0.1488095238095238,1.3125,0.017857142857142856,0.017857142857142856,0.875,0.01607142857142857,0.4375,0.7232142857142857,0.7232142857142857,0.7232142857142857,0.7232142857142857,0.7232142857142857,0.0
#pangloss #martin,0.08333333333333333,0.017857142857142856,1.4464285714285714,12.25,2.0833333333333335,3.025,0.5,0.25,0.125,0.5,0.5,0.08333333333333333,0.375,2.25,2.25,0.25,0.225,0.125,6.125,6.125,6.125,6.125,6.125,0.0
#pangloss,0.25,1.005952380952381,2.1488095238095237,2.0833333333333335,6.25,5.208333333333333,4.166666666666667,0.08333333333333333,1.0416666666666667,0.16666666666666666,1.5,0.027777777777777776,1.125,0.08333333333333333,0.08333333333333333,0.75,0.008333333333333333,0.375,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,0.0
#martin,0.008333333333333333,0.6446428571428572,1.5017857142857143,3.025,5.208333333333333,7.5625,6.05,0.225,1.5125,0.05,1.25,0.4083333333333333,0.9375,0.225,0.225,0.625,0.2025,0.3125,1.5125,1.5125,1.5125,1.5125,1.5125,0.0
#madame-de-candide,0.16666666666666666,0.32142857142857145,0.8928571428571429,0.5,4.166666666666667,6.05,9.0,0.5,2.25,0.0,1.0,0.16666666666666666,0.75,0.5,0.5,0.5,0.05,0.25,2.25,2.25,2.25,2.25,2.25,0.0
#tous,0.75,0.017857142857142856,0.017857142857142856,0.25,0.08333333333333333,0.225,0.5,12.25,0.125,0.5,0.5,0.08333333333333333,1.0416666666666667,2.25,2.25,0.25,0.625,0.125,0.125,0.125,0.125,0.125,0.125,0.0
#madame--de-candide #pangloss,1.0416666666666667,0.4375,0.7232142857142857,0.125,1.0416666666666667,1.5125,2.25,0.125,14.0625,0.25,0.25,0.375,0.1875,0.125,0.125,0.125,0.3125,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0
#osmin,0.16666666666666666,2.892857142857143,0.32142857142857145,0.5,0.16666666666666666,0.05,0.0,0.5,0.25,9.0,4.0,4.166666666666667,2.0833333333333335,4.5,4.5,0.5,0.45,2.25,2.25,2.25,2.25,2.25,2.25,0.0
#zulmis,1.5,0.8928571428571429,1.75,0.5,1.5,1.25,1.0,0.5,0.25,4.0,9.0,1.5,6.75,0.5,0.5,4.5,0.45,2.25,0.25,0.25,0.25,0.25,0.25,0.0
#zelie,0.027777777777777776,2.1488095238095237,0.1488095238095238,0.08333333333333333,0.027777777777777776,0.4083333333333333,0.16666666666666666,0.08333333333333333,0.375,4.166666666666667,1.5,6.25,0.6805555555555556,2.0833333333333335,2.0833333333333335,0.08333333333333333,0.675,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,0.0
#osmin #justin,1.125,0.3601190476190476,1.3125,0.375,1.125,0.9375,0.75,1.0416666666666667,0.1875,2.0833333333333335,6.75,0.6805555555555556,10.5625,1.0416666666666667,1.0416666666666667,7.041666666666667,1.2041666666666666,3.5208333333333335,0.1875,0.1875,0.1875,0.1875,0.1875,0.0
#zulmis #zelie,0.08333333333333333,1.4464285714285714,0.017857142857142856,2.25,0.08333333333333333,0.225,0.5,2.25,0.125,4.5,0.5,2.0833333333333335,1.0416666666666667,12.25,12.25,0.25,0.225,0.125,6.125,6.125,6.125,6.125,6.125,0.0
#zulmis #zelie,0.08333333333333333,1.4464285714285714,0.017857142857142856,2.25,0.08333333333333333,0.225,0.5,2.25,0.125,4.5,0.5,2.0833333333333335,1.0416666666666667,12.25,12.25,0.25,0.225,0.125,6.125,6.125,6.125,6.125,6.125,0.0
#omsin,0.75,0.017857142857142856,0.875,0.25,0.75,0.625,0.5,0.25,0.125,0.5,4.5,0.08333333333333333,7.041666666666667,0.25,0.25,12.25,3.025,6.125,0.125,0.125,0.125,0.125,0.125,0.0
#caleb,0.008333333333333333,0.30178571428571427,0.01607142857142857,0.225,0.008333333333333333,0.2025,0.05,0.625,0.3125,0.45,0.45,0.675,1.2041666666666666,0.225,0.225,3.025,7.5625,1.5125,1.5125,1.5125,1.5125,1.5125,1.5125,0.0
#ensemble,0.375,0.7232142857142857,0.4375,0.125,0.375,0.3125,0.25,0.125,0.0625,2.25,2.25,1.0416666666666667,3.5208333333333335,0.125,0.125,6.125,1.5125,14.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0
#candide #suite,1.0416666666666667,0.7232142857142857,0.7232142857142857,6.125,1.0416666666666667,1.5125,2.25,0.125,0.0625,2.25,0.25,1.0416666666666667,0.1875,6.125,6.125,0.125,1.5125,0.0625,14.0625,14.0625,14.0625,14.0625,14.0625,0.0
#candide #suite,1.0416666666666667,0.7232142857142857,0.7232142857142857,6.125,1.0416666666666667,1.5125,2.25,0.125,0.0625,2.25,0.25,1.0416666666666667,0.1875,6.125,6.125,0.125,1.5125,0.0625,14.0625,14.0625,14.0625,14.0625,14.0625,0.0
#candide #suite,1.0416666666666667,0.7232142857142857,0.7232142857142857,6.125,1.0416666666666667,1.5125,2.25,0.125,0.0625,2.25,0.25,1.0416666666666667,0.1875,6.125,6.125,0.125,1.5125,0.0625,14.0625,14.0625,14.0625,14.0625,14.0625,0.0
