VALEUR,#madame-geralde,#celestine,#geralde,#madame-geralde #celestine,#mainfroi,#alexis,#geralde #madame-geralde,#celestine #alexis
Fréquences (scènes),0.5,0.42857142857142855,0.7857142857142857,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.07142857142857142
Fréquences(répliques),0.018633540372670808,0.30434782608695654,0.39751552795031053,0.012422360248447204,0.07453416149068323,0.16770186335403728,0.012422360248447204,0.012422360248447204
Confrontation,0.20270270270270271,0.1891891891891892,0.22972972972972974,0.04054054054054054,0.08108108108108109,0.13513513513513514,0.05405405405405406,0.06756756756756757
Déviations,#madame-geralde,#celestine,#geralde,#madame-geralde #celestine,#mainfroi,#alexis,#geralde #madame-geralde,#celestine #alexis
#madame-geralde,3.5,0.3333333333333333,0.045454545454545456,0.5,0.0,0.16666666666666666,0.5,0.5
#celestine,0.3333333333333333,4.571428571428573,0.10822510822510827,0.7619047619047619,0.023809523809523826,0.396825396825397,0.7619047619047619,0.7619047619047619
#geralde,0.045454545454545456,0.10822510822510827,0.6428571428571431,0.058441558441558454,0.11688311688311691,0.17532467532467527,0.058441558441558454,0.058441558441558454
#madame-geralde #celestine,0.5,0.7619047619047619,0.058441558441558454,12.071428571428573,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.07142857142857142
#mainfroi,0.0,0.023809523809523826,0.11688311688311691,0.14285714285714285,10.285714285714288,0.7619047619047619,0.14285714285714285,5.142857142857144
#alexis,0.16666666666666666,0.396825396825397,0.17532467532467527,0.21428571428571427,0.7619047619047619,8.642857142857144,2.880952380952381,2.880952380952381
#geralde #madame-geralde,0.5,0.7619047619047619,0.058441558441558454,0.07142857142857142,0.14285714285714285,2.880952380952381,12.071428571428573,0.07142857142857142
#celestine #alexis,0.5,0.7619047619047619,0.058441558441558454,0.07142857142857142,5.142857142857144,2.880952380952381,0.07142857142857142,12.071428571428573
Successions,#madame-geralde,#celestine,#geralde,#madame-geralde #celestine,#mainfroi,#alexis,#geralde #madame-geralde,#celestine #alexis
#madame-geralde,0.0,0.3103448275862069,0.6724137931034483,0.0,0.0,0.017241379310344827,0.0,0.0
#celestine,0.43636363636363634,0.0,0.45454545454545453,0.01818181818181818,0.01818181818181818,0.07272727272727272,0.0,0.0
#geralde,0.2905982905982906,0.2564102564102564,0.03418803418803419,0.008547008547008548,0.24786324786324787,0.1623931623931624,0.0,0.0
#madame-geralde #celestine,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#mainfroi,0.0,0.0,0.967741935483871,0.0,0.0,0.0,0.0,0.03225806451612903
#alexis,0.04,0.24,0.68,0.0,0.0,0.0,0.04,0.0
#geralde #madame-geralde,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#celestine #alexis,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
