VALEUR,#lisandre,#crisante,#leon,#clarinde,#page,#beronte,#cleandre,#caliste,#alcidon,#boucher,#bouchere,#geolier,#lidias,#dorilas,#orante,#adraste,#hyppolite,#lidian,#valet,#le-roi,#lucidan,#juge,#le-courrier,#varasque
Fréquences (scènes),0.5714285714285714,0.09523809523809523,0.23809523809523808,0.09523809523809523,0.14285714285714285,0.23809523809523808,0.09523809523809523,0.3333333333333333,0.14285714285714285,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.047619047619047616,0.19047619047619047,0.23809523809523808,0.14285714285714285,0.14285714285714285,0.09523809523809523,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.047619047619047616
Fréquences(répliques),0.28585365853658534,0.020975609756097562,0.04926829268292683,0.012195121951219513,0.0034146341463414634,0.04097560975609756,0.01121951219512195,0.11121951219512195,0.018536585365853658,0.01951219512195122,0.00878048780487805,0.004390243902439025,0.007804878048780488,0.041463414634146344,0.027317073170731707,0.05365853658536585,0.11560975609756098,0.037073170731707315,0.016097560975609757,0.0624390243902439,0.036585365853658534,0.004878048780487805,0.007804878048780488,0.002926829268292683
Confrontation,0.10069444444444445,0.013888888888888888,0.06944444444444445,0.027777777777777776,0.027777777777777776,0.07291666666666667,0.024305555555555556,0.10069444444444445,0.024305555555555556,0.017361111111111112,0.006944444444444444,0.010416666666666666,0.0,0.06944444444444445,0.010416666666666666,0.06944444444444445,0.0763888888888889,0.041666666666666664,0.04513888888888889,0.059027777777777776,0.0625,0.03125,0.010416666666666666,0.027777777777777776
Déviations,#lisandre,#crisante,#leon,#clarinde,#page,#beronte,#cleandre,#caliste,#alcidon,#boucher,#bouchere,#geolier,#lidias,#dorilas,#orante,#adraste,#hyppolite,#lidian,#valet,#le-roi,#lucidan,#juge,#le-courrier,#varasque
#lisandre,3.857142857142858,0.642857142857143,0.007142857142857182,1.1428571428571428,0.29761904761904756,1.2071428571428569,0.017857142857142842,0.25,0.29761904761904756,0.642857142857143,0.3214285714285715,0.3214285714285715,0.5714285714285714,0.04761904761904765,0.3214285714285715,0.035714285714285685,0.007142857142857182,1.7142857142857142,0.29761904761904756,0.017857142857142842,0.29761904761904756,0.5714285714285714,0.3214285714285715,0.3214285714285715
#crisante,0.642857142857143,17.190476190476193,0.5761904761904763,0.19047619047619047,0.2857142857142857,0.5761904761904763,0.19047619047619047,0.6666666666666666,0.2857142857142857,0.19047619047619047,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.2857142857142857,0.09523809523809523,0.38095238095238093,0.47619047619047616,0.2857142857142857,0.2857142857142857,0.19047619047619047,0.2857142857142857,0.09523809523809523,0.09523809523809523,0.09523809523809523
#leon,0.007142857142857182,0.5761904761904763,12.19047619047619,4.876190476190476,0.11428571428571437,2.7504761904761907,0.5761904761904763,0.06666666666666674,0.11428571428571437,0.47619047619047616,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.11428571428571437,0.23809523809523808,0.0023809523809523864,0.030476190476190473,0.7142857142857142,0.7142857142857142,0.5761904761904763,0.11428571428571437,0.23809523809523808,0.23809523809523808,2.438095238095238
#clarinde,1.1428571428571428,0.19047619047619047,4.876190476190476,17.190476190476193,1.7857142857142858,4.876190476190476,3.4404761904761907,0.1666666666666667,1.7857142857142858,0.19047619047619047,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.2857142857142857,0.09523809523809523,0.38095238095238093,0.47619047619047616,0.2857142857142857,0.2857142857142857,0.19047619047619047,0.2857142857142857,0.09523809523809523,0.09523809523809523,0.09523809523809523
#page,0.29761904761904756,0.2857142857142857,0.11428571428571437,1.7857142857142858,15.428571428571432,0.11428571428571437,0.2857142857142857,1.0,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.7619047619047619,5.142857142857144,0.3214285714285715,0.7142857142857142,0.7619047619047619,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285
#beronte,1.2071428571428569,0.5761904761904763,2.7504761904761907,4.876190476190476,0.11428571428571437,12.19047619047619,0.5761904761904763,0.06666666666666674,2.314285714285715,0.47619047619047616,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.11428571428571437,0.23809523809523808,0.0023809523809523864,0.030476190476190473,0.11428571428571437,0.11428571428571437,0.5761904761904763,0.11428571428571437,2.438095238095238,0.23809523809523808,0.23809523809523808
