VALEUR,#le-marquis,#le-chevalier,#la-comtesse,#le-conseiller,#l-acteur,#l-insulaire,#blaise,#le-poete,#tous,#fontignac,#le-courtisan,#le-philosophe,#spinette,#le-medecin,#le-gouverneur,#parmenes,#floris,#blectrue,#megiste,#legrand,#mademoiselle-legrand,#mademoiselle-labatte,#dufresne,#du-mirail,#mademoiselle-jouvenot,#mademoiselle-quinault,#quinault
Fréquences (scènes),0.07894736842105263,0.07894736842105263,0.2894736842105263,0.05263157894736842,0.02631578947368421,0.10526315789473684,0.6052631578947368,0.13157894736842105,0.02631578947368421,0.42105263157894735,0.2894736842105263,0.15789473684210525,0.2894736842105263,0.07894736842105263,0.07894736842105263,0.15789473684210525,0.18421052631578946,0.34210526315789475,0.07894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17307692307692307,0.07692307692307693,0.057692307692307696,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.23076923076923078,0.11538461538461539
Confrontation,0.01606425702811245,0.01606425702811245,0.10441767068273092,0.014056224899598393,0.008032128514056224,0.02610441767068273,0.1566265060240964,0.04618473895582329,0.01606425702811245,0.12048192771084337,0.08835341365461848,0.07028112449799197,0.08634538152610442,0.03815261044176707,0.0321285140562249,0.04417670682730924,0.060240963855421686,0.04618473895582329,0.010040160642570281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Déviations,#le-marquis,#le-chevalier,#la-comtesse,#le-conseiller,#l-acteur,#l-insulaire,#blaise,#le-poete,#tous,#fontignac,#le-courtisan,#le-philosophe,#spinette,#le-medecin,#le-gouverneur,#parmenes,#floris,#blectrue,#megiste,#legrand,#mademoiselle-legrand,#mademoiselle-labatte,#dufresne,#du-mirail,#mademoiselle-jouvenot,#mademoiselle-quinault,#quinault
#le-marquis,32.23684210526316,32.23684210526316,1.474481658692185,21.49122807017544,10.74561403508772,0.3157894736842105,1.8157894736842106,0.39473684210526316,0.07894736842105263,1.263157894736842,0.868421052631579,0.47368421052631576,0.868421052631579,0.23684210526315788,0.23684210526315788,0.47368421052631576,0.5526315789473684,1.0263157894736843,0.23684210526315788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-marquis,32.23684210526316,32.23684210526316,1.474481658692185,21.49122807017544,10.74561403508772,0.3157894736842105,1.8157894736842106,0.39473684210526316,0.07894736842105263,1.263157894736842,0.868421052631579,0.47368421052631576,0.868421052631579,0.23684210526315788,0.23684210526315788,0.47368421052631576,0.5526315789473684,1.0263157894736843,0.23684210526315788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-comtesse,1.4744816586921856,1.4744816586921856,19.18421052631579,3.488038277511962,1.744019138755981,0.02153110047846891,0.27054295818597873,0.21100478468899536,1.744019138755981,0.40430622009569367,0.20900391474554159,2.9489633173843712,2.4899956502827316,1.4744816586921856,1.4744816586921856,2.9489633173843712,1.9224196855775808,2.028892160471108,0.8684210526315789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-conseiller,21.49122807017544,21.49122807017544,3.488038277511962,34.10526315789474,17.05263157894737,0.21052631578947367,1.2105263157894737,0.2631578947368421,0.05263157894736842,0.8421052631578947,0.5789473684210527,0.3157894736842105,0.5789473684210527,0.15789473684210525,0.15789473684210525,0.3157894736842105,0.3684210526315789,0.6842105263157895,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-acteur,10.74561403508772,10.74561403508772,1.744019138755981,17.05263157894737,36.02631578947369,0.10526315789473684,0.6052631578947368,0.13157894736842105,0.02631578947368421,0.42105263157894735,0.2894736842105263,0.15789473684210525,0.2894736842105263,0.07894736842105263,0.07894736842105263,0.15789473684210525,0.18421052631578946,0.34210526315789475,0.07894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-insulaire,0.3157894736842105,0.3157894736842105,0.02153110047846891,0.21052631578947367,0.10526315789473684,30.42105263157895,0.13844393592677345,0.5263157894736842,0.10526315789473684,0.05921052631578951,0.6124401913875597,0.21491228070175444,0.02153110047846891,0.3157894736842105,1.4824561403508774,0.21491228070175444,0.09398496240601507,1.368421052631579,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
