VALEUR,#laodice,#nicomede,#attale,#arsinoe,#cleone,#prusias,#araspe,#flaminius
Fréquences (scènes),0.3125,0.40625,0.40625,0.46875,0.0625,0.40625,0.09375,0.34375
Fréquences(répliques),0.15958005249343832,0.26036745406824147,0.10971128608923884,0.18320209973753282,0.0068241469816272965,0.14435695538057744,0.01994750656167979,0.11601049868766404
Confrontation,0.09859154929577464,0.1619718309859155,0.15492957746478872,0.19014084507042253,0.02112676056338028,0.16901408450704225,0.04929577464788732,0.15492957746478872
Déviations,#laodice,#nicomede,#attale,#arsinoe,#cleone,#prusias,#araspe,#flaminius
#laodice,15.125,0.0009615384615384616,0.2778846153846154,0.6075,0.625,1.0471153846153847,0.9375,0.6011363636363637
#nicomede,0.0009615384615384616,11.28125,0.31083579881656803,0.7193910256410256,0.8125,0.09781804733727811,0.03926282051282051,0.049169580419580416
#attale,0.2778846153846154,0.31083579881656803,11.28125,0.13477564102564102,0.8125,0.9853920118343196,0.03926282051282051,0.049169580419580416
#arsinoe,0.6075,0.7193910256410256,0.13477564102564102,9.03125,1.2041666666666666,0.19631410256410256,0.25069444444444444,0.259280303030303
#cleone,0.625,0.8125,0.8125,1.2041666666666666,28.125,0.8125,0.1875,0.14204545454545456
#prusias,1.0471153846153847,0.09781804733727811,0.9853920118343196,0.19631410256410256,0.8125,11.28125,0.500801282051282,0.5246940559440559
#araspe,0.9375,0.03926282051282051,0.03926282051282051,0.25069444444444444,0.1875,0.500801282051282,26.28125,0.000946969696969697
#flaminius,0.6011363636363637,0.049169580419580416,0.049169580419580416,0.259280303030303,0.14204545454545456,0.5246940559440559,0.000946969696969697,13.78125
Successions,#laodice,#nicomede,#attale,#arsinoe,#cleone,#prusias,#araspe,#flaminius
#laodice,0.0,0.1794871794871795,0.3076923076923077,0.28205128205128205,0.0,0.1282051282051282,0.0,0.10256410256410256
#nicomede,0.1111111111111111,0.0,0.14814814814814814,0.24691358024691357,0.0,0.32098765432098764,0.012345679012345678,0.16049382716049382
#attale,0.21153846153846154,0.25,0.0,0.3076923076923077,0.0,0.057692307692307696,0.0,0.17307692307692307
#arsinoe,0.16666666666666666,0.3333333333333333,0.24242424242424243,0.030303030303030304,0.07575757575757576,0.09090909090909091,0.030303030303030304,0.030303030303030304
#cleone,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666
#prusias,0.09259259259259259,0.4074074074074074,0.05555555555555555,0.18518518518518517,0.018518518518518517,0.018518518518518517,0.1111111111111111,0.1111111111111111
#araspe,0.0,0.3333333333333333,0.0,0.0,0.0,0.5555555555555556,0.0,0.1111111111111111
#flaminius,0.1111111111111111,0.3888888888888889,0.25,0.05555555555555555,0.0,0.19444444444444445,0.0,0.0
