VALEUR,#sophonisbe,#nourrice,#messager,#choeur,#massinisse,#furie,#lelie,#scipion,#syphax,#hiempsal
Fréquences (scènes),0.6666666666666666,0.5,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
Fréquences(répliques),0.2870201096892139,0.113345521023766,0.04631322364411944,0.0,0.2437538086532602,0.031687995124923825,0.08836075563680683,0.13223644119439365,0.031687995124923825,0.025594149908592323
Confrontation,0.1935483870967742,0.16129032258064516,0.04838709677419355,0.1935483870967742,0.1935483870967742,0.0,0.06451612903225806,0.04838709677419355,0.04838709677419355,0.04838709677419355
Déviations,#sophonisbe,#nourrice,#messager,#choeur,#massinisse,#furie,#lelie,#scipion,#syphax,#hiempsal
#sophonisbe,0.6666666666666669,0.5,0.1666666666666667,0.041666666666666706,0.041666666666666706,0.6666666666666666,0.1666666666666667,0.6666666666666666,0.6666666666666666,0.1666666666666667
#nourrice,0.5,1.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5
#messager,0.1666666666666667,0.5,4.166666666666668,0.1666666666666667,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
#choeur,0.041666666666666706,0.0,0.1666666666666667,0.6666666666666669,0.041666666666666706,0.6666666666666666,0.1666666666666667,0.1666666666666667,0.1666666666666667,0.6666666666666666
#massinisse,0.041666666666666706,0.0,0.6666666666666666,0.041666666666666706,0.6666666666666669,0.6666666666666666,0.1666666666666667,0.1666666666666667,0.1666666666666667,0.1666666666666667
#furie,0.6666666666666666,0.5,0.16666666666666666,0.6666666666666666,0.6666666666666666,4.166666666666668,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
#lelie,0.1666666666666667,0.5,0.16666666666666666,0.1666666666666667,0.1666666666666667,0.16666666666666666,4.166666666666668,0.16666666666666666,0.16666666666666666,0.16666666666666666
#scipion,0.6666666666666666,0.5,0.16666666666666666,0.1666666666666667,0.1666666666666667,0.16666666666666666,0.16666666666666666,4.166666666666668,4.166666666666668,0.16666666666666666
#scipion,0.6666666666666666,0.5,0.16666666666666666,0.1666666666666667,0.1666666666666667,0.16666666666666666,0.16666666666666666,4.166666666666668,4.166666666666668,0.16666666666666666
#hiempsal,0.1666666666666667,0.5,0.16666666666666666,0.6666666666666666,0.1666666666666667,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,4.166666666666668
Successions,#sophonisbe,#nourrice,#messager,#choeur,#massinisse,#furie,#lelie,#scipion,#syphax,#hiempsal
#sophonisbe,0.0,0.44,0.2,0.0,0.28,0.0,0.0,0.0,0.0,0.08
#nourrice,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#nourrice,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#choeur,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0
#massinisse,0.18181818181818182,0.0,0.0,0.06060606060606061,0.0,0.0,0.3939393939393939,0.2727272727272727,0.0,0.09090909090909091
#furie,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#lelie,0.0,0.0,0.0,0.0,0.9230769230769231,0.07692307692307693,0.0,0.0,0.0,0.0
#scipion,0.0,0.0,0.0,0.08333333333333333,0.75,0.0,0.0,0.0,0.16666666666666666,0.0
#syphax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#hiempsal,0.0,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0
