VALEUR,#antoine,#lindamor,#theodose,#leocadie,#don-sanche,#alcionne,#dorilas,#alexandre,#filemond,#i-voleur,#premier-archer,#second-archer,#toisieme-archer,#don-louis,#don-henri
Fréquences (scènes),0.17647058823529413,0.058823529411764705,0.38235294117647056,0.5,0.11764705882352941,0.38235294117647056,0.14705882352941177,0.3235294117647059,0.058823529411764705,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.029411764705882353,0.08823529411764706,0.08823529411764706
Fréquences(répliques),0.12365866121614716,0.018395503321410323,0.20388349514563106,0.26980071538068473,0.038834951456310676,0.12212570260602963,0.027082268778742973,0.1251916198262647,0.007664793050587634,0.001021972406745018,0.018395503321410323,0.000510986203372509,0.0015329586101175269,0.027082268778742973,0.01481859989780276
Confrontation,0.1,0.03,0.16,0.135,0.065,0.11,0.05,0.14,0.025,0.02,0.045,0.015,0.015,0.03,0.06
Déviations,#antoine,#lindamor,#theodose,#leocadie,#don-sanche,#alcionne,#dorilas,#alexandre,#filemond,#i-voleur,#premier-archer,#second-archer,#toisieme-archer,#don-louis,#don-henri
#antoine,23.058823529411764,7.686274509803922,1.268476621417798,0.0,2.3725490196078436,0.03770739064856708,0.8823529411764706,0.0017825311942958873,0.3529411764705882,3.843137254901961,1.1862745098039218,0.1764705882352941,0.1764705882352941,0.41830065359477125,4.0849673202614385
#lindamor,7.686274509803921,30.11764705882353,0.0723981900452489,0.0,0.23529411764705882,0.0723981900452489,0.29411764705882354,0.6470588235294118,0.11764705882352941,15.058823529411764,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.17647058823529413
#theodose,1.2684766214177974,0.0723981900452489,12.970588235294118,0.34615384615384615,0.1447963800904978,0.18952314653672123,0.0040723981900452405,3.422665569724393,1.9954751131221722,0.3823529411764706,0.0723981900452489,0.3823529411764706,0.3823529411764706,0.018853695324283597,0.6342383107088987
#leocadie,0.0,0.0,0.34615384615384615,8.5,0.0,0.9615384615384616,2.5,0.045454545454545456,0.0,0.5,1.0,0.5,0.5,1.5,0.16666666666666666
#don-sanche,2.3725490196078427,0.23529411764705882,0.1447963800904978,0.0,26.470588235294116,1.5294117647058825,0.5882352941176471,0.06684491978609627,0.23529411764705882,0.11764705882352941,2.485294117647059,0.11764705882352941,0.11764705882352941,7.686274509803921,19.852941176470587
#alcionne,0.03770739064856719,0.0723981900452489,0.18952314653672123,0.9615384615384616,1.5294117647058825,12.970588235294118,4.988687782805428,0.14993829699712047,0.7647058823529412,0.9977375565610861,0.7647058823529412,0.3823529411764706,0.3823529411764706,1.147058823529412,1.147058823529412
#dorilas,0.8823529411764707,0.29411764705882354,0.004072398190045261,2.5,0.5882352941176471,4.988687782805431,24.735294117647058,1.181283422459893,0.29411764705882354,0.14705882352941177,0.29411764705882354,0.14705882352941177,0.14705882352941177,0.44117647058823534,0.44117647058823534
#alexandre,0.0017825311942958873,0.6470588235294118,3.422665569724395,0.045454545454545456,0.06684491978609627,0.14993829699712083,1.181283422459893,15.558823529411764,2.828877005347594,0.3235294117647059,0.19251336898395718,0.3235294117647059,0.3235294117647059,0.9705882352941178,0.0008912655971479436
#filemond,0.35294117647058826,0.11764705882352941,1.9954751131221722,0.0,0.23529411764705882,0.7647058823529412,0.29411764705882354,2.828877005347594,30.11764705882353,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.17647058823529413
#i-voleur,3.8431372549019605,15.058823529411764,0.3823529411764706,0.5,0.11764705882352941,0.9977375565610861,0.14705882352941177,0.3235294117647059,0.058823529411764705,32.029411764705884,0.058823529411764705,0.029411764705882353,0.029411764705882353,0.08823529411764706,0.08823529411764706
#premier-archer,1.1862745098039214,0.11764705882352941,0.0723981900452489,1.0,2.485294117647059,0.7647058823529412,0.29411764705882354,0.19251336898395718,0.11764705882352941,0.058823529411764705,30.11764705882353,15.058823529411764,15.058823529411764,0.17647058823529413,3.8431372549019605
#second-archer,0.17647058823529413,0.058823529411764705,0.3823529411764706,0.5,0.11764705882352941,0.3823529411764706,0.14705882352941177,0.3235294117647059,0.058823529411764705,0.029411764705882353,15.058823529411764,32.029411764705884,32.029411764705884,0.08823529411764706,0.08823529411764706
#second-archer,0.17647058823529413,0.058823529411764705,0.3823529411764706,0.5,0.11764705882352941,0.3823529411764706,0.14705882352941177,0.3235294117647059,0.058823529411764705,0.029411764705882353,15.058823529411764,32.029411764705884,32.029411764705884,0.08823529411764706,0.08823529411764706
#don-louis,0.41830065359477125,0.1764705882352941,0.01885369532428354,1.5,7.686274509803922,1.1470588235294117,0.4411764705882353,0.9705882352941178,0.1764705882352941,0.08823529411764705,0.1764705882352941,0.08823529411764705,0.08823529411764705,28.264705882352942,11.375816993464053
#don-henri,4.0849673202614385,0.1764705882352941,0.634238310708899,0.16666666666666666,19.85294117647059,1.1470588235294117,0.4411764705882353,0.0008912655971479436,0.1764705882352941,0.08823529411764705,3.843137254901961,0.08823529411764705,0.08823529411764705,11.375816993464053,28.264705882352942
Successions,#antoine,#lindamor,#theodose,#leocadie,#don-sanche,#alcionne,#dorilas,#alexandre,#filemond,#i-voleur,#premier-archer,#second-archer,#toisieme-archer,#don-louis,#don-henri
#antoine,0.047619047619047616,0.5714285714285714,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.047619047619047616
#lindamor,0.9230769230769231,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#theodose,0.09803921568627451,0.0,0.0,0.37254901960784315,0.0,0.058823529411764705,0.0196078431372549,0.4117647058823529,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0196078431372549
#leocadie,0.017857142857142856,0.017857142857142856,0.35714285714285715,0.0,0.08928571428571429,0.125,0.0,0.21428571428571427,0.017857142857142856,0.017857142857142856,0.14285714285714285,0.0,0.0,0.0,0.0
#don-sanche,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
#alcionne,0.0,0.0,0.1388888888888889,0.19444444444444445,0.027777777777777776,0.0,0.3888888888888889,0.2222222222222222,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0
#dorilas,0.0,0.0,0.0,0.0,0.0,0.9473684210526315,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#alexandre,0.03773584905660377,0.0,0.41509433962264153,0.22641509433962265,0.0,0.11320754716981132,0.07547169811320754,0.018867924528301886,0.03773584905660377,0.0,0.018867924528301886,0.0,0.0,0.0,0.05660377358490566
#filemond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#i-voleur,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premier-archer,0.0,0.0,0.0,0.7777777777777778,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0
#second-archer,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#toisieme-archer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#don-louis,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
#don-henri,0.0,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
