VALEUR,#mercure,#nuit,#sosie,#jupiter,#alcmene,#cleanthis,#amphitryon,#naucrates,#polidas,#posicles,#argatiphonditas
Fréquences (scènes),0.3181818181818182,0.045454545454545456,0.5909090909090909,0.22727272727272727,0.13636363636363635,0.36363636363636365,0.4090909090909091,0.18181818181818182,0.09090909090909091,0.045454545454545456,0.045454545454545456
Fréquences(répliques),0.17578692493946732,0.02324455205811138,0.29491525423728815,0.13220338983050847,0.1152542372881356,0.05665859564164649,0.16610169491525423,0.023728813559322035,0.0014527845036319612,0.0014527845036319612,0.009200968523002421
Confrontation,0.08653846153846154,0.009615384615384616,0.21153846153846154,0.10576923076923077,0.0673076923076923,0.125,0.16346153846153846,0.10576923076923077,0.0673076923076923,0.028846153846153848,0.028846153846153848
Déviations,#mercure,#nuit,#sosie,#jupiter,#alcmene,#cleanthis,#amphitryon,#naucrates,#polidas,#posicles,#argatiphonditas
#mercure,10.22727272727273,1.4610389610389614,0.31218781218781233,0.21948051948051941,0.0021645021645021714,0.11688311688311687,1.2128427128427128,1.2727272727272727,0.6363636363636364,0.3181818181818182,0.3181818181818182
#nuit,1.4610389610389614,20.045454545454547,0.5909090909090909,0.22727272727272727,0.13636363636363635,0.36363636363636365,0.4090909090909091,0.18181818181818182,0.09090909090909091,0.045454545454545456,0.045454545454545456
#sosie,0.31218781218781233,0.5909090909090909,3.6818181818181803,0.30839160839160845,0.33682983682983664,0.11188811188811196,0.019036519036519057,0.17132867132867127,0.5664335664335663,0.2832167832167832,0.2832167832167832
#jupiter,0.21948051948051941,0.2272727272727273,0.30839160839160845,13.136363636363638,2.5484848484848492,0.018181818181818146,0.5343434343434342,1.3090909090909089,0.6545454545454544,0.2272727272727273,0.2272727272727273
#alcmene,0.0021645021645021606,0.13636363636363635,0.33682983682983697,2.5484848484848492,16.40909090909091,0.7575757575757578,0.04208754208754209,0.5454545454545454,0.2727272727272727,0.13636363636363635,0.13636363636363635
#cleanthis,0.11688311688311687,0.36363636363636365,0.11188811188811196,0.018181818181818195,0.7575757575757578,8.909090909090908,0.4949494949494951,0.14204545454545456,0.7272727272727273,0.36363636363636365,0.36363636363636365
#amphitryon,1.2128427128427128,0.4090909090909091,0.019036519036519057,0.5343434343434342,0.04208754208754202,0.4949494949494951,7.681818181818182,1.1363636363636362,1.7070707070707065,0.8535353535353533,0.8535353535353533
#naucrates,1.2727272727272727,0.18181818181818182,0.17132867132867127,1.3090909090909089,0.5454545454545454,0.14204545454545456,1.1363636363636362,14.727272727272725,7.363636363636362,0.18181818181818182,0.18181818181818182
#polidas,0.6363636363636364,0.09090909090909091,0.5664335664335663,0.6545454545454544,0.2727272727272727,0.7272727272727273,1.7070707070707065,7.363636363636362,18.18181818181818,0.09090909090909091,0.09090909090909091
#posicles,0.3181818181818182,0.045454545454545456,0.2832167832167832,0.22727272727272727,0.13636363636363635,0.36363636363636365,0.8535353535353533,0.18181818181818182,0.09090909090909091,20.045454545454547,20.045454545454547
#posicles,0.3181818181818182,0.045454545454545456,0.2832167832167832,0.22727272727272727,0.13636363636363635,0.36363636363636365,0.8535353535353533,0.18181818181818182,0.09090909090909091,20.045454545454547,20.045454545454547
Successions,#mercure,#nuit,#sosie,#jupiter,#alcmene,#cleanthis,#amphitryon,#naucrates,#polidas,#posicles,#argatiphonditas
#mercure,0.0,0.10526315789473684,0.6228070175438597,0.0,0.0,0.08771929824561403,0.17543859649122806,0.008771929824561403,0.0,0.0,0.0
#nuit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#sosie,0.4409937888198758,0.006211180124223602,0.0,0.024844720496894408,0.0,0.19254658385093168,0.2919254658385093,0.037267080745341616,0.006211180124223602,0.0,0.0
#jupiter,0.02702702702702703,0.0,0.10810810810810811,0.0,0.6486486486486487,0.02702702702702703,0.16216216216216217,0.02702702702702703,0.0,0.0,0.0
#alcmene,0.0,0.0,0.0,0.4166666666666667,0.0,0.016666666666666666,0.5666666666666667,0.0,0.0,0.0,0.0
#cleanthis,0.2127659574468085,0.0,0.6595744680851063,0.0425531914893617,0.0425531914893617,0.0,0.0425531914893617,0.0,0.0,0.0,0.0
#amphitryon,0.16666666666666666,0.0,0.4,0.03333333333333333,0.2833333333333333,0.025,0.0,0.058333333333333334,0.008333333333333333,0.016666666666666666,0.008333333333333333
#naucrates,0.0,0.0,0.26666666666666666,0.13333333333333333,0.0,0.06666666666666667,0.5333333333333333,0.0,0.0,0.0,0.0
#polidas,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#posicles,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#posicles,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
