VALEUR,#beatrix,#leonor,#helene,#don-juan,#don-diegue,#paquette,#rosquepine,#filipin,#carmagnolle
Fréquences (scènes),0.20833333333333334,0.4166666666666667,0.5,0.20833333333333334,0.6666666666666666,0.2916666666666667,0.25,0.4166666666666667,0.041666666666666664
Fréquences(répliques),0.0755939524838013,0.1900647948164147,0.12742980561555076,0.06047516198704104,0.2019438444924406,0.03779697624190065,0.026457883369330453,0.2705183585313175,0.009719222462203024
Confrontation,0.06470588235294118,0.12941176470588237,0.1588235294117647,0.08235294117647059,0.2235294117647059,0.1,0.07058823529411765,0.14705882352941177,0.023529411764705882
Déviations,#beatrix,#leonor,#helene,#don-juan,#don-diegue,#paquette,#rosquepine,#filipin,#carmagnolle
#beatrix,15.041666666666663,1.763333333333333,0.9,1.0416666666666667,0.03333333333333328,0.14404761904761912,1.25,0.003333333333333345,0.20833333333333331
#leonor,1.763333333333333,8.166666666666664,0.0,0.40333333333333315,0.06666666666666655,1.2595238095238097,0.9,1.126666666666667,0.41666666666666663
#helene,0.9,0.0,6.0,0.1,0.125,1.7857142857142858,3.0,0.2,0.5
#don-juan,1.0416666666666667,0.40333333333333315,0.1,15.041666666666663,0.13333333333333347,1.4583333333333335,0.45,0.003333333333333345,0.20833333333333331
#don-diegue,0.03333333333333336,0.06666666666666672,0.125,0.13333333333333328,2.6666666666666674,0.09523809523809532,1.0,0.016666666666666635,0.1666666666666667
#paquette,0.14404761904761912,1.2595238095238097,1.7857142857142858,1.4583333333333335,0.09523809523809508,12.041666666666664,1.75,0.4023809523809521,1.7202380952380956
#rosquepine,1.25,0.9,3.0,0.45,1.0,1.75,13.5,0.1,0.25
#filipin,0.003333333333333345,1.126666666666667,0.2,0.003333333333333345,0.01666666666666673,0.4023809523809521,0.1,8.166666666666664,0.8166666666666669
#carmagnolle,0.20833333333333334,0.4166666666666667,0.5,0.20833333333333334,0.1666666666666667,1.720238095238095,0.25,0.8166666666666664,22.04166666666667
Successions,#beatrix,#leonor,#helene,#don-juan,#don-diegue,#paquette,#rosquepine,#filipin,#carmagnolle
#beatrix,0.0,0.5517241379310345,0.0,0.0,0.10344827586206896,0.0,0.0,0.3448275862068966,0.0
#leonor,0.19101123595505617,0.0,0.3146067415730337,0.056179775280898875,0.3595505617977528,0.011235955056179775,0.011235955056179775,0.056179775280898875,0.0
#helene,0.0,0.2773109243697479,0.0,0.025210084033613446,0.3277310924369748,0.1092436974789916,0.0,0.25210084033613445,0.008403361344537815
#don-juan,0.0,0.14285714285714285,0.21428571428571427,0.0,0.42857142857142855,0.0,0.0,0.21428571428571427,0.0
#don-diegue,0.02127659574468085,0.23404255319148937,0.2907801418439716,0.10638297872340426,0.0,0.0070921985815602835,0.07092198581560284,0.2695035460992908,0.0
#paquette,0.0,0.0,0.6086956521739131,0.0,0.0,0.0,0.0,0.391304347826087,0.0
#rosquepine,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.1111111111111111,0.0
#filipin,0.08403361344537816,0.025210084033613446,0.25210084033613445,0.04201680672268908,0.3277310924369748,0.06722689075630252,0.058823529411764705,0.0,0.14285714285714285
#carmagnolle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
