VALEUR,#le-campagnard,#jodelet,#phenice,#bazile,#cliton,#philis,#leandre,#anselme,#le-page,#alcipe,#lise
Fréquences (scènes),0.7692307692307693,0.7307692307692307,0.23076923076923078,0.38461538461538464,0.15384615384615385,0.5384615384615384,0.34615384615384615,0.23076923076923078,0.07692307692307693,0.038461538461538464,0.038461538461538464
Fréquences(répliques),0.3164847788627226,0.16025272831705917,0.0430786904078116,0.07409534750143595,0.01665709362435382,0.05399195864445721,0.14531878230901782,0.17863296955772545,0.0022975301550832855,0.005743825387708214,0.0034462952326249283
Confrontation,0.19736842105263158,0.1875,0.07894736842105263,0.13815789473684212,0.05592105263157895,0.1611842105263158,0.08552631578947369,0.049342105263157895,0.01644736842105263,0.009868421052631578,0.019736842105263157
Déviations,#le-campagnard,#jodelet,#phenice,#bazile,#cliton,#philis,#leandre,#anselme,#le-page,#alcipe,#lise
#le-campagnard,1.3846153846153844,0.3890688259109313,0.03205128205128197,0.6923076923076922,0.2769230769230768,0.0049450549450549865,0.12307692307692314,0.5653846153846157,0.1384615384615384,0.0692307692307692,0.0692307692307692
#jodelet,0.3890688259109307,1.884615384615386,0.08636977058029677,0.06558704453441282,0.39676113360323867,0.3059572006940431,0.3780926675663516,0.4372469635627533,0.14574898785425108,0.09919028340080967,0.09919028340080967
#phenice,0.03205128205128197,0.08636977058029705,15.384615384615381,3.14102564102564,1.2564102564102562,0.9688644688644688,0.002849002849002829,1.3846153846153846,0.46153846153846156,0.23076923076923078,0.23076923076923078
#bazile,0.6923076923076922,0.065587044534413,3.14102564102564,9.846153846153845,1.3884615384615382,1.270329670329671,0.08376068376068373,0.04102564102564109,0.0692307692307692,0.38461538461538464,0.9846153846153847
#cliton,0.2769230769230768,0.396761133603239,1.2564102564102562,1.3884615384615382,18.615384615384613,1.5824175824175828,1.3846153846153846,0.9230769230769231,0.3076923076923077,0.15384615384615385,0.15384615384615385
#philis,0.004945054945054909,0.3059572006940431,0.9688644688644688,1.2703296703296698,1.5824175824175817,5.538461538461539,0.004884004884004906,0.01648351648351649,1.076923076923077,0.5384615384615385,0.3956043956043954
#leandre,0.12307692307692314,0.3780926675663516,0.0028490028490028613,0.08376068376068373,1.3846153846153846,0.004884004884004906,11.115384615384617,0.4102564102564101,0.6923076923076923,0.34615384615384615,1.235042735042735
#anselme,0.5653846153846157,0.4372469635627528,1.3846153846153846,0.04102564102564109,0.9230769230769231,0.01648351648351649,0.4102564102564105,15.384615384615381,0.46153846153846156,0.23076923076923078,2.5641025641025634
#le-page,0.1384615384615384,0.14574898785425097,0.46153846153846156,0.0692307692307692,0.3076923076923077,1.0769230769230769,0.6923076923076923,0.46153846153846156,22.153846153846157,11.076923076923078,0.07692307692307693
#alcipe,0.0692307692307692,0.09919028340080975,0.23076923076923078,0.38461538461538464,0.15384615384615385,0.5384615384615384,0.34615384615384615,0.23076923076923078,11.076923076923078,24.038461538461537,0.038461538461538464
#lise,0.0692307692307692,0.09919028340080975,0.23076923076923078,0.9846153846153847,0.15384615384615385,0.3956043956043957,1.235042735042735,2.5641025641025634,0.07692307692307693,0.038461538461538464,24.038461538461537
Successions,#le-campagnard,#jodelet,#phenice,#bazile,#cliton,#philis,#leandre,#anselme,#le-page,#alcipe,#lise
#le-campagnard,0.009174311926605505,0.3853211009174312,0.08256880733944955,0.12844036697247707,0.045871559633027525,0.06880733944954129,0.1743119266055046,0.0779816513761468,0.0045871559633027525,0.013761467889908258,0.009174311926605505
#jodelet,0.768595041322314,0.0,0.008264462809917356,0.01652892561983471,0.0,0.0743801652892562,0.05785123966942149,0.05785123966942149,0.0,0.01652892561983471,0.0
#phenice,0.4358974358974359,0.05128205128205128,0.0,0.15384615384615385,0.0,0.3076923076923077,0.05128205128205128,0.0,0.0,0.0,0.0
#bazile,0.36363636363636365,0.09090909090909091,0.10909090909090909,0.01818181818181818,0.09090909090909091,0.10909090909090909,0.14545454545454545,0.01818181818181818,0.03636363636363636,0.0,0.01818181818181818
#cliton,0.5882352941176471,0.0,0.0,0.23529411764705882,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.0
#philis,0.2028985507246377,0.17391304347826086,0.15942028985507245,0.043478260869565216,0.028985507246376812,0.0,0.17391304347826086,0.21739130434782608,0.0,0.0,0.0
#leandre,0.41836734693877553,0.08163265306122448,0.030612244897959183,0.07142857142857142,0.0,0.09183673469387756,0.0,0.30612244897959184,0.0,0.0,0.0
#anselme,0.2571428571428571,0.07142857142857142,0.0,0.02857142857142857,0.0,0.21428571428571427,0.42857142857142855,0.0,0.0,0.0,0.0
#le-page,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#alcipe,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lise,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
