VALEUR,#agamemnon,#amyntas,#le-valet-de-chambre,#oronte,#menelas,#ulysse,#le-messager,#clytemnestre,#iphigenie,#achille,#ardelie,#calchas,#talthibie,#calcas,#diane
Fréquences (scènes),0.6,0.28,0.08,0.04,0.2,0.12,0.04,0.48,0.4,0.2,0.12,0.04,0.04,0.04,0.04
Fréquences(répliques),0.27835587929240374,0.058792924037460975,0.003121748178980229,0.0015608740894901144,0.09885535900104059,0.061394380853277836,0.003121748178980229,0.16024973985431842,0.14360041623309053,0.14880332986472425,0.006243496357960458,0.027055150884495317,0.002081165452653486,0.006763787721123829,0.0
Confrontation,0.17582417582417584,0.054945054945054944,0.02197802197802198,0.005494505494505495,0.08791208791208792,0.08241758241758242,0.016483516483516484,0.14835164835164835,0.13736263736263737,0.08241758241758242,0.06593406593406594,0.01098901098901099,0.02197802197802198,0.04395604395604396,0.04395604395604396
Déviations,#agamemnon,#amyntas,#le-valet-de-chambre,#oronte,#menelas,#ulysse,#le-messager,#clytemnestre,#iphigenie,#achille,#ardelie,#calchas,#talthibie,#calcas,#diane
#agamemnon,4.0,0.00952380952380954,0.5333333333333334,0.2666666666666667,0.3333333333333333,0.8000000000000003,0.2666666666666667,0.6722222222222219,0.16666666666666666,1.3333333333333333,0.022222222222222265,0.2666666666666667,0.2666666666666667,0.2666666666666667,0.2666666666666667
#amyntas,0.00952380952380954,12.959999999999992,3.7028571428571424,0.28,0.2571428571428568,0.8400000000000001,0.28,1.6576190476190478,2.8000000000000007,0.11428571428571446,0.8400000000000001,0.28,0.28,0.28,0.28
#le-valet-de-chambre,0.5333333333333334,3.7028571428571424,21.16,0.08,0.4000000000000001,0.24,0.08,0.96,0.8000000000000002,0.4000000000000001,0.24,0.08,0.08,0.08,0.08
#oronte,0.2666666666666667,0.28,0.08,23.04,0.20000000000000004,0.12,0.04,0.48,0.4000000000000001,0.20000000000000004,0.12,0.04,0.04,0.04,0.04
#menelas,0.3333333333333333,0.257142857142857,0.4000000000000001,0.20000000000000004,16.0,3.266666666666666,3.2000000000000006,0.8166666666666665,0.5,0.0,0.2666666666666667,3.2000000000000006,0.20000000000000004,3.2000000000000006,3.2000000000000006
#ulysse,0.8000000000000003,0.8400000000000001,0.24,0.12,3.2666666666666657,19.360000000000003,6.453333333333333,0.21777777777777782,0.533333333333333,0.2666666666666665,1.1377777777777778,0.12,6.453333333333333,6.453333333333333,6.453333333333333
#le-messager,0.2666666666666667,0.28,0.08,0.04,3.2000000000000006,6.453333333333333,23.04,0.48,0.4000000000000001,0.20000000000000004,0.12,0.04,0.04,0.04,0.04
#clytemnestre,0.6722222222222219,1.6576190476190478,0.96,0.48,0.816666666666667,0.21777777777777782,0.48,6.760000000000001,2.133333333333332,2.8166666666666655,0.21777777777777782,0.48,0.5633333333333335,0.5633333333333335,0.5633333333333335
#iphigenie,0.16666666666666666,2.8000000000000003,0.8000000000000002,0.4000000000000001,0.5,0.5333333333333334,0.4000000000000001,2.1333333333333337,9.0,0.5,2.7,0.4000000000000001,0.8999999999999999,0.8999999999999999,0.8999999999999999
#achille,1.3333333333333333,0.11428571428571435,0.4000000000000001,0.20000000000000004,0.0,0.2666666666666667,0.20000000000000004,2.816666666666667,0.5,16.0,0.2666666666666667,0.20000000000000004,0.20000000000000004,3.2000000000000006,3.2000000000000006
#ardelie,0.022222222222222265,0.8400000000000001,0.24,0.12,0.2666666666666665,1.1377777777777778,0.12,0.21777777777777782,2.699999999999999,0.2666666666666665,19.360000000000003,0.12,0.12,6.453333333333333,6.453333333333333
#calchas,0.2666666666666667,0.28,0.08,0.04,3.2000000000000006,0.12,0.04,0.48,0.4000000000000001,0.20000000000000004,0.12,23.04,0.04,0.04,0.04
#talthibie,0.2666666666666667,0.28,0.08,0.04,0.20000000000000004,6.453333333333333,0.04,0.5633333333333335,0.8999999999999999,0.20000000000000004,0.12,0.04,23.04,0.04,0.04
#calcas,0.2666666666666667,0.28,0.08,0.04,3.2000000000000006,6.453333333333333,0.04,0.5633333333333335,0.8999999999999999,3.2000000000000006,6.453333333333333,0.04,0.04,23.04,23.04
#calcas,0.2666666666666667,0.28,0.08,0.04,3.2000000000000006,6.453333333333333,0.04,0.5633333333333335,0.8999999999999999,3.2000000000000006,6.453333333333333,0.04,0.04,23.04,23.04
Successions,#agamemnon,#amyntas,#le-valet-de-chambre,#oronte,#menelas,#ulysse,#le-messager,#clytemnestre,#iphigenie,#achille,#ardelie,#calchas,#talthibie,#calcas,#diane
#agamemnon,0.024096385542168676,0.14457831325301204,0.03614457831325301,0.03614457831325301,0.1566265060240964,0.024096385542168676,0.012048192771084338,0.1566265060240964,0.2891566265060241,0.012048192771084338,0.024096385542168676,0.07228915662650602,0.0,0.012048192771084338,0.0
#amyntas,0.4074074074074074,0.0,0.07407407407407407,0.0,0.37037037037037035,0.0,0.0,0.07407407407407407,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0
#le-valet-de-chambre,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#oronte,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#menelas,0.5925925925925926,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.037037037037037035,0.0
#ulysse,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.07692307692307693,0.7692307692307693,0.0,0.0,0.0,0.0,0.0
#oronte,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#clytemnestre,0.3018867924528302,0.07547169811320754,0.0,0.0,0.0,0.0,0.0,0.0,0.22641509433962265,0.37735849056603776,0.018867924528301886,0.0,0.0,0.0,0.0
#iphigenie,0.44,0.0,0.0,0.0,0.0,0.02,0.0,0.28,0.0,0.22,0.04,0.0,0.0,0.0,0.0
#achille,0.021739130434782608,0.0,0.0,0.0,0.021739130434782608,0.21739130434782608,0.0,0.43478260869565216,0.2391304347826087,0.021739130434782608,0.0,0.0,0.021739130434782608,0.0,0.021739130434782608
#ardelie,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0
#calchas,0.7142857142857143,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#oronte,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#calcas,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
#diane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
