VALEUR,#dona-elvire,#elise,#don-alvar,#don-garcie,#don-lope,#don-sylve,#pedre,#dona-ignes
Fréquences (scènes),0.5862068965517241,0.41379310344827586,0.2413793103448276,0.4827586206896552,0.06896551724137931,0.1724137931034483,0.034482758620689655,0.20689655172413793
Fréquences(répliques),0.39429175475687106,0.08985200845665962,0.05179704016913319,0.3023255813953488,0.03805496828752643,0.09302325581395349,0.0015856236786469344,0.029069767441860465
Confrontation,0.2826086956521739,0.16304347826086957,0.08695652173913043,0.21739130434782608,0.021739130434782608,0.09782608695652174,0.010869565217391304,0.11956521739130435
Déviations,#dona-elvire,#elise,#don-alvar,#don-garcie,#don-lope,#don-sylve,#pedre,#dona-ignes
#dona-elvire,4.965517241379311,0.15212981744421902,0.2967255867864389,0.00521587945523041,1.1724137931034482,0.3898580121703851,0.5862068965517241,0.6250845165652469
#elise,0.15212981744421877,9.96551724137931,0.277504105090312,0.555008210180624,0.03591954022988506,2.0689655172413794,0.8304597701149428,0.8855363984674329
#don-alvar,0.2967255867864385,0.277504105090312,16.68965517241379,0.5629838142153414,0.48275862068965514,1.206896551724138,0.24137931034482757,0.138752052545156
#don-garcie,0.005215879455230322,0.555008210180624,0.5629838142153414,7.758620689655173,0.0012315270935960641,0.14236453201970448,0.48275862068965514,0.277504105090312
#don-lope,1.1724137931034482,0.03591954022988506,0.4827586206896552,0.001231527093596056,25.137931034482758,0.3448275862068966,0.06896551724137931,0.41379310344827586
#don-sylve,0.3898580121703855,2.0689655172413794,1.206896551724138,0.14236453201970448,0.3448275862068966,19.862068965517242,0.1724137931034483,0.9011494252873562
#pedre,0.5862068965517241,0.8304597701149428,0.2413793103448276,0.4827586206896552,0.06896551724137931,0.1724137931034483,27.034482758620694,0.20689655172413793
#dona-ignes,0.6250845165652473,0.8855363984674329,0.138752052545156,0.277504105090312,0.41379310344827586,0.9011494252873562,0.20689655172413793,18.24137931034483
Successions,#dona-elvire,#elise,#don-alvar,#don-garcie,#don-lope,#don-sylve,#pedre,#dona-ignes
#dona-elvire,0.0196078431372549,0.1568627450980392,0.049019607843137254,0.6666666666666666,0.00980392156862745,0.058823529411764705,0.0,0.0392156862745098
#elise,0.53125,0.03125,0.0625,0.1875,0.09375,0.0,0.0625,0.03125
#don-alvar,0.2631578947368421,0.21052631578947367,0.0,0.5263157894736842,0.0,0.0,0.0,0.0
#don-garcie,0.71875,0.052083333333333336,0.125,0.010416666666666666,0.041666666666666664,0.03125,0.0,0.020833333333333332
#don-lope,0.0,0.375,0.0,0.625,0.0,0.0,0.0,0.0
#don-sylve,0.45454545454545453,0.0,0.0,0.45454545454545453,0.0,0.0,0.0,0.09090909090909091
#pedre,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#dona-ignes,0.625,0.125,0.0,0.125,0.0,0.125,0.0,0.0
