VALEUR,#madame-pernelle,#elmire,#dorine,#damis,#mariane,#cleante,#orgon,#valere,#tartuffe,#loyal,#l-exempt
Fréquences (scènes),0.12903225806451613,0.45161290322580644,0.4838709677419355,0.3225806451612903,0.1935483870967742,0.45161290322580644,0.5806451612903226,0.06451612903225806,0.25806451612903225,0.03225806451612903,0.03225806451612903
Fréquences(répliques),0.05578800557880056,0.10925151092515109,0.1803812180381218,0.043235704323570434,0.06090190609019061,0.12831241283124128,0.18363551836355183,0.046490004649000466,0.1403998140399814,0.030218503021850304,0.021385402138540215
Confrontation,0.08029197080291971,0.1386861313868613,0.15328467153284672,0.11678832116788321,0.07664233576642336,0.15693430656934307,0.15693430656934307,0.014598540145985401,0.06204379562043796,0.014598540145985401,0.029197080291970802
Déviations,#madame-pernelle,#elmire,#dorine,#damis,#mariane,#cleante,#orgon,#valere,#tartuffe,#loyal,#l-exempt
#madame-pernelle,23.516129032258064,2.6635944700460827,2.202150537634408,2.265322580645161,1.9408602150537635,2.6635944700460827,0.19758064516129023,0.25806451612903225,0.0010080645161290305,0.12903225806451613,5.879032258064516
#elmire,2.6635944700460827,9.322580645161292,0.0884792626728111,0.4875576036866363,0.031105990783410177,0.016458196181698456,0.0020481310803891414,0.9032258064516129,0.041474654377880206,0.45161290322580644,0.6658986175115207
#dorine,2.202150537634408,0.0884792626728111,8.258064516129034,0.27870967741935476,1.514336917562724,0.7313364055299538,0.335603345280765,0.0010752688172042991,0.9043010752688172,0.550537634408602,0.550537634408602
#damis,2.265322580645161,0.4875576036866363,0.27870967741935476,14.225806451612906,0.0021505376344085982,0.4875576036866363,0.11200716845878142,0.6451612903225806,0.13064516129032255,1.4225806451612906,1.4225806451612906
#mariane,1.9408602150537635,0.031105990783410177,1.514336917562724,0.0021505376344085982,20.16129032258065,0.031105990783410177,0.06720430107526894,0.9704301075268817,0.19422043010752688,0.1935483870967742,3.3602150537634405
#cleante,2.6635944700460827,0.016458196181698456,0.7313364055299538,0.4875576036866363,0.031105990783410177,9.322580645161292,0.43061955965181775,0.010368663594470051,0.7200460829493086,0.6658986175115207,0.6658986175115207
#orgon,0.1975806451612905,0.0020481310803891414,0.335603345280765,0.11200716845878142,0.06720430107526883,0.43061955965181775,5.451612903225804,0.022401433691756237,0.08960573476702495,0.30286738351254494,0.30286738351254494
#valere,0.25806451612903225,0.9032258064516129,0.0010752688172042991,0.6451612903225806,0.9704301075268817,0.010368663594470051,0.022401433691756293,27.12903225806452,0.5161290322580645,0.06451612903225806,0.06451612903225806
#tartuffe,0.0010080645161290305,0.041474654377880206,0.9043010752688172,0.13064516129032255,0.19422043010752688,0.7200460829493086,0.08960573476702517,0.5161290322580645,17.06451612903226,0.25806451612903225,2.1330645161290325
#loyal,0.12903225806451613,0.45161290322580644,0.550537634408602,1.4225806451612906,0.1935483870967742,0.6658986175115207,0.3028673835125447,0.06451612903225806,0.25806451612903225,29.03225806451613,0.03225806451612903
#l-exempt,5.879032258064516,0.6658986175115207,0.550537634408602,1.4225806451612906,3.3602150537634405,0.6658986175115207,0.3028673835125447,0.06451612903225806,2.1330645161290325,0.03225806451612903,29.03225806451613
Successions,#madame-pernelle,#elmire,#dorine,#damis,#mariane,#cleante,#orgon,#valere,#tartuffe,#loyal,#l-exempt
#madame-pernelle,0.0,0.10344827586206896,0.3448275862068966,0.06896551724137931,0.034482758620689655,0.06896551724137931,0.3793103448275862,0.0,0.0,0.0,0.0
#elmire,0.06666666666666667,0.016666666666666666,0.03333333333333333,0.06666666666666667,0.0,0.03333333333333333,0.2833333333333333,0.0,0.5,0.0,0.0
#dorine,0.05172413793103448,0.017241379310344827,0.0,0.07758620689655173,0.2672413793103448,0.034482758620689655,0.3620689655172414,0.08620689655172414,0.0603448275862069,0.034482758620689655,0.008620689655172414
#damis,0.13333333333333333,0.1,0.16666666666666666,0.03333333333333333,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.06666666666666667,0.0
#mariane,0.012987012987012988,0.012987012987012988,0.37662337662337664,0.0,0.0,0.0,0.18181818181818182,0.4025974025974026,0.012987012987012988,0.0,0.0
#cleante,0.06,0.04,0.1,0.02,0.0,0.0,0.64,0.02,0.1,0.02,0.0
#orgon,0.07692307692307693,0.11538461538461539,0.26282051282051283,0.0641025641025641,0.09615384615384616,0.1858974358974359,0.019230769230769232,0.00641025641025641,0.12179487179487179,0.05128205128205128,0.0
#valere,0.0,0.023255813953488372,0.27906976744186046,0.0,0.6744186046511628,0.0,0.023255813953488372,0.0,0.0,0.0,0.0
#tartuffe,0.0,0.4461538461538462,0.12307692307692308,0.015384615384615385,0.015384615384615385,0.09230769230769231,0.27692307692307694,0.0,0.0,0.0,0.03076923076923077
#loyal,0.0,0.0,0.26666666666666666,0.13333333333333333,0.0,0.13333333333333333,0.4666666666666667,0.0,0.0,0.0,0.0
#l-exempt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
