VALEUR,#acante,#tyrene,#daphne,#eroxene,#nicandre,#lycarsis,#mopse,#myrtil,#melicerte,#corinne
Fréquences (scènes),0.25,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.4166666666666667,0.08333333333333333,0.5,0.3333333333333333,0.08333333333333333
Fréquences(répliques),0.027156549520766772,0.025559105431309903,0.12460063897763578,0.11661341853035144,0.027156549520766772,0.23003194888178913,0.01757188498402556,0.26996805111821087,0.14536741214057508,0.01597444089456869
Confrontation,0.11290322580645161,0.08064516129032258,0.14516129032258066,0.14516129032258066,0.06451612903225806,0.16129032258064516,0.03225806451612903,0.1774193548387097,0.06451612903225806,0.016129032258064516
Déviations,#acante,#tyrene,#daphne,#eroxene,#nicandre,#lycarsis,#mopse,#myrtil,#melicerte,#corinne
#acante,6.75,4.5,0.0,0.0,0.5,1.25,0.25,0.16666666666666666,1.0,0.25
#tyrene,4.5,8.333333333333336,0.1666666666666667,0.1666666666666667,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.0,0.6666666666666666,0.16666666666666666
#daphne,0.0,0.1666666666666667,5.333333333333335,5.333333333333335,0.6666666666666666,0.06666666666666664,0.3333333333333333,0.5,1.3333333333333333,0.3333333333333333
#daphne,0.0,0.1666666666666667,5.333333333333335,5.333333333333335,0.6666666666666666,0.06666666666666664,0.3333333333333333,0.5,1.3333333333333333,0.3333333333333333
#nicandre,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,8.333333333333336,0.03333333333333332,4.166666666666668,0.0,0.6666666666666666,0.16666666666666666
#lycarsis,1.25,0.8333333333333333,0.06666666666666674,0.06666666666666674,0.03333333333333337,4.083333333333332,0.8166666666666669,0.1,0.26666666666666655,0.41666666666666663
#mopse,0.25,0.16666666666666666,0.3333333333333333,0.3333333333333333,4.166666666666668,0.8166666666666664,10.083333333333332,0.5,0.3333333333333333,0.08333333333333333
#myrtil,0.16666666666666666,0.0,0.5,0.5,0.0,0.1,0.5,3.0,0.0,0.5
#melicerte,1.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.2666666666666667,0.3333333333333333,0.0,5.333333333333335,1.3333333333333337
#corinne,0.25,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.4166666666666667,0.08333333333333333,0.5,1.3333333333333337,10.083333333333332
Successions,#acante,#tyrene,#daphne,#eroxene,#nicandre,#lycarsis,#mopse,#myrtil,#melicerte,#corinne
#acante,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0
#tyrene,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#daphne,0.0,0.0975609756097561,0.0,0.6341463414634146,0.0,0.2682926829268293,0.0,0.0,0.0,0.0
#eroxene,0.0,0.024390243902439025,0.7560975609756098,0.0,0.0,0.14634146341463414,0.0,0.07317073170731707,0.0,0.0
#nicandre,0.0,0.1,0.1,0.0,0.0,0.4,0.1,0.3,0.0,0.0
#lycarsis,0.0,0.0,0.1,0.2,0.1,0.0,0.12,0.46,0.02,0.0
#mopse,0.0,0.0,0.0,0.0,0.14285714285714285,0.8571428571428571,0.0,0.0,0.0,0.0
#myrtil,0.0,0.04878048780487805,0.0975609756097561,0.024390243902439025,0.0975609756097561,0.5121951219512195,0.0,0.0,0.21951219512195122,0.0
#melicerte,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.42105263157894735,0.05263157894736842,0.42105263157894735
#corinne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
