VALEUR,#antoine,#cesar,#dolabella,#cimber,#cassius,#brutus,#decime,#conjures,#romains,#romain
Fréquences (scènes),0.35294117647058826,0.4117647058823529,0.23529411764705882,0.23529411764705882,0.35294117647058826,0.5294117647058824,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.058823529411764705
Fréquences(répliques),0.17346938775510204,0.30612244897959184,0.0287569573283859,0.0686456400742115,0.14192949907235622,0.24304267161410018,0.015769944341372914,0.0009276437847866419,0.008348794063079777,0.012987012987012988
Confrontation,0.13095238095238096,0.13095238095238096,0.07142857142857142,0.14285714285714285,0.17857142857142858,0.16666666666666666,0.09523809523809523,0.011904761904761904,0.047619047619047616,0.023809523809523808
Déviations,#antoine,#cesar,#dolabella,#cimber,#cassius,#brutus,#decime,#conjures,#romains,#romain
#antoine,7.117647058823529,0.9467787114845937,0.12009803921568622,0.12009803921568622,0.5898692810457516,0.4357298474945535,1.0588235294117647,0.3529411764705882,0.1225490196078432,1.1862745098039218
#cesar,0.9467787114845937,5.882352941176469,0.07563025210084037,0.2542016806722689,0.8753501400560225,0.1344537815126051,1.2352941176470589,0.4117647058823529,0.8235294117647058,0.4117647058823529
#dolabella,0.12009803921568632,0.07563025210084037,9.941176470588236,0.9411764705882353,0.12009803921568632,2.1176470588235294,0.7058823529411765,2.485294117647059,0.5955882352941178,0.23529411764705882
#cimber,0.12009803921568632,0.2542016806722689,0.9411764705882353,9.941176470588236,4.745098039215685,0.3676470588235294,7.455882352941176,0.23529411764705882,0.47058823529411764,0.23529411764705882
#cassius,0.5898692810457516,0.8753501400560225,0.12009803921568622,4.745098039215687,7.117647058823529,0.21350762527233103,3.5588235294117645,0.3529411764705882,0.1225490196078432,0.3529411764705882
#brutus,0.4357298474945535,0.13445378151260495,2.1176470588235294,0.3676470588235294,0.21350762527233103,3.7647058823529416,0.10675381263616551,0.5294117647058824,1.0588235294117647,0.5294117647058824
#decime,1.0588235294117647,1.2352941176470589,0.7058823529411764,7.455882352941177,3.5588235294117645,0.10675381263616551,11.529411764705882,0.1764705882352941,0.3529411764705882,0.1764705882352941
#conjures,0.35294117647058826,0.4117647058823529,2.485294117647059,0.23529411764705882,0.35294117647058826,0.5294117647058824,0.17647058823529413,15.058823529411764,0.11764705882352941,0.058823529411764705
#romains,0.1225490196078431,0.8235294117647058,0.5955882352941178,0.47058823529411764,0.1225490196078431,1.0588235294117647,0.35294117647058826,0.11764705882352941,13.235294117647058,6.617647058823529
#romain,1.1862745098039214,0.4117647058823529,0.23529411764705882,0.23529411764705882,0.35294117647058826,0.5294117647058824,0.17647058823529413,0.058823529411764705,6.617647058823529,15.058823529411764
Successions,#antoine,#cesar,#dolabella,#cimber,#cassius,#brutus,#decime,#conjures,#romains,#romain
#antoine,0.0,0.6206896551724138,0.0,0.0,0.0,0.06896551724137931,0.0,0.0,0.10344827586206896,0.20689655172413793
#cesar,0.32142857142857145,0.0,0.125,0.017857142857142856,0.0,0.5357142857142857,0.0,0.0,0.0,0.0
#dolabella,0.09090909090909091,0.6363636363636364,0.0,0.0,0.18181818181818182,0.0,0.0,0.09090909090909091,0.0,0.0
#cimber,0.0,0.2,0.0,0.0,0.2,0.4,0.2,0.0,0.0,0.0
#cassius,0.0,0.0,0.1111111111111111,0.14814814814814814,0.037037037037037035,0.5555555555555556,0.07407407407407407,0.0,0.07407407407407407,0.0
#brutus,0.038461538461538464,0.5576923076923077,0.0,0.057692307692307696,0.3076923076923077,0.0,0.038461538461538464,0.0,0.0,0.0
#decime,0.0,0.0,0.0,0.3333333333333333,0.5,0.16666666666666666,0.0,0.0,0.0,0.0
#conjures,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#romains,0.42857142857142855,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.14285714285714285,0.0
#romain,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4
