VALEUR,#le-genie-universel,#premier-français,#second-français,#troisieme-français,#quatrieme-français,#la-nation-huronne,#la-nation-algonquine,#le-premier-etranger,#le-genie-des-forets,#le-second-etranger,#le-genie-interprete,#le-premier-captif-huron,#captif-de-la-nation-des-nez-perces
Fréquences (scènes),0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
Fréquences(répliques),0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.09523809523809523,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523
Déviations,#le-genie-universel,#premier-français,#second-français,#troisieme-français,#quatrieme-français,#la-nation-huronne,#la-nation-algonquine,#le-premier-etranger,#le-genie-des-forets,#le-second-etranger,#le-genie-interprete,#le-premier-captif-huron,#captif-de-la-nation-des-nez-perces
#le-genie-universel,0.3333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.1666666666666667,0.1666666666666667,0.1666666666666667,0.1666666666666667,0.1666666666666667,0.1666666666666667,0.1666666666666667,0.1666666666666667
#premier-français,0.6666666666666666,1.3333333333333337,1.3333333333333337,1.3333333333333337,1.3333333333333337,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
#premier-français,0.6666666666666666,1.3333333333333337,1.3333333333333337,1.3333333333333337,1.3333333333333337,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
#premier-français,0.6666666666666666,1.3333333333333337,1.3333333333333337,1.3333333333333337,1.3333333333333337,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
#premier-français,0.6666666666666666,1.3333333333333337,1.3333333333333337,1.3333333333333337,1.3333333333333337,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
#la-nation-huronne,0.1666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333337,1.3333333333333337,1.3333333333333337,1.3333333333333337,1.3333333333333337,1.3333333333333337,1.3333333333333337,1.3333333333333337
#la-nation-huronne,0.1666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333337,1.3333333333333337,1.3333333333333337,1.3333333333333337,1.3333333333333337,1.3333333333333337,1.3333333333333337,1.3333333333333337
#la-nation-huronne,0.1666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333337,1.3333333333333337,1.3333333333333337,1.3333333333333337,1.3333333333333337,1.3333333333333337,1.3333333333333337,1.3333333333333337
#la-nation-huronne,0.1666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333337,1.3333333333333337,1.3333333333333337,1.3333333333333337,1.3333333333333337,1.3333333333333337,1.3333333333333337,1.3333333333333337
