VALEUR,#mathurin,#le-baillif,#colette,#acante,#dignant,#berthe,#champagne,#le-chevalier,#le-marquis,#le-domestique,#dormene
Fréquences (scènes),0.3888888888888889,0.19444444444444445,0.3888888888888889,0.4444444444444444,0.2222222222222222,0.16666666666666666,0.05555555555555555,0.25,0.4444444444444444,0.08333333333333333,0.16666666666666666
Fréquences(répliques),0.11725067385444744,0.08445642407906559,0.12398921832884097,0.16082659478885894,0.04043126684636118,0.02830188679245283,0.022461814914645103,0.1262353998203055,0.24707996406109614,0.0026954177897574125,0.046271338724168914
Confrontation,0.15185185185185185,0.07407407407407407,0.13333333333333333,0.16666666666666666,0.10740740740740741,0.1,0.022222222222222223,0.07407407407407407,0.10740740740740741,0.025925925925925925,0.037037037037037035
Déviations,#mathurin,#le-baillif,#colette,#acante,#dignant,#berthe,#champagne,#le-chevalier,#le-marquis,#le-domestique,#dormene
#mathurin,13.444444444444445,3.946712018140589,0.4444444444444443,0.5079365079365085,2.6825396825396832,5.761904761904764,0.06349206349206356,1.7857142857142858,0.7936507936507932,0.02380952380952377,0.7619047619047616
#le-baillif,3.946712018140589,23.361111111111114,0.028344671201814036,0.25396825396825423,0.1984126984126983,0.5952380952380955,0.3888888888888888,0.32142857142857145,0.3968253968253966,0.2976190476190477,1.1666666666666665
#colette,0.4444444444444443,0.028344671201814036,13.444444444444445,2.293650793650795,1.1468253968253974,3.047619047619049,0.06349206349206356,0.07142857142857142,2.8650793650793647,1.1666666666666665,2.333333333333333
#acante,0.5079365079365079,0.25396825396825395,2.2936507936507935,11.111111111111112,1.6805555555555558,2.0416666666666674,0.013888888888888902,0.0,1.3611111111111107,0.0833333333333333,0.1666666666666666
#dignant,2.6825396825396823,0.19841269841269843,1.1468253968253967,1.6805555555555558,21.77777777777778,10.083333333333336,0.6944444444444445,0.5,0.6805555555555554,0.1666666666666667,0.0833333333333333
#berthe,5.761904761904761,0.5952380952380951,3.0476190476190474,2.0416666666666674,10.083333333333336,25.0,1.3333333333333337,0.16666666666666666,0.1666666666666666,0.5,1.0
#champagne,0.06349206349206349,0.3888888888888889,0.06349206349206349,0.013888888888888902,0.6944444444444445,1.3333333333333337,32.111111111111114,0.5,0.8888888888888888,0.16666666666666666,0.3333333333333333
#le-chevalier,1.7857142857142858,0.32142857142857145,0.07142857142857142,0.0,0.5,0.16666666666666666,0.5,20.25,1.0,0.75,0.16666666666666666
#le-marquis,0.7936507936507937,0.39682539682539686,2.865079365079365,1.3611111111111107,0.6805555555555554,0.1666666666666666,0.8888888888888888,1.0,11.111111111111112,2.083333333333334,0.6666666666666669
#le-domestique,0.02380952380952383,0.29761904761904756,1.1666666666666667,0.0833333333333333,0.1666666666666667,0.5,0.16666666666666666,0.75,2.083333333333334,30.25,0.5
#dormene,0.761904761904762,1.1666666666666667,2.3333333333333335,0.1666666666666666,0.0833333333333333,1.0,0.3333333333333333,0.16666666666666666,0.6666666666666669,0.5,25.0
Successions,#mathurin,#le-baillif,#colette,#acante,#dignant,#berthe,#champagne,#le-chevalier,#le-marquis,#le-domestique,#dormene
#mathurin,0.02531645569620253,0.4430379746835443,0.189873417721519,0.0759493670886076,0.02531645569620253,0.06329113924050633,0.0,0.012658227848101266,0.1518987341772152,0.0,0.012658227848101266
#le-baillif,0.5666666666666667,0.0,0.31666666666666665,0.05,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0
#colette,0.15841584158415842,0.21782178217821782,0.009900990099009901,0.46534653465346537,0.009900990099009901,0.0297029702970297,0.019801980198019802,0.019801980198019802,0.06930693069306931,0.0,0.0
#acante,0.050505050505050504,0.010101010101010102,0.47474747474747475,0.0,0.06060606060606061,0.030303030303030304,0.010101010101010102,0.1111111111111111,0.20202020202020202,0.0,0.050505050505050504
#dignant,0.17857142857142858,0.0,0.03571428571428571,0.17857142857142858,0.0,0.10714285714285714,0.07142857142857142,0.0,0.42857142857142855,0.0,0.0
#berthe,0.29411764705882354,0.0,0.29411764705882354,0.058823529411764705,0.23529411764705882,0.0,0.0,0.0,0.11764705882352941,0.0,0.0
#champagne,0.0,0.0,0.1875,0.0625,0.125,0.0,0.0625,0.5625,0.0,0.0,0.0
#le-chevalier,0.0,0.014285714285714285,0.05714285714285714,0.15714285714285714,0.0,0.0,0.14285714285714285,0.0,0.6,0.0,0.02857142857142857
#le-marquis,0.09558823529411764,0.007352941176470588,0.04411764705882353,0.16176470588235295,0.08088235294117647,0.022058823529411766,0.0,0.3161764705882353,0.051470588235294115,0.029411764705882353,0.19117647058823528
#le-domestique,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.75,0.0,0.0
#dormene,0.0,0.0,0.0,0.08823529411764706,0.029411764705882353,0.0,0.0,0.08823529411764706,0.7941176470588235,0.0,0.0
