VALEUR,#damon,#theante,#florame,#amarante,#daphnis,#celie,#geraste,#clarimond,#cleon,#polemon
Fréquences (scènes),0.0851063829787234,0.2127659574468085,0.3829787234042553,0.40425531914893614,0.3404255319148936,0.10638297872340426,0.19148936170212766,0.06382978723404255,0.02127659574468085,0.02127659574468085
Fréquences(répliques),0.07085714285714285,0.16285714285714287,0.22057142857142858,0.18685714285714286,0.19142857142857142,0.03485714285714286,0.09942857142857142,0.029142857142857144,0.0005714285714285715,0.0034285714285714284
Confrontation,0.05102040816326531,0.11224489795918367,0.22448979591836735,0.1836734693877551,0.1836734693877551,0.08163265306122448,0.11224489795918367,0.02040816326530612,0.02040816326530612,0.01020408163265306
Déviations,#damon,#theante,#florame,#amarante,#daphnis,#celie,#geraste,#clarimond,#cleon,#polemon
#damon,39.340425531914896,5.426063829787235,0.18469267139479903,1.6170212765957446,1.3617021276595744,0.42553191489361697,0.7659574468085105,0.2553191489361702,9.835106382978724,0.0851063829787234
#theante,5.426063829787235,29.127659574468083,0.0075650118203309915,1.0320268756998876,0.5792553191489362,1.0638297872340425,1.9148936170212765,0.6382978723404255,0.21276595744680848,0.21276595744680848
#florame,0.18469267139479903,0.0075650118203309516,17.893617021276597,0.22396416573348255,0.002659574468085105,0.6148936170212764,1.7369319674284214,1.1489361702127658,0.9940898345153664,0.38297872340425526
#amarante,1.6170212765957446,1.0320268756998883,0.22396416573348255,16.68085106382979,0.33321668533034693,0.5160134378499441,0.11198208286674127,0.037327360955580396,0.40425531914893614,0.40425531914893614
#daphnis,1.3617021276595744,0.5792553191489362,0.002659574468085105,0.33321668533034693,20.446808510638295,0.2896276595744681,0.0013297872340425525,0.0004432624113475144,0.3404255319148936,0.3404255319148936
#celie,0.42553191489361697,1.0638297872340425,0.6148936170212768,0.5160134378499438,0.2896276595744681,37.53191489361703,4.35744680851064,0.3191489361702127,0.10638297872340424,0.10638297872340424
#geraste,0.7659574468085105,1.914893617021277,1.7369319674284214,0.11198208286674127,0.0013297872340425525,4.3574468085106375,30.72340425531915,0.5744680851063829,0.19148936170212763,3.4137115839243504
#clarimond,0.2553191489361702,0.6382978723404255,1.1489361702127658,0.03732736095558032,0.0004432624113475144,0.3191489361702127,0.5744680851063829,41.19148936170214,0.06382978723404255,0.06382978723404255
#cleon,9.835106382978724,0.21276595744680848,0.9940898345153664,0.40425531914893614,0.3404255319148936,0.10638297872340424,0.19148936170212763,0.06382978723404255,45.02127659574468,0.02127659574468085
#polemon,0.0851063829787234,0.21276595744680848,0.38297872340425526,0.40425531914893614,0.3404255319148936,0.10638297872340424,3.4137115839243504,0.06382978723404255,0.02127659574468085,45.02127659574468
Successions,#damon,#theante,#florame,#amarante,#daphnis,#celie,#geraste,#clarimond,#cleon,#polemon
#damon,0.0,0.7647058823529411,0.20588235294117646,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0
#theante,0.4126984126984127,0.047619047619047616,0.2857142857142857,0.12698412698412698,0.1111111111111111,0.015873015873015872,0.0,0.0,0.0,0.0
#florame,0.10126582278481013,0.25316455696202533,0.0379746835443038,0.17721518987341772,0.3037974683544304,0.06329113924050633,0.06329113924050633,0.0,0.0,0.0
#amarante,0.0,0.140625,0.234375,0.015625,0.265625,0.0,0.21875,0.125,0.0,0.0
#daphnis,0.0,0.06172839506172839,0.2962962962962963,0.2222222222222222,0.04938271604938271,0.0,0.12345679012345678,0.24691358024691357,0.0,0.0
#celie,0.0,0.0,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.5333333333333333,0.0,0.0,0.0
#geraste,0.0,0.0,0.14634146341463414,0.3170731707317073,0.1951219512195122,0.21951219512195122,0.04878048780487805,0.0,0.0,0.07317073170731707
#clarimond,0.0,0.0,0.03571428571428571,0.25,0.7142857142857143,0.0,0.0,0.0,0.0,0.0
#cleon,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#polemon,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
