VALEUR,#argelie,#clytie,#timagene,#phoenix,#ismene,#dione,#arcas,#cleon
Fréquences (scènes),0.41379310344827586,0.13793103448275862,0.20689655172413793,0.3793103448275862,0.6551724137931034,0.1724137931034483,0.20689655172413793,0.06896551724137931
Fréquences(répliques),0.2489384288747346,0.029723991507430998,0.09819532908704884,0.19798301486199577,0.3089171974522293,0.02176220806794055,0.056794055201698515,0.03768577494692144
Confrontation,0.14583333333333334,0.07291666666666667,0.11458333333333333,0.19791666666666666,0.2916666666666667,0.0625,0.09375,0.020833333333333332
Déviations,#argelie,#clytie,#timagene,#phoenix,#ismene,#dione,#arcas,#cleon
#argelie,9.96551724137931,0.2593390804597701,0.09386973180076631,0.5289968652037614,1.8971566848154868,2.0689655172413794,0.9272030651340994,0.8275862068965517
#clytie,0.2593390804597701,21.551724137931032,0.03591954022988506,0.15360501567398124,0.14700544464609797,0.13965517241379305,0.8275862068965517,0.27586206896551724
#timagene,0.09386973180076631,0.03591954022988506,18.24137931034483,1.3061650992685483,0.0012099213551119226,1.0344827586206897,1.2413793103448276,0.41379310344827586
#phoenix,0.5289968652037619,0.15360501567398124,1.3061650992685472,11.172413793103448,0.08727932684375517,1.896551724137931,0.7152560083594568,0.07680250783699062
#ismene,1.8971566848154868,0.14700544464609797,0.0012099213551119226,0.08727932684375517,3.448275862068967,0.9074410163339381,0.0012099213551119226,0.07350272232304898
#dione,2.0689655172413794,0.13965517241379305,1.0344827586206897,1.896551724137931,0.9074410163339388,19.862068965517242,1.0344827586206897,0.3448275862068966
#arcas,0.9272030651340994,0.8275862068965517,1.2413793103448276,0.7152560083594564,0.0012099213551119226,1.0344827586206897,18.24137931034483,0.41379310344827586
#cleon,0.8275862068965517,0.27586206896551724,0.41379310344827586,0.07680250783699062,0.07350272232304898,0.3448275862068966,0.41379310344827586,25.137931034482758
Successions,#argelie,#clytie,#timagene,#phoenix,#ismene,#dione,#arcas,#cleon
#argelie,0.16,0.12,0.16,0.1,0.3,0.0,0.16,0.0
#clytie,0.38461538461538464,0.0,0.0,0.15384615384615385,0.46153846153846156,0.0,0.0,0.0
#timagene,0.32142857142857145,0.0,0.0,0.14285714285714285,0.5357142857142857,0.0,0.0,0.0
#phoenix,0.10526315789473684,0.02631578947368421,0.13157894736842105,0.02631578947368421,0.5526315789473685,0.0,0.02631578947368421,0.13157894736842105
#ismene,0.2,0.07058823529411765,0.17647058823529413,0.23529411764705882,0.023529411764705882,0.1411764705882353,0.11764705882352941,0.03529411764705882
#dione,0.0,0.0,0.0,0.08333333333333333,0.9166666666666666,0.0,0.0,0.0
#arcas,0.42105263157894735,0.0,0.0,0.0,0.5789473684210527,0.0,0.0,0.0
#cleon,0.0,0.0,0.0,0.625,0.375,0.0,0.0,0.0
