VALEUR,#granger,#chasteaufort,#paquier,#charlot,#fleury,#un-cuistre,#corbineli,#gareau,#manon,#genevote,#granger-le-jeune,#la-tremblaye,#corbinelli,#granger-le-pere
#granger,0.02,0.06,0.22666666666666666,0.07333333333333333,0.02666666666666667,0.0,0.26666666666666666,0.1,0.02666666666666667,0.14,0.013333333333333334,0.04,0.006666666666666667,0.0
#chasteaufort,0.26,0.0,0.24,0.0,0.0,0.0,0.04,0.38,0.0,0.02,0.0,0.06,0.0,0.0
#paquier,0.3684210526315789,0.14736842105263157,0.010526315789473684,0.08421052631578947,0.0,0.0,0.1368421052631579,0.0,0.0,0.1368421052631579,0.09473684210526316,0.021052631578947368,0.0,0.0
#charlot,0.52,0.0,0.32,0.0,0.04,0.04,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#fleury,0.3333333333333333,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
#un-cuistre,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#corbineli,0.5692307692307692,0.0,0.2,0.03076923076923077,0.0,0.0,0.015384615384615385,0.015384615384615385,0.0,0.06153846153846154,0.03076923076923077,0.03076923076923077,0.0,0.046153846153846156
#gareau,0.34285714285714286,0.5428571428571428,0.02857142857142857,0.0,0.02857142857142857,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.02857142857142857,0.0,0.0
#manon,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0
#genevote,0.574468085106383,0.0,0.2765957446808511,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.1276595744680851,0.0,0.0,0.0
#granger-le-jeune,0.09523809523809523,0.047619047619047616,0.3333333333333333,0.0,0.0,0.0,0.19047619047619047,0.0,0.0,0.2857142857142857,0.0,0.047619047619047616,0.0,0.0
#la-tremblaye,0.17647058823529413,0.29411764705882354,0.29411764705882354,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0
#corbinelli,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#granger-le-pere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
