VALEUR,#oronte,#merlin,#monsieur-michaut,#madame-guillemot,#jasmin,#lisette,#longuemain,#monsieur-de-boisluisant,#cecile,#boniface,#claire,#monsieur-de-la-motte,#du-mesnil,#madame-de-calville,#oriane,#elise,#oriane #elise,#la-rissole,#le-marquis,#monsieur-brigandeau,#monsieur-sangsue,#beaugenie
Fréquences (scènes),0.96875,0.34375,0.03125,0.03125,0.03125,0.21875,0.03125,0.3125,0.28125,0.03125,0.125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.0625,0.03125,0.03125
Fréquences(répliques),0.2596253902185224,0.06867845993756504,0.036420395421436005,0.033818938605619145,0.003121748178980229,0.060353798126951096,0.049427679500520294,0.03954214360041623,0.021852237252861603,0.044745057232049947,0.036420395421436005,0.06347554630593132,0.041103017689906346,0.02029136316337149,0.03485952133194589,0.030176899063475548,0.001040582726326743,0.03225806451612903,0.031217481789802288,0.026534859521331947,0.026534859521331947,0.03850156087408949
Confrontation,0.29473684210526313,0.08947368421052632,0.005263157894736842,0.010526315789473684,0.010526315789473684,0.10526315789473684,0.005263157894736842,0.12631578947368421,0.1368421052631579,0.015789473684210527,0.05263157894736842,0.015789473684210527,0.005263157894736842,0.005263157894736842,0.015789473684210527,0.015789473684210527,0.015789473684210527,0.005263157894736842,0.010526315789473684,0.021052631578947368,0.015789473684210527,0.021052631578947368
Déviations,#oronte,#merlin,#monsieur-michaut,#madame-guillemot,#jasmin,#lisette,#longuemain,#monsieur-de-boisluisant,#cecile,#boniface,#claire,#monsieur-de-la-motte,#du-mesnil,#madame-de-calville,#oriane,#elise,#oriane #elise,#la-rissole,#le-marquis,#monsieur-brigandeau,#monsieur-sangsue,#beaugenie
#oronte,0.03125,0.04041422287390029,0.0010080645161290322,0.0010080645161290322,0.0010080645161290322,0.007056451612903226,0.0010080645161290322,0.010080645161290322,0.009072580645161291,0.0010080645161290322,0.004032258064516129,0.0010080645161290322,0.0010080645161290322,0.0010080645161290322,0.0010080645161290322,0.0010080645161290322,0.0010080645161290322,0.96875,0.0010080645161290322,0.0020161290322580645,0.0010080645161290322,0.0010080645161290322
#merlin,0.04041422287390029,13.78125,0.34375,0.34375,0.34375,0.06858766233766234,0.34375,0.05568181818181818,1.4169823232323233,0.34375,1.375,0.34375,0.34375,0.34375,0.34375,0.34375,0.34375,1.2528409090909092,0.34375,0.6875,0.34375,0.34375
#monsieur-michaut,0.0010080645161290322,0.34375,30.03125,0.03125,0.03125,0.21875,0.03125,0.3125,0.28125,0.03125,0.125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.0625,0.03125,0.03125
#madame-guillemot,0.0010080645161290322,0.34375,0.03125,30.03125,30.03125,0.21875,0.03125,0.3125,0.28125,0.03125,0.125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.0625,0.03125,0.03125
#madame-guillemot,0.0010080645161290322,0.34375,0.03125,30.03125,30.03125,0.21875,0.03125,0.3125,0.28125,0.03125,0.125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.0625,0.03125,0.03125
#lisette,0.007056451612903226,0.06858766233766234,0.21875,0.21875,0.21875,19.53125,0.21875,0.30178571428571427,4.667162698412699,0.21875,1.4464285714285714,0.21875,0.21875,0.21875,0.21875,0.21875,0.21875,0.21875,0.21875,0.4375,0.21875,2.7901785714285716
#longuemain,0.0010080645161290322,0.34375,0.03125,0.03125,0.03125,0.21875,30.03125,0.3125,0.28125,0.03125,0.125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.0625,0.03125,0.03125
#monsieur-de-boisluisant,0.010080645161290322,0.05568181818181818,0.3125,0.3125,0.3125,0.30178571428571427,0.3125,15.125,0.5013888888888889,1.5125,1.25,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.225,1.5125,1.5125
#cecile,0.009072580645161291,1.4169823232323233,0.28125,0.28125,0.28125,4.667162698412699,0.28125,0.5013888888888889,16.53125,1.8368055555555556,3.125,1.8368055555555556,0.28125,0.28125,0.28125,0.28125,0.28125,0.28125,1.8368055555555556,0.5625,0.28125,1.8368055555555556
#boniface,0.0010080645161290322,0.34375,0.03125,0.03125,0.03125,0.21875,0.03125,1.5125,1.8368055555555556,30.03125,0.125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.0625,0.03125,0.03125
#claire,0.004032258064516129,1.375,0.125,0.125,0.125,1.4464285714285714,0.125,1.25,3.125,0.125,24.5,6.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.25,0.125,0.125
#monsieur-de-la-motte,0.0010080645161290322,0.34375,0.03125,0.03125,0.03125,0.21875,0.03125,0.3125,1.8368055555555556,0.03125,6.125,30.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.0625,0.03125,0.03125
#du-mesnil,0.0010080645161290322,0.34375,0.03125,0.03125,0.03125,0.21875,0.03125,0.3125,0.28125,0.03125,0.125,0.03125,30.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.0625,0.03125,0.03125
#madame-de-calville,0.0010080645161290322,0.34375,0.03125,0.03125,0.03125,0.21875,0.03125,0.3125,0.28125,0.03125,0.125,0.03125,0.03125,30.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.0625,0.03125,0.03125
#oriane,0.0010080645161290322,0.34375,0.03125,0.03125,0.03125,0.21875,0.03125,0.3125,0.28125,0.03125,0.125,0.03125,0.03125,0.03125,30.03125,30.03125,30.03125,0.03125,0.03125,0.0625,0.03125,0.03125
#oriane,0.0010080645161290322,0.34375,0.03125,0.03125,0.03125,0.21875,0.03125,0.3125,0.28125,0.03125,0.125,0.03125,0.03125,0.03125,30.03125,30.03125,30.03125,0.03125,0.03125,0.0625,0.03125,0.03125
#oriane,0.0010080645161290322,0.34375,0.03125,0.03125,0.03125,0.21875,0.03125,0.3125,0.28125,0.03125,0.125,0.03125,0.03125,0.03125,30.03125,30.03125,30.03125,0.03125,0.03125,0.0625,0.03125,0.03125
#la-rissole,0.96875,1.2528409090909092,0.03125,0.03125,0.03125,0.21875,0.03125,0.3125,0.28125,0.03125,0.125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,30.03125,0.03125,0.0625,0.03125,0.03125
#le-marquis,0.0010080645161290322,0.34375,0.03125,0.03125,0.03125,0.21875,0.03125,0.3125,1.8368055555555556,0.03125,0.125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,30.03125,0.0625,0.03125,0.03125
#monsieur-brigandeau,0.0020161290322580645,0.6875,0.0625,0.0625,0.0625,0.4375,0.0625,0.225,0.5625,0.0625,0.25,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,28.125,14.0625,0.0625
#monsieur-sangsue,0.0010080645161290322,0.34375,0.03125,0.03125,0.03125,0.21875,0.03125,1.5125,0.28125,0.03125,0.125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,14.0625,30.03125,0.03125
#beaugenie,0.0010080645161290322,0.34375,0.03125,0.03125,0.03125,2.7901785714285716,0.03125,1.5125,1.8368055555555556,0.03125,0.125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.0625,0.03125,30.03125
Successions,#oronte,#merlin,#monsieur-michaut,#madame-guillemot,#jasmin,#lisette,#longuemain,#monsieur-de-boisluisant,#cecile,#boniface,#claire,#monsieur-de-la-motte,#du-mesnil,#madame-de-calville,#oriane,#elise,#oriane #elise,#la-rissole,#le-marquis,#monsieur-brigandeau,#monsieur-sangsue,#beaugenie
#oronte,0.0,0.14795918367346939,0.07653061224489796,0.07142857142857142,0.01020408163265306,0.03571428571428571,0.07142857142857142,0.0663265306122449,0.030612244897959183,0.0663265306122449,0.07142857142857142,0.07142857142857142,0.0663265306122449,0.04081632653061224,0.025510204081632654,0.03571428571428571,0.00510204081632653,0.0,0.025510204081632654,0.025510204081632654,0.02040816326530612,0.03571428571428571
#merlin,0.5789473684210527,0.0,0.0,0.0,0.0,0.14035087719298245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2807017543859649,0.0,0.0,0.0,0.0
#monsieur-michaut,0.9333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
